1stcase,ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
Jan 10 ,490746,World,4.0,66767,3516,25351,663079,30857,141476,85.1
Jan 20 ,118316,USA,7.0,198.0,8.0,2666.0,123776,2229.0,3231.0,374.0
Jan 29 ,70065,Italy,166.0,,,3856.0,92472,10023.0,12384.0,1529.0
Jan 30 ,54968,Spain,128.0,,,4165.0,73235,5982.0,12285.0,1566.0
Jan 26 ,48781,Germany,5.0,,,1581.0,57695,433.0,8481.0,689.0
Jan 23 ,29561,France,35.0,,,4273.0,37575,2314.0,5700.0,576.0
Feb 18 ,21212,Iran,30.0,,,3206.0,35408,2517.0,11679.0,422.0
Jan 30 ,15935,UK,15.0,,,163.0,17089,1019.0,135.0,252.0
Feb 24 ,12217,Switzerland,31.0,,,301.0,14076,264.0,1595.0,1626.0
Feb 26 ,9120,Netherlands,37.0,,,914.0,9762,639.0,3.0,570.0
Jan 19 ,4398,S. Korea,3.0,105.0,8.0,59.0,9583,152.0,5033.0,187.0
Feb 03 ,7718,Belgium,30.0,,,789.0,9134,353.0,1063.0,788.0
Feb 24 ,7978,Austria,8.0,,,135.0,8271,68.0,225.0,918.0
Mar 09 ,7224,Turkey,1.0,,,445.0,7402,108.0,70.0,88.0
Jan 24 ,5087,Canada,2.0,,,120.0,5655,60.0,508.0,150.0
Mar 01 ,5027,Portugal,10.0,,,89.0,5170,100.0,43.0,507.0
Feb 25 ,4002,Norway,4.0,17.0,,84.0,4032,23.0,7.0,744.0
Jan 24 ,3727,Australia,0.6,334.0,2.0,23.0,3969,16.0,226.0,156.0
Feb 24 ,3784,Brazil,0.5,,,296.0,3904,114.0,6.0,18.0
Feb 20 ,3764,Israel,1.0,246.0,,66.0,3865,12.0,89.0,447.0
Jan 30 ,3326,Sweden,10.0,,,239.0,3447,105.0,16.0,341.0
Feb 29 ,2641,Czechia,1.0,32.0,,45.0,2663,11.0,11.0,249.0
Feb 28 ,2374,Ireland,7.0,,,59.0,2415,36.0,5.0,489.0
Jan 24 ,1973,Malaysia,0.8,,,54.0,2320,27.0,320.0,72.0
Feb 26 ,2135,Denmark,11.0,,,109.0,2201,65.0,1.0,380.0
Mar 02 ,1842,Chile,0.3,,,7.0,1909,6.0,61.0,100.0
Feb 28 ,1773,Luxembourg,29.0,,,25.0,1831,18.0,40.0,2925.0
