ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
201312,USA,15.0,297.0,8.0,5005.0,215300,5110.0,8878.0,650.0
80572,Italy,218.0,,,4035.0,110574,13155.0,16847.0,1829.0
72084,Spain,201.0,,,5872.0,104118,9387.0,22647.0,2227.0
58350,Germany,11.0,,,3408.0,77981,931.0,18700.0,931.0
42022,France,62.0,,,6017.0,56989,4032.0,10935.0,873.0
29084,Iran,36.0,,,3871.0,47593,3036.0,15473.0,567.0
26987,UK,35.0,,,163.0,29474,2352.0,135.0,434.0
14313,Switzerland,56.0,,,348.0,17768,488.0,2967.0,2053.0
15069,Turkey,3.0,,,979.0,15679,277.0,333.0,186.0
11004,Belgium,71.0,,,1088.0,13964,828.0,2132.0,1205.0
12191,Netherlands,68.0,,,1053.0,13614,1173.0,250.0,795.0
9129,Austria,16.0,,,215.0,10711,146.0,1436.0,1189.0
3979,S. Korea,3.0,89.0,4.0,55.0,9976,169.0,5828.0,195.0
7866,Canada,3.0,,15.0,120.0,9731,129.0,1736.0,258.0
8021,Portugal,18.0,,,230.0,8251,187.0,43.0,809.0
6560,Brazil,1.0,51.0,2.0,296.0,6931,244.0,127.0,33.0
5825,Israel,3.0,,,95.0,6092,26.0,241.0,704.0
4738,Australia,0.9,58.0,,50.0,5106,23.0,345.0,200.0
4605,Sweden,24.0,,,393.0,4947,239.0,103.0,490.0
4820,Norway,8.0,,,105.0,4877,44.0,13.0,900.0
3489,Czechia,4.0,,,70.0,3589,39.0,61.0,335.0
3357,Ireland,17.0,,,103.0,3447,85.0,5.0,698.0
2109,Denmark,18.0,,,145.0,3107,104.0,894.0,536.0
2781,Chile,0.8,,,31.0,3031,16.0,234.0,159.0
2218,Malaysia,1.0,,,102.0,2908,45.0,645.0,90.0
2563,Russia,0.2,,,8.0,2777,24.0,190.0,19.0
2602,Ecuador,6.0,,,100.0,2758,98.0,58.0,156.0
2455,Poland,1.0,,,50.0,2554,43.0,56.0,67.0
2116,Romania,5.0,,,57.0,2460,92.0,252.0,128.0
1855,Japan,0.5,,,69.0,2384,57.0,472.0,19.0
2210,Luxembourg,46.0,,,31.0,2319,29.0,80.0,3705.0
2165,Philippines,0.9,,,1.0,2311,96.0,50.0,21.0
2113,Pakistan,0.1,120.0,4.0,12.0,2238,31.0,94.0,10.0
1826,India,0.04,34.0,,,2032,58.0,148.0,1.0
1254,Thailand,0.2,,,23.0,1771,12.0,505.0,25.0
1440,Saudi Arabia,0.5,,,31.0,1720,16.0,264.0,49.0
1417,Indonesia,0.6,,,,1677,157.0,103.0,6.0
1129,Finland,3.0,,,62.0,1446,17.0,300.0,261.0
1312,Greece,5.0,,,90.0,1415,51.0,52.0,136.0
1325,South Africa,0.08,,,7.0,1380,5.0,50.0,23.0
1306,Mexico,0.3,163.0,8.0,1.0,1378,37.0,35.0,11.0
882,Peru,1.0,,9.0,49.0,1323,47.0,394.0,40.0
1276,Panama,7.0,,,50.0,1317,32.0,9.0,305.0
1218,Dominican Republic,5.0,,,,1284,57.0,9.0,118.0
982,Iceland,6.0,,,12.0,1220,2.0,236.0,3575.0
852,Argentina,0.7,,1.0,,1133,33.0,248.0,25.0
1009,Colombia,0.3,,,47.0,1065,17.0,39.0,21.0
990,Serbia,3.0,,,62.0,1060,28.0,42.0,121.0
751,Singapore,0.7,,1.0,24.0,1000,4.0,245.0,171.0
884,Croatia,1.0,,,34.0,963,6.0,73.0,235.0
728,Algeria,1.0,,,,847,58.0,61.0,19.0
816,Slovenia,7.0,,,31.0,841,15.0,10.0,405.0
762,Qatar,0.7,,,37.0,835,2.0,71.0,290.0
745,UAE,0.8,,,2.0,814,8.0,61.0,82.0
704,New Zealand,0.2,89.0,,2.0,797,1.0,92.0,165.0
761,Ukraine,0.5,,,,794,20.0,13.0,18.0
548,Egypt,0.5,,,,779,52.0,179.0,8.0
741,Estonia,4.0,,,15.0,779,5.0,33.0,587.0
615,Hong Kong,0.5,,,5.0,766,4.0,147.0,102.0
494,Iraq,1.0,,,,728,52.0,182.0,18.0
82,Diamond Princess,,,,15.0,712,11.0,619.0,
586,Morocco,1.0,,,1.0,654,39.0,29.0,18.0
618,Lithuania,3.0,,,11.0,649,8.0,7.0,213.0
536,Armenia,1.0,,,30.0,571,4.0,31.0,193.0
228,Bahrain,2.0,,,3.0,569,4.0,337.0,334.0
465,Hungary,2.0,,,17.0,525,20.0,40.0,54.0
422,Lebanon,2.0,,,5.0,479,14.0,43.0,70.0
427,Bosnia and Herzegovina,4.0,,,1.0,459,13.0,19.0,140.0
414,Bulgaria,1.0,27.0,,17.0,449,10.0,25.0,65.0
445,Latvia,,,,3.0,446,,1.0,236.0
406,Tunisia,1.0,,,10.0,423,12.0,5.0,36.0
395,Moldova,1.0,,,44.0,423,5.0,23.0,105.0
373,Kazakhstan,0.2,22.0,,6.0,402,3.0,26.0,21.0
396,Slovakia,0.2,,,1.0,400,1.0,3.0,73.0
366,Andorra,181.0,,,12.0,390,14.0,10.0,5048.0
369,Costa Rica,0.4,,,9.0,375,2.0,4.0,74.0
328,Azerbaijan,0.5,,,7.0,359,5.0,26.0,35.0
326,North Macedonia,5.0,,,4.0,354,11.0,17.0,170.0
286,Uruguay,0.6,,,15.0,350,2.0,62.0,101.0
279,Taiwan,0.2,,,,329,5.0,45.0,14.0
283,Cyprus,7.0,,,11.0,320,9.0,28.0,265.0
237,Kuwait,,,,14.0,317,,80.0,74.0
220,Burkina Faso,0.8,,,,282,16.0,46.0,13.0
241,Réunion,,,,3.0,281,,40.0,314.0
237,Jordan,0.5,,,5.0,278,5.0,36.0,27.0
177,Albania,5.0,,,7.0,259,15.0,67.0,90.0
228,Afghanistan,0.1,,,,237,4.0,5.0,6.0
195,San Marino,825.0,,,16.0,236,28.0,13.0,6955.0
217,Cameroon,0.2,,,,233,6.0,10.0,9.0
159,Vietnam,,4.0,,3.0,222,,63.0,2.0
202,Honduras,1.0,47.0,4.0,4.0,219,14.0,3.0,22.0
194,Cuba,0.5,,,3.0,212,6.0,12.0,19.0
175,Oman,0.2,,,3.0,210,1.0,34.0,41.0
159,Ghana,0.2,,,1.0,195,5.0,31.0,6.0
180,Ivory Coast,0.04,,,,190,1.0,9.0,7.0
144,Senegal,0.06,,,,190,1.0,45.0,11.0
186,Malta,,,,2.0,188,,2.0,426.0
