ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
940253,World,8.9,1716.0,62.0,45900.0,,1274578,69487.0,264838.0,,164.0
309235,USA,29.0,157.0,2.0,8702.0,5355.0,336830,9618.0,17977.0,1772369.0,1018.0
80925,Spain,270.0,,,6861.0,7593.0,131646,12641.0,38080.0,355000.0,2816.0
91246,Italy,263.0,,,3977.0,11436.0,128948,15887.0,21815.0,691461.0,2133.0
69839,Germany,19.0,,,3936.0,10962.0,100123,1584.0,28700.0,918460.0,1195.0
68578,France,124.0,,,6838.0,3436.0,92839,8078.0,16183.0,224254.0,1422.0
32612,Iran,43.0,,,4103.0,2214.0,58226,3603.0,22011.0,186000.0,693.0
42737,UK,73.0,,,1559.0,2880.0,47806,4934.0,135.0,195524.0,704.0
25453,Turkey,7.0,,,1381.0,2151.0,27069,574.0,1042.0,181445.0,321.0
13970,Switzerland,83.0,,,391.0,18256.0,21100,715.0,6415.0,158000.0,2438.0
14493,Belgium,125.0,,,1261.0,6040.0,19691,1447.0,3751.0,70000.0,1699.0
15835,Netherlands,103.0,,,1385.0,4401.0,17851,1766.0,250.0,75415.0,1042.0
12290,Canada,7.0,,,426.0,8767.0,15512,280.0,2942.0,330901.0,411.0
8849,Austria,23.0,,,244.0,12038.0,12051,204.0,2998.0,108416.0,1338.0
10667,Brazil,2.0,27.0,1.0,296.0,258.0,11281,487.0,127.0,54824.0,53.0
10908,Portugal,29.0,,,267.0,8470.0,11278,295.0,75.0,86370.0,1106.0
3500,S. Korea,4.0,47.0,3.0,55.0,8996.0,10284,186.0,6598.0,461233.0,201.0
8083,Israel,6.0,181.0,2.0,141.0,12677.0,8611,51.0,477.0,109724.0,995.0
6224,Sweden,40.0,,,541.0,3654.0,6830,401.0,205.0,36900.0,676.0
3434,Australia,2.0,38.0,2.0,95.0,11807.0,5788,39.0,2315.0,301087.0,227.0
5656,Norway,13.0,72.0,,89.0,19528.0,5759,71.0,32.0,105865.0,1062.0
4989,Russia,0.3,,,8.0,4776.0,5389,45.0,355.0,697000.0,37.0
4811,Ireland,32.0,,,165.0,6119.0,4994,158.0,25.0,30213.0,1011.0
4424,Czechia,6.0,,,86.0,7499.0,4587,67.0,96.0,80304.0,428.0
3819,Chile,2.0,,,307.0,2718.0,4471,34.0,618.0,51956.0,234.0
2863,Denmark,31.0,,,142.0,8503.0,4369,179.0,1327.0,49249.0,754.0
3868,India,0.09,25.0,,,102.0,4314,118.0,328.0,140293.0,3.0
3874,Poland,2.0,,,50.0,2134.0,4102,94.0,134.0,80757.0,108.0
3334,Romania,8.0,,5.0,141.0,2008.0,3864,156.0,374.0,38623.0,201.0
2596,Malaysia,2.0,,,99.0,1605.0,3662,61.0,1005.0,51937.0,113.0
2994,Japan,0.7,,,69.0,353.0,3654,85.0,575.0,44639.0,29.0
3366,Ecuador,10.0,,,100.0,702.0,3646,180.0,100.0,12386.0,207.0
3198,Philippines,1.0,168.0,,1.0,210.0,3414,152.0,64.0,22958.0,31.0
2970,Pakistan,0.2,120.0,3.0,17.0,162.0,3277,50.0,257.0,35875.0,15.0
2268,Luxembourg,58.0,,,33.0,37840.0,2804,36.0,500.0,23687.0,4479.0
1880,Saudi Arabia,1.0,,,41.0,,2402,34.0,488.0,,69.0
1209,Peru,3.0,,,81.0,589.0,2281,83.0,989.0,19410.0,69.0
1911,Indonesia,0.7,,,,36.0,2273,198.0,164.0,9712.0,8.0
1401,Thailand,0.4,51.0,3.0,23.0,359.0,2220,26.0,793.0,25071.0,32.0
1416,Mexico,0.7,253.0,15.0,293.0,140.0,2143,94.0,633.0,18034.0,17.0
1921,Panama,13.0,187.0,8.0,78.0,2259.0,1988,54.0,13.0,9749.0,461.0
1599,Finland,5.0,,,73.0,5724.0,1927,28.0,300.0,31714.0,348.0
1803,Serbia,6.0,,,98.0,842.0,1908,51.0,54.0,7360.0,218.0
1645,UAE,1.0,,,1.0,22244.0,1799,10.0,144.0,220000.0,182.0
1646,Dominican Republic,8.0,,,147.0,419.0,1745,82.0,17.0,4542.0,161.0
1584,Greece,7.0,,,93.0,2442.0,1735,73.0,78.0,25453.0,166.0
1549,South Africa,0.2,,,7.0,959.0,1655,11.0,95.0,56873.0,28.0
1477,Qatar,1.0,,,37.0,12411.0,1604,4.0,123.0,35757.0,557.0
1228,Argentina,1.0,,,86.0,188.0,1554,46.0,280.0,8488.0,34.0
1054,Iceland,12.0,,,11.0,74416.0,1486,4.0,428.0,25394.0,4355.0
1362,Colombia,0.7,,,50.0,466.0,1485,35.0,88.0,23706.0,29.0
1078,Algeria,3.0,,,46.0,77.0,1320,152.0,90.0,3359.0,30.0
983,Singapore,1.0,,,25.0,6837.0,1309,6.0,320.0,40000.0,224.0
1243,Ukraine,0.8,,,16.0,126.0,1308,37.0,28.0,5493.0,30.0
1042,Croatia,4.0,,,39.0,2649.0,1182,15.0,125.0,10874.0,288.0
848,Egypt,0.8,,,,244.0,1173,78.0,247.0,25000.0,11.0
929,New Zealand,0.2,67.0,,3.0,8278.0,1106,1.0,176.0,39918.0,229.0
1020,Estonia,11.0,,,17.0,15834.0,1097,15.0,62.0,21004.0,827.0
875,Morocco,2.0,,,1.0,131.0,1021,70.0,76.0,4848.0,28.0
890,Slovenia,13.0,,,31.0,13355.0,997,28.0,79.0,27764.0,480.0
621,Iraq,2.0,,,,,961,61.0,279.0,,24.0
681,Hong Kong,0.5,,,8.0,12900.0,891,4.0,206.0,96709.0,119.0
819,Moldova,4.0,,,80.0,,864,15.0,30.0,,214.0
822,Lithuania,5.0,32.0,1.0,11.0,8686.0,843,14.0,7.0,23645.0,310.0
758,Armenia,2.0,,,30.0,1575.0,822,7.0,57.0,4666.0,277.0
639,Hungary,4.0,11.0,4.0,17.0,2307.0,744,38.0,67.0,22282.0,77.0
82,Diamond Princess,,,,10.0,,712,11.0,619.0,,
265,Bahrain,2.0,,,3.0,26085.0,700,4.0,431.0,44386.0,411.0
601,Bosnia and Herzegovina,7.0,,,4.0,1809.0,654,23.0,30.0,5934.0,199.0
624,Cameroon,0.3,,,,,650,9.0,17.0,,24.0
545,Azerbaijan,0.7,,,17.0,3945.0,584,7.0,32.0,40000.0,58.0
536,Kazakhstan,0.3,,,6.0,271.0,584,6.0,42.0,5093.0,31.0
547,Tunisia,2.0,,,39.0,605.0,574,22.0,5.0,7145.0,49.0
502,Belarus,0.8,,,11.0,3386.0,562,8.0,52.0,32000.0,59.0
456,Kuwait,0.2,,,17.0,,556,1.0,99.0,,130.0
514,North Macedonia,9.0,,,15.0,2540.0,555,18.0,23.0,5291.0,266.0
483,Bulgaria,3.0,10.0,1.0,22.0,2288.0,541,21.0,37.0,15899.0,78.0
531,Latvia,0.5,,,4.0,10964.0,533,1.0,1.0,20680.0,283.0
455,Lebanon,3.0,,,28.0,1379.0,527,18.0,54.0,9411.0,77.0
457,Andorra,233.0,,,12.0,,501,18.0,26.0,,6484.0
474,Slovakia,0.2,,,3.0,2776.0,485,1.0,10.0,15155.0,89.0
436,Costa Rica,0.4,,,14.0,1001.0,454,2.0,16.0,5098.0,89.0
400,Cyprus,7.0,,,11.0,9066.0,446,9.0,37.0,10946.0,369.0
296,Uruguay,2.0,,,14.0,1499.0,406,6.0,104.0,5208.0,117.0
358,Uzbekistan,0.06,48.0,,8.0,,390,2.0,30.0,,12.0
343,Afghanistan,0.2,18.0,,,,367,7.0,17.0,,9.0
304,Taiwan,0.2,,,,1563.0,363,5.0,54.0,37219.0,15.0
237,Albania,7.0,,,7.0,833.0,361,20.0,104.0,2396.0,125.0
238,Burkina Faso,0.8,,,,,345,17.0,90.0,,17.0
230,Jordan,0.5,,,5.0,,345,5.0,110.0,,34.0
304,Réunion,,,,4.0,,344,,40.0,,384.0
297,Cuba,0.7,,,11.0,462.0,320,8.0,15.0,5234.0,28.0
276,Channel Islands,35.0,,,,,309,6.0,27.0,,1777.0
270,Honduras,2.0,30.0,,10.0,,298,22.0,6.0,,30.0
235,Oman,0.4,,,3.0,,298,2.0,61.0,,58.0
199,San Marino,943.0,,,14.0,17270.0,266,32.0,35.0,586.0,7839.0
221,Ivory Coast,0.1,,,,,261,3.0,37.0,,10.0
150,Vietnam,,,,8.0,910.0,241,,91.0,88551.0,2.0
211,Palestine,0.2,,,,2497.0,237,1.0,25.0,12738.0,46.0
194,Nigeria,0.02,,,2.0,19.0,232,5.0,33.0,4000.0,1.0
213,Mauritius,6.0,,,1.0,,227,7.0,7.0,,178.0
222,Malta,,,,3.0,23459.0,227,,5.0,10358.0,514.0
138,Senegal,0.1,,,1.0,,222,2.0,82.0,,13.0
179,Kyrgyzstan,0.6,69.0,3.0,5.0,1474.0,216,4.0,33.0,9618.0,33.0
178,Ghana,0.2,,,2.0,,214,5.0,31.0,,7.0
211,Montenegro,3.0,,,4.0,2606.0,214,2.0,1.0,1637.0,341.0
161,Niger,0.4,,,,166.0,184,10.0,13.0,4012.0,8.0
170,Bolivia,0.9,26.0,1.0,3.0,51.0,183,11.0,2.0,591.0,16.0
82,Faeroe Islands,,,,1.0,100076.0,181,,99.0,4890.0,3704.0
138,Sri Lanka,0.2,,,5.0,152.0,176,5.0,33.0,3248.0,8.0
136,Georgia,0.5,,,6.0,692.0,174,2.0,36.0,2762.0,44.0
100,Venezuela,0.2,,,6.0,63.0,159,7.0,52.0,1779.0,6.0
133,DRC,0.2,,,,,154,18.0,3.0,,2.0
95,Martinique,11.0,,,21.0,,149,4.0,50.0,,397.0
131,Mayotte,7.0,,,3.0,1756.0,147,2.0,14.0,479.0,539.0
134,Kenya,0.07,,,2.0,71.0,142,4.0,4.0,3836.0,3.0
97,Guadeloupe,17.0,,,14.0,,135,7.0,31.0,,337.0
61,Brunei ,2.0,,,3.0,18581.0,135,1.0,73.0,8129.0,309.0
126,Isle of Man,12.0,,,,15688.0,127,1.0,,1334.0,1494.0
116,Guinea,,,,,,121,,5.0,,9.0
61,Cambodia,,,,1.0,345.0,114,,53.0,5768.0,7.0
96,Paraguay,0.7,9.0,2.0,8.0,263.0,113,5.0,12.0,1877.0,16.0
97,Trinidad and Tobago,5.0,1.0,,,590.0,105,7.0,1.0,825.0,75.0
100,Rwanda,,,,,,104,,4.0,,8.0
51,Gibraltar,,,,,39922.0,103,,52.0,1345.0,3057.0
45,Bangladesh,0.06,,1.0,1.0,18.0,88,10.0,33.0,2914.0,0.5
76,Liechtenstein,26.0,,,,23605.0,77,1.0,,900.0,2020.0
69,Monaco,25.0,,,4.0,,73,1.0,3.0,,1860.0
70,Madagascar,,,,6.0,,72,,2.0,,3.0
52,Guatemala,0.2,,,3.0,63.0,70,3.0,15.0,1134.0,4.0
64,El Salvador,0.5,7.0,,4.0,,69,3.0,2.0,,11.0
41,French Guiana,,,,1.0,,68,,27.0,,228.0
63,Aruba,,,,,8139.0,64,,1.0,869.0,599.0
50,Djibouti,,,,,,59,,9.0,,60.0
47,Jamaica,1.0,,,,182.0,58,3.0,8.0,540.0,20.0
49,Barbados,3.0,,,4.0,1834.0,56,1.0,6.0,527.0,195.0
52,Uganda,,,,,57.0,52,,,2629.0,1.0
38,Congo,0.9,,,,,45,5.0,2.0,,8.0
39,Mali,0.2,,,,,45,5.0,1.0,,2.0
21,Togo,0.4,,,,,44,3.0,20.0,,5.0
34,Macao,,,,,,44,,10.0,,68.0
37,Ethiopia,0.02,,,1.0,16.0,43,2.0,4.0,1843.0,0.4
41,French Polynesia,,,,,2179.0,41,,,612.0,146.0
37,Cayman Islands,15.0,,,,5554.0,39,1.0,1.0,365.0,593.0
35,Zambia,0.05,,,,34.0,39,1.0,3.0,619.0,2.0
30,Sint Maarten,140.0,12.0,2.0,,2449.0,37,6.0,1.0,105.0,863.0
23,Bermuda,,,,,4785.0,37,,14.0,298.0,594.0
23,Saint Martin,52.0,,,6.0,,32,2.0,7.0,,828.0
20,Bahamas,13.0,,,1.0,,29,5.0,4.0,,74.0
25,Guyana,5.0,5.0,,,140.0,29,4.0,,110.0,37.0
29,Eritrea,,,,,,29,,,,8.0
22,Gabon,0.4,3.0,,,,24,1.0,1.0,,11.0
18,Tanzania,0.02,,,,,22,1.0,3.0,,0.4
17,Benin,,,,,,22,,5.0,,2.0
