ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
796301,North America,North America,,1620.0,109.0,16249.0,,955752,54080.0,105371.0,,
699460,Europe,Europe,,12.0,,26669.0,,1193288,114259.0,379569.0,,
214287,Asia,Asia,,666.0,5.0,6075.0,,435942,16217.0,205438.0,,
55160,South America,South America,,603.0,21.0,9511.0,,103931,5094.0,43677.0,,
1855,Australia/Oceania,Oceania,,13.0,4.0,46.0,,8232,95.0,6282.0,,
18271,Africa,Africa,,14.0,3.0,173.0,,28106,1301.0,8534.0,,
1785395,All,World,24.5,2928.0,142.0,58727.0,,2725972,191061.0,749516.0,,350.0
750544,North America,USA,152.0,267.0,7.0,14997.0,14428.0,886709,50243.0,85922.0,4775625.0,2679.0
101617,Europe,Spain,474.0,,,7705.0,19896.0,213024,22157.0,89250.0,930230.0,4556.0
106848,Europe,Italy,423.0,,,2267.0,26131.0,189973,25549.0,57576.0,1579909.0,3142.0
94239,Europe,France,335.0,,,5053.0,7103.0,158183,21856.0,42088.0,463662.0,2423.0
40754,Europe,Germany,67.0,,,2908.0,24738.0,153129,5575.0,106800.0,2072669.0,1828.0
118996,Europe,UK,276.0,,,1559.0,8595.0,138078,18738.0,0.0,583496.0,2034.0
80808,Asia,Turkey,30.0,,,1816.0,9390.0,101790,2491.0,18491.0,791906.0,1207.0
16702,Asia,Iran,65.0,,,3105.0,4637.0,87026,5481.0,64843.0,389507.0,1036.0
57327,Europe,Russia,4.0,,,2300.0,16457.0,62773,555.0,4891.0,2401616.0,430.0
20132,South America,Brazil,16.0,544.0,18.0,8318.0,1373.0,50036,3331.0,26573.0,291922.0,235.0
26507,Europe,Belgium,560.0,,,993.0,15502.0,42797,6490.0,9800.0,179666.0,3693.0
25202,North America,Canada,57.0,,,557.0,16822.0,42110,2147.0,14761.0,634917.0,1116.0
31302,Europe,Netherlands,244.0,,,1008.0,10913.0,35729,4177.0,0.0,187000.0,2085.0
6347,Europe,Switzerland,179.0,,,386.0,26293.0,28496,1549.0,20600.0,227554.0,3293.0
17768,Asia,India,0.5,463.0,1.0,,393.0,23502,722.0,5012.0,541789.0,17.0
20332,Europe,Portugal,80.0,,,204.0,29473.0,22353,820.0,1201.0,300525.0,2192.0
12920,South America,Peru,17.0,,,396.0,5618.0,20914,572.0,7422.0,185238.0,634.0
7580,Europe,Ireland,161.0,,,147.0,22598.0,17607,794.0,9233.0,111584.0,3566.0
14184,Europe,Sweden,200.0,,,533.0,9357.0,16755,2021.0,550.0,94500.0,1659.0
2786,Europe,Austria,58.0,,,169.0,22854.0,15002,522.0,11694.0,205835.0,1666.0
9000,Asia,Israel,22.0,,,139.0,27763.0,14803,192.0,5611.0,240303.0,1710.0
11884,Asia,Saudi Arabia,3.0,,,93.0,5745.0,13930,121.0,1925.0,200000.0,400.0
10546,Asia,Japan,3.0,,,259.0,1075.0,12368,328.0,1494.0,135983.0,98.0
5840,South America,Chile,9.0,,,411.0,7070.0,11812,168.0,5804.0,135147.0,618.0
7937,North America,Mexico,8.0,1089.0,99.0,378.0,384.0,11633,1069.0,2627.0,49570.0,90.0
9295,South America,Ecuador,32.0,,,141.0,1975.0,11183,560.0,1328.0,34840.0,634.0
10242,Asia,Singapore,2.0,,,26.0,16203.0,11178,12.0,924.0,94796.0,1911.0
8391,Asia,Pakistan,1.0,98.0,2.0,111.0,595.0,11155,237.0,2527.0,131365.0,50.0
1967,Asia,S. Korea,5.0,6.0,,55.0,11499.0,10708,240.0,8501.0,589520.0,209.0
8317,Europe,Poland,12.0,,,160.0,6625.0,10511,454.0,1740.0,250719.0,278.0
7073,Europe,Romania,28.0,,,236.0,5891.0,10096,545.0,2478.0,113336.0,525.0
