#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,1188151,North America,North America,,3965.0,202.0,,18270.0,,1855806,113472.0,554183.0,,
,345404,South America,South America,,2051.0,162.0,,10818.0,,607017,30752.0,230861.0,,
,853487,Europe,Europe,,,,,10363.0,,1885900,169275.0,863138.0,,
,363560,Asia,Asia,,432.0,,,13795.0,,936765,27068.0,546137.0,,
,62214,Africa,Africa,,250.0,10.0,,306.0,,109720,3277.0,44229.0,,
,545,Australia/Oceania,Oceania,,,,,6.0,,8719,123.0,8051.0,,
,2813416,All,World,44.1,6698.0,374.0,,53562.0,,5404648,343982.0,2247250.0,,693.0
1,1121231,North America,USA,298.0,,,"330,801,130 ",17133.0,43404.0,1666828,98683.0,446914.0,14357969.0,5039.0
2,184361,South America,Brazil,104.0,1715.0,152.0,"212,401,542 ",8318.0,3461.0,349113,22165.0,142587.0,735224.0,1644.0
3,224558,Europe,Russia,23.0,,,"145,928,144 ",2300.0,57581.0,335882,3388.0,107936.0,8402747.0,2302.0
4,56734,Europe,Spain,613.0,,,"46,752,950 ",1152.0,64976.0,282370,28678.0,196958.0,3037840.0,6040.0
5,0,Europe,UK,541.0,,,"67,849,102 ",1559.0,49352.0,257154,36675.0,0.0,3348507.0,3790.0
6,57752,Europe,Italy,541.0,,,"60,470,714 ",572.0,56080.0,229327,32735.0,138840.0,3391188.0,3792.0
7,89590,Europe,France,434.0,,,"65,258,794 ",1665.0,21218.0,182469,28332.0,64547.0,1384633.0,2796.0
8,11720,Europe,Germany,100.0,,,"83,756,505 ",919.0,42923.0,179986,8366.0,159900.0,3595059.0,2149.0
9,33776,Asia,Turkey,51.0,,,"84,242,466 ",775.0,21458.0,155686,4308.0,117602.0,1807673.0,1848.0
10,22090,Asia,Iran,88.0,,,"83,877,328 ",2633.0,9315.0,133521,7359.0,104072.0,781286.0,1592.0
11,73170,Asia,India,3.0,,,"1,378,566,974 ",8944.0,2056.0,131423,3868.0,54385.0,2834798.0,95.0
12,64466,South America,Peru,102.0,,,"32,922,175 ",909.0,23946.0,115754,3373.0,47915.0,788341.0,3516.0
13,33961,North America,Canada,169.0,,,"37,707,284 ",502.0,37974.0,83621,6355.0,43305.0,1431911.0,2218.0
14,28546,Asia,Saudi Arabia,11.0,,,"34,754,742 ",339.0,19698.0,70161,379.0,41236.0,684615.0,2019.0
15,13758,North America,Mexico,56.0,3329.0,190.0,"128,788,747 ",378.0,1674.0,65856,7179.0,44919.0,215656.0,511.0
16,38174,South America,Chile,35.0,,,"19,098,926 ",1062.0,23945.0,65393,673.0,26546.0,457332.0,3424.0
17,32418,Europe,Belgium,797.0,,,"11,584,427 ",259.0,66357.0,56810,9237.0,15155.0,768706.0,4904.0
18,34683,Asia,Pakistan,5.0,,,"220,415,479 ",111.0,2090.0,52437,1101.0,16653.0,460692.0,238.0
