#,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,NewRecovered,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,"
",,,1319267,North America,North America,,6270.0,697.0,"+4,421",,19342.0,,2659091,152556.0,1187268.0,,
,"
",,,716602,South America,South America,,977.0,18.0,668,,12380.0,,1701177,68830.0,915745.0,,
,"
",,,861154,Europe,Europe,,,,,,6370.0,,2283096,186934.0,1235008.0,,
,"
",,,632002,Asia,Asia,,7769.0,156.0,"+2,413",,16221.0,,1824086,46519.0,1145565.0,,
,"
",,,145923,Africa,Africa,,,,,,499.0,,288812,7713.0,135176.0,,
,"
",,,458,Australia/Oceania,Oceania,,29.0,,3,,2.0,,9052,124.0,8470.0,,
,"
",,,3675461,All,World,59.4,15045.0,871.0,"+7,505",,54818.0,,8766035,462691.0,4627883.0,,1125.0
1,144,"2,726",12,1219722,North America,USA,367.0,,,,"330,944,050 ",16533.0,82604.0,2297190,121407.0,956061.0,27337385.0,6941.0
2,205,"4,329",88,469118,South America,Brazil,231.0,,,,"212,512,836 ",8318.0,11340.0,1038568,49090.0,520360.0,2409830.0,4887.0
3,256,"18,611",9,236816,Europe,Russia,54.0,,,,"145,932,745 ",2300.0,111846.0,569063,7841.0,324406.0,16321964.0,3899.0
4,"3,482","106,366",209,169003,Asia,India,9.0,370.0,,3,"1,379,567,062 ",8944.0,4796.0,396182,12970.0,214209.0,6616496.0,287.0
5,225,"1,599",9,0,Europe,UK,626.0,,,N/A,"67,875,356 ",379.0,109511.0,301815,42461.0,0.0,7433114.0,4447.0
6,160,"1,651",10,0,Europe,Spain,606.0,,,N/A,"46,754,281 ",617.0,103232.0,292655,28315.0,0.0,4826516.0,6259.0
7,133,"4,302",23,104745,South America,Peru,232.0,,,,"32,956,067 ",1130.0,44340.0,247925,7660.0,135520.0,1461266.0,7523.0
8,254,"1,749",12,21543,Europe,Italy,572.0,,,,"60,464,181 ",161.0,80859.0,238011,34561.0,181907.0,4889103.0,3936.0
9,83,"4,669",21,35809,South America,Chile,214.0,,,,"19,111,018 ",1911.0,48324.0,231393,4093.0,191491.0,923513.0,12108.0
10,419,"8,939",61,31678,Asia,Iran,112.0,,,,"83,956,634 ",2833.0,16327.0,200262,9392.0,159192.0,1370718.0,2385.0
11,439,"9,350",17,7300,Europe,Germany,107.0,,,,"83,776,217 ",376.0,60037.0,190660,8960.0,174400.0,5029696.0,2276.0
12,455,"17,188",29,22824,Asia,Turkey,58.0,,,,"84,309,377 ",769.0,33966.0,185245,4905.0,157516.0,2863632.0,2197.0
13,"1,286","65,267",212,104780,Asia,Pakistan,15.0,6604.0,153.0,"+2,121","220,732,413 ",111.0,4724.0,171666,3382.0,63504.0,1042787.0,778.0
14,756,"6,320",277,22759,North America,Mexico,158.0,5030.0,647.0,"+4,237","128,888,616 ",378.0,3614.0,170485,20394.0,127332.0,465867.0,1323.0
15,409,"2,204",47,55718,Europe,France,454.0,,,,"65,269,418 ",727.0,21214.0,159452,29617.0,74117.0,1384633.0,2443.0
16,232,"29,387",28,53344,Asia,Saudi Arabia,34.0,,,,"34,794,765 ",1941.0,35186.0,150292,1184.0,95764.0,1224289.0,4319.0
17,"1,560","118,614",281,61202,Asia,Bangladesh,8.0,,,,"164,636,385 ",1.0,3557.0,105535,1388.0,42945.0,585548.0,641.0
18,375,"4,521",16,29280,North America,Canada,221.0,,,,"37,731,670 ",1990.0,62005.0,100629,8346.0,63003.0,2339563.0,2667.0
19,676,"32,378",47,38059,Africa,South Africa,31.0,,,,"59,283,506 ",208.0,21261.0,87715,1831.0,47825.0,1260434.0,1480.0
20,33,"30,191",9,19960,Asia,Qatar,33.0,,,,"2,807,805 ",221.0,111653.0,85462,93.0,65409.0,313501.0,30437.0
