#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,33565070,3360.0,759898.0,475.0,23248152,"+3,964",9557020,21321.0,,,,,,North America,"
",,
,Asia,25007606,3105.0,398373.0,53.0,23520134,"+4,586",1089099,21926.0,,,,,,Asia,"
",,
,South America,17991688,463.0,466860.0,21.0,16259018,479,1265810,18955.0,,,,,,South America,"
",,
,Europe,34158092,10939.0,813430.0,166.0,23710803,"+9,310",9633859,25528.0,,,,,,Europe,"
",,
,Africa,3924598,,103868.0,,3484084,,336646,2555.0,,,,,,Africa,"
",,
,Oceania,51168,7.0,1088.0,,34286,7,15794,6.0,,,,,,Australia/Oceania,"
",,
,World,114698943,17874.0,2543532.0,715.0,90257183,"+18,346",21898228,90291.0,14715.0,326.3,,,,All,"
",,
1,USA,29255344,,525776.0,,19694306,,9035262,14786.0,88042.0,1582.0,359021570.0,1080451.0,"332,288,557 ",North America,11,632,1
2,India,11112241,185.0,157195.0,,10786457,"+1,889",168589,8944.0,8000.0,113.0,216858774.0,156129.0,"1,388,975,299 ",Asia,125,"8,836",6
3,Brazil,10551259,,255018.0,,9411033,,885208,8318.0,49407.0,1194.0,28600000.0,133920.0,"213,559,824 ",South America,20,837,7
4,Russia,4246079,,86122.0,,3811797,,348160,2300.0,29088.0,590.0,111000000.0,760399.0,"145,976,024 ",Europe,34,"1,695",1
5,UK,4176554,,122849.0,,2905317,,1148388,1971.0,61310.0,1803.0,89162545.0,1308859.0,"68,122,332 ",Europe,16,555,1
6,France,3755968,,86454.0,,254868,,3414646,3430.0,57458.0,1323.0,51853607.0,793240.0,"65,369,365 ",Europe,17,756,1
7,Spain,3188553,,69142.0,,2647446,,471965,3021.0,68180.0,1478.0,38491517.0,823052.0,"46,766,806 ",Europe,15,676,1
8,Italy,2925265,,97699.0,,2405199,,422367,2231.0,48429.0,1617.0,40132887.0,664422.0,"60,402,725 ",Europe,21,618,2
9,Turkey,2701588,,28569.0,,2572234,,100785,1191.0,31806.0,336.0,33175016.0,390575.0,"84,938,841 ",Asia,31,"2,973",3
10,Germany,2450294,,70687.0,,2255500,"+7,100",124107,2848.0,29183.0,842.0,43950029.0,523454.0,"83,961,653 ",Europe,34,"1,188",2
11,Colombia,2251690,,59766.0,,2148249,,43675,2240.0,43943.0,1166.0,11458960.0,223627.0,"51,241,336 ",South America,23,857,4
12,Argentina,2107365,,51965.0,,1905021,,150379,3505.0,46346.0,1143.0,7436806.0,163554.0,"45,470,082 ",South America,22,875,6
13,Mexico,2086938,2810.0,185715.0,458.0,1633900,"+3,898",267323,4798.0,16075.0,1430.0,5453322.0,42004.0,"129,828,120 ",North America,62,699,24
14,Poland,1706986,,43769.0,,1422829,,240388,1503.0,45136.0,1157.0,9868422.0,260938.0,"37,819,061 ",Europe,22,864,4
15,Iran,1631169,,60073.0,,1393125,,177971,3732.0,19258.0,709.0,10853800.0,128140.0,"84,702,699 ",Asia,52,"1,410",8
16,South Africa,1513393,,49993.0,,1430259,,33141,546.0,25307.0,836.0,9077479.0,151791.0,"59,802,408 ",Africa,40,"1,196",7
