#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,39252215,1619.0,879367.0,70.0,31775678,"+2,490",6597170,15671.0,,,,,,North America,"
",,,,,
,Asia,47197394,9221.0,614273.0,204.0,41737753,"+16,362",4845368,32552.0,,,,,,Asia,"
",,,,,
,South America,26883840,2257.0,731762.0,49.0,24339629,"+1,713",1812449,28464.0,,,,,,South America,"
",,,,,
,Europe,46145547,5067.0,1051195.0,299.0,42033243,"+22,519",3061109,21877.0,,,,,,Europe,"
",,,,,
,Africa,4738207,,126913.0,,4272517,,338777,2951.0,,,,,,Africa,"
",,,,,
,Oceania,65934,7.0,1225.0,,61841,1,2868,3.0,,,,,,Australia/Oceania,"
",,,,,
,World,164283858,18171.0,3404750.0,622.0,144221367,"+43,085",16657741,101518.0,21076.0,436.8,,,,All,"
",,,,,
1,USA,33747439,,600533.0,,27202309,,5944597,7790.0,101435.0,1805.0,467222796.0,1404331.0,"332,701,437 ",North America,10,554,1,,,"17,868"
2,India,25228996,1026.0,278751.0,,21596512,"+6,509",3353733,8944.0,18126.0,200.0,318292881.0,228681.0,"1,391,864,443 ",Asia,55,"4,993",4,0.7,,"2,410"
3,Brazil,15661106,,436862.0,,14152433,,1071811,8318.0,73223.0,2043.0,47073060.0,220090.0,"213,881,340 ",South America,14,490,5,,,"5,011"
4,France,5881137,,107812.0,,5152370,,620955,4186.0,89926.0,1649.0,81694063.0,1249144.0,"65,400,058 ",Europe,11,607,1,,,"9,495"
5,Turkey,5127548,,44983.0,,4961120,,121445,2326.0,60230.0,528.0,51076732.0,599970.0,"85,132,141 ",Asia,17,"1,893",2,,,"1,427"
6,Russia,4949573,,116211.0,,4563254,,270108,2300.0,33904.0,796.0,133800000.0,916505.0,"145,989,315 ",Europe,29,"1,256",1,,,"1,850"
7,UK,4452756,,127684.0,,4279267,,45805,124.0,65291.0,1872.0,170156171.0,2495025.0,"68,198,176 ",Europe,15,534,0,,,672
8,Italy,4162576,,124296.0,,3715389,,322891,1754.0,68935.0,2058.0,63021591.0,1043683.0,"60,383,853 ",Europe,15,486,1,,,"5,347"
9,Spain,3615860,,79432.0,,3333587,,202841,1836.0,77310.0,1698.0,48928535.0,1046138.0,"46,770,653 ",Europe,13,589,1,,,"4,337"
10,Germany,3608292,,86870.0,,3300700,,220722,4015.0,42946.0,1034.0,58093759.0,691439.0,"84,018,598 ",Europe,23,967,1,,,"2,627"
11,Argentina,3335965,,71027.0,,2973267,,291671,5690.0,73224.0,1559.0,12490822.0,274172.0,"45,558,380 ",South America,14,641,4,,,"6,402"
12,Colombia,3131410,,81809.0,,2931280,,118321,6582.0,60974.0,1593.0,15957624.0,310720.0,"51,356,849 ",South America,16,628,3,,,"2,304"
13,Poland,2855190,,71675.0,,2605703,,177812,1572.0,75514.0,1896.0,15184082.0,401586.0,"37,810,261 ",Europe,13,528,2,,,"4,703"
14,Iran,2765485,,77222.0,,2242023,,446240,5264.0,32561.0,909.0,18151487.0,213718.0,"84,931,806 ",Asia,31,"1,100",5,,,"5,254"
15,Mexico,2382745,822.0,220489.0,56.0,1903494,"+2,172",258762,4798.0,18312.0,1695.0,6856267.0,52693.0,"130,116,629 ",North America,55,590,19,6,0.4,"1,989"
16,Ukraine,2160095,4095.0,48469.0,285.0,1882344,"+17,751",229282,177.0,49654.0,1114.0,9851754.0,226461.0,"43,503,055 ",Europe,20,898,4,94,7,"5,270"
17,Peru,1893334,,66471.0,,1720665,,106198,2665.0,56733.0,1992.0,12118928.0,363138.0,"33,372,810 ",South America,18,502,3,,,"3,182"
