#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')"
,North America,40153899.0,21019.0,907160.0,689.0,33258866.0,"+42,469",5987873.0,11974.0,0.0,0.0,0.0,0.0,,North America,"
",,,,,,Dummy
,South America,30562711.0,145496.0,941501.0,3809.0,27630980.0,"+110,134",1990230.0,32301.0,0.0,0.0,0.0,0.0,,South America,"
",,,,,,Dummy
,Europe,47149435.0,36930.0,1085753.0,757.0,44458601.0,"+53,038",1605081.0,10628.0,0.0,0.0,0.0,0.0,,Europe,"
",,,,,,Dummy
,Africa,5072213.0,20609.0,134790.0,332.0,4536915.0,"+9,976",400508.0,2662.0,0.0,0.0,0.0,0.0,,Africa,"
",,,,,,Dummy
, Oceania,70148.0,94.0,1254.0,0.0,67433.0,101,1461.0,11.0,0.0,0.0,0.0,0.0,,Australia/Oceania,"
",,,,,,Dummy
,Dummy,721.0,0.0,15.0,0.0,706.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,"
",,,,,,Dummy
1,China,91394.0,35.0,4636.0,0.0,86312.0,15,446.0,12.0,63.0,3.0,160000000.0,111163.0,"1,439,323,776 ",Asia,"15,749","310,467",9,0.02,,0.3,Dummy
2,USA,34315873.0,9427.0,614953.0,314.0,28381623.0,"+35,299",5319297.0,4543.0,103099.0,1848.0,493894853.0,1483861.0,"332,844,357 ",North America,10,541,1,28,0.9,"15,981",Dummy
3,India,29439038.0,81005.0,372526.0,1830.0,28035886.0,"+134,198",1030626.0,8944.0,21136.0,267.0,376232162.0,270114.0,"1,392,864,531 ",Asia,47,"3,739",4,58,1,740,Dummy
4,Brazil,17376998.0,75778.0,486358.0,2008.0,15761177.0,"+42,584",1129463.0,8318.0,81204.0,2273.0,50245852.0,234802.0,"213,992,634 ",South America,12,440,4,354,9,"5,278",Dummy
5,France,5737810.0,3972.0,110407.0,34.0,5493293.0,"+9,604",134110.0,2110.0,87720.0,1688.0,88620224.0,1354828.0,"65,410,682 ",Europe,11,592,1,61,0.5,"2,050",Dummy
6,Turkey,5325435.0,6076.0,48668.0,75.0,5198057.0,"+5,112",78710.0,973.0,62506.0,571.0,56789542.0,666551.0,"85,199,052 ",Asia,16,"1,751",2,71,0.9,924,Dummy
7,Russia,5193964.0,13510.0,126073.0,399.0,4792169.0,"+9,986",275722.0,2300.0,35577.0,864.0,142300000.0,974698.0,"145,993,915 ",Europe,28,"1,158",1,93,3,"1,889",Dummy
8,UK,4558323.0,7738.0,127896.0,12.0,4286165.0,"+1,432",144262.0,158.0,66814.0,1875.0,193264021.0,2832769.0,"68,224,429 ",Europe,15,533,0,113,0.2,"2,115",Dummy
9,Italy,4243482.0,1723.0,126976.0,52.0,3954097.0,"+4,500",162409.0,574.0,70283.0,2103.0,68470425.0,1134042.0,"60,377,320 ",Europe,14,476,1,29,0.9,"2,690",Dummy
10,Argentina,4111147.0,18057.0,85075.0,447.0,3695288.0,"+26,616",330784.0,7895.0,90179.0,1866.0,15152696.0,332377.0,"45,588,945 ",South America,11,536,3,396,10,"7,256",Dummy
11,Spain,3733600.0,0.0,80501.0,0.0,3509730.0,,143369.0,966.0,79826.0,1721.0,51240666.0,1095542.0,"46,771,984 ",Europe,13,581,1,,,"3,065",Dummy
12,Colombia,3724705.0,29998.0,95192.0,577.0,3457117.0,"+22,008",172396.0,8155.0,72470.0,1852.0,18114673.0,352447.0,"51,396,835 ",South America,14,540,3,584,11,"3,354",Dummy
