#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,40423582,5509.0,914216.0,373.0,33851681,"+2,823",5657685,11051.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,54880588,13026.0,775092.0,130.0,52277516,"+14,736",1827980,26525.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,32067666,2270.0,982118.0,86.0,29088110,"+2,270",1997438,31414.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,47598920,2093.0,1095466.0,67.0,45116008,"+6,119",1387446,7991.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,5330048,,139506.0,,4697800,,492742,4478.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,72352,26.0,1272.0,,68443,,2637,10.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,180373877,22924.0,3907685.0,656.0,165100264,"+25,948",11365928,81469.0,23140.0,501.3,,,,All,"
",,,,,,Dummy,Dummy
1,USA,34449004,,618294.0,,28846304,,4984406,3925.0,103482.0,1857.0,501368853.0,1506077.0,"332,897,290 ",North America,10,538,1,,,"14,973",Dummy,Dummy
2,India,30082778,609.0,392014.0,,29063740,"+7,131",627024,8944.0,21592.0,281.0,397832667.0,285546.0,"1,393,234,934 ",Asia,46,"3,554",4,0.4,,450,Dummy,Dummy
3,Brazil,18170778,,507240.0,,16483635,,1179903,8318.0,84897.0,2370.0,52820657.0,246786.0,"214,033,854 ",South America,12,422,4,,,"5,513",Dummy,Dummy
4,France,5762322,,110862.0,,5583214,,68246,1509.0,88089.0,1695.0,91430049.0,1397701.0,"65,414,617 ",Europe,11,590,1,,,"1,043",Dummy,Dummy
5,Turkey,5387545,,49358.0,,5248862,,89325,763.0,63216.0,579.0,59221265.0,694891.0,"85,223,834 ",Asia,16,"1,727",1,,,"1,048",Dummy,Dummy
6,Russia,5368513,,130895.0,,4902110,,335508,2300.0,36772.0,897.0,146400000.0,1002770.0,"145,995,619 ",Europe,27,"1,115",1,,,"2,298",Dummy,Dummy
7,UK,4667870,,128027.0,,4308504,,231339,250.0,68410.0,1876.0,204758457.0,3000821.0,"68,234,153 ",Europe,15,533,0,,,"3,390",Dummy,Dummy
8,Argentina,4326101,,90986.0,,3944323,,290792,7241.0,94870.0,1995.0,16071070.0,352434.0,"45,600,265 ",South America,11,501,3,,,"6,377",Dummy,Dummy
9,Italy,4255434,,127352.0,,4059463,,68619,344.0,70483.0,2109.0,70388886.0,1165863.0,"60,374,900 ",Europe,14,474,1,,,"1,137",Dummy,Dummy
10,Colombia,4027016,,101947.0,,3741459,,183610,8155.0,78329.0,1983.0,19168055.0,372835.0,"51,411,644 ",South America,13,504,3,,,"3,571",Dummy,Dummy
11,Spain,3773032,,80748.0,,3567842,,124442,683.0,80668.0,1726.0,51240666.0,1095530.0,"46,772,477 ",Europe,12,579,1,,,"2,661",Dummy,Dummy
12,Germany,3732423,,91146.0,,3614500,"+3,000",26777,889.0,44409.0,1084.0,63091197.0,750678.0,"84,045,610 ",Europe,23,922,1,,,319,Dummy,Dummy
13,Iran,3128395,,83329.0,,2784014,,261052,3236.0,36787.0,980.0,22821277.0,268358.0,"85,040,484 ",Asia,27,"1,021",4,,,"3,070",Dummy,Dummy
14,Poland,2879192,,74893.0,,2650839,,153460,208.0,76157.0,1981.0,17055537.0,451132.0,"37,806,086 ",Europe,13,505,2,,,"4,059",Dummy,Dummy
15,Mexico,2487747,4963.0,231847.0,342.0,1979823,"+2,752",276077,4798.0,19099.0,1780.0,7380366.0,56662.0,"130,253,486 ",North America,52,562,18,38,3,"2,120",Dummy,Dummy
16,Ukraine,2231914,937.0,52181.0,58.0,2157732,"+2,471",22001,177.0,51336.0,1200.0,10739672.0,247022.0,"43,476,634 ",Europe,19,833,4,22,1,506,Dummy,Dummy
17,Peru,2036449,,191073.0,,0,N/A,0,2474.0,60936.0,5717.0,13886987.0,415539.0,"33,419,254 ",South America,16,175,2,,,"3,732",Dummy,Dummy
18,Indonesia,2033421,,55594.0,,1817303,,160524,,7358.0,201.0,19026856.0,68852.0,"276,343,545 ",Asia,136,"4,971",15,,,581,Dummy,Dummy
19,South Africa,1861065,,59258.0,,1671391,,130416,546.0,30998.0,987.0,12703421.0,211592.0,"60,037,343 ",Africa,32,"1,013",5,,,"2,172",Dummy,Dummy
20,Netherlands,1680880,,17734.0,,1611188,,51958,180.0,97885.0,1033.0,14596733.0,850035.0,"17,171,911 ",Europe,10,968,1,,,"3,026",Dummy,Dummy
21,Czechia,1666325,,30289.0,,1633550,,2486,12.0,155319.0,2823.0,28305756.0,2638397.0,"10,728,392 ",Europe,6,354,0,,,232,Dummy,Dummy
22,Chile,1528409,,31746.0,,1462966,,33697,3229.0,79290.0,1647.0,16578381.0,860041.0,"19,276,267 ",South America,13,607,1,,,"1,748",Dummy,Dummy
23,Canada,1410927,,26175.0,,1375107,,9645,535.0,37066.0,688.0,36344745.0,954809.0,"38,064,937 ",North America,27,"1,454",1,,,253,Dummy,Dummy
24,Philippines,1372232,,23928.0,,1298442,,49862,2029.0,12362.0,216.0,14580142.0,131350.0,"111,002,023 ",Asia,81,"4,639",8,,,449,Dummy,Dummy
25,Iraq,1305000,,16968.0,,1213952,,74080,509.0,31752.0,413.0,11414059.0,277717.0,"41,099,558 ",Asia,31,"2,422",4,,,"1,802",Dummy,Dummy
26,Sweden,1088518,,14578.0,,1049733,,24207,68.0,107130.0,1435.0,10574760.0,1040748.0,"10,160,729 ",Europe,9,697,1,,,"2,382",Dummy,Dummy
27,Belgium,1081061,1026.0,25149.0,5.0,1021987,,33925,184.0,92884.0,2161.0,14921127.0,1282008.0,"11,638,875 ",Europe,11,463,1,88,0.4,"2,915",Dummy,Dummy
28,Romania,1080389,,32626.0,,1045303,,2460,141.0,56529.0,1707.0,9635151.0,504139.0,"19,112,085 ",Europe,18,586,2,,,129,Dummy,Dummy
29,Pakistan,951865,1097.0,22108.0,35.0,896821,"+1,131",32936,2084.0,4229.0,98.0,14279084.0,63445.0,"225,063,844 ",Asia,236,"10,180",16,5,0.2,146,Dummy,Dummy
30,Portugal,868323,,17077.0,,822234,,29012,100.0,85401.0,1680.0,12864237.0,1265215.0,"10,167,631 ",Europe,12,595,1,,,"2,853",Dummy,Dummy
31,Bangladesh,866877,,13787.0,,791553,,61537,1176.0,5213.0,83.0,6405075.0,38518.0,"166,289,323 ",Asia,192,"12,061",26,,,370,Dummy,Dummy
32,Israel,840225,,6428.0,,833191,,606,26.0,90095.0,689.0,14807155.0,1587728.0,"9,326,000 ",Asia,11,"1,451",1,,,65,Dummy,Dummy
33,Hungary,807844,69.0,29972.0,1.0,736854,467,41018,30.0,83833.0,3110.0,6083248.0,631281.0,"9,636,362 ",Europe,12,322,2,7,0.1,"4,257",Dummy,Dummy
34,Japan,787650,,14496.0,,754334,,18820,646.0,6246.0,115.0,15956332.0,126539.0,"126,097,780 ",Asia,160,"8,699",8,,,149,Dummy,Dummy
35,Jordan,748103,,9693.0,,732006,,6404,470.0,72618.0,941.0,7739084.0,751228.0,"10,301,906 ",Asia,14,"1,063",1,,,622,Dummy,Dummy
36,Serbia,716016,,7013.0,,706407,,2596,18.0,82273.0,806.0,4361392.0,501140.0,"8,702,943 ",Europe,12,"1,241",2,,,298,Dummy,Dummy
