date,cases,active,death
2020-03-08,3,3,0
2020-03-09,3.01,3,0
2020-03-10,3.02,3,0
2020-03-11,3.03,3,0
2020-03-12,3.04,3,0
2020-03-13,3.05,3,0
2020-03-14,5,3,0
2020-03-15,5.01,3,0
2020-03-16,8,5,0
2020-03-17,10,7,0
2020-03-18,14,10,1
2020-03-19,18,14,1
2020-03-20,20,16,1
2020-03-21,24,19,2
2020-03-22,27,22,2
2020-03-23,33,25,3
2020-03-24,39,30,4
2020-03-25,39.01,27,5
2020-03-26,44,28,5
2020-03-27,48,32,5
2020-03-28,48.01,28,5
2020-03-29,48.02,28,5
2020-03-30,49,25,5
2020-03-31,51,21,5
2020-04-01,54,23,6
2020-04-02,56,25,6
2020-04-03,61,29,6
2020-04-04,70,32,8
2020-04-05,88,46,9
2020-04-06,123,78,12
2020-04-07,164,114,17
2020-04-08,218,165,20
2020-04-09,330,276,21
2020-04-10,424,364,27
2020-04-11,482,416,30
2020-04-12,621,548,34
2020-04-13,803,722,39
2020-04-14,1012,924,46
2020-04-15,1231,1132,50
2020-04-16,1572,1463,60
2020-04-17,1838,1705,75
2020-04-18,2144,1994,84
2020-04-19,2456,2290,91
2020-04-20,2948,2762,101
2020-04-21,3382,3185,110
2020-04-22,3772,3560,120
2020-04-23,4186,3951,127
2020-04-24,4689,4446,131
2020-04-25,4998,4745,140
2020-04-26,5416,5149,145
2020-04-27,5913,5630,152
2020-04-28,6462,6168,155
2020-04-29,7103,6790,163
2020-04-30,7667,7339,168
2020-05-01,8238,7894,170
2020-05-02,8790,8438,175
2020-05-03,9455,8215,177
2020-05-04,10143,8752,182
2020-05-05,10929,9343,183
2020-05-06,11719,10130,186
2020-05-07,12425,10130,199
2020-05-08,13134,10316,206
2020-05-09,13770,10827,214
2020-05-10,14657,11142,228
2020-05-11,15691,11779,239
2020-05-12,16660,12550,250
2020-05-13,17822,13263,269
2020-05-14,18863,14192,283
2020-05-15,20065,14977,298
2020-05-16,20995,16564,314
2020-05-17,22268,17567,328.0
2020-05-18,23870,18936,349.0
2020-05-19,25121,19758,370.0
2020-05-20,26738,21145,386.0
2020-05-21,28511,22501,408.0
2020-05-22,30205,23583,432.0
2020-05-23,32078,25140,452.0
2020-05-24,33610,26229,480.0
2020-05-25,35585,27750,501.0
2020-05-26,36751,28650,522.0
2020-05-27,38292,29823,544.0
2020-05-28,40321,31337,559.0
