date,cases,active,death
2020-03-07,1,,
2020-03-09,5,,
2020-03-10,9,,
2020-03-11,13,,
2020-03-12,22,,
2020-03-13,23,,
2020-03-14,26,,
2020-03-15,27,,
2020-03-16,35,,
2020-03-17,41,,
2020-03-18,50,,
2020-03-19,69,,
2020-03-20,87,,
2020-03-21,113,,
2020-03-22,117,,
2020-03-23,134,,
2020-03-24,158,,
2020-03-25,177,,
2020-03-26,201,,
2020-03-27,231,,
2020-03-28,263,,
2020-03-29,295,,
2020-03-30,314,,
2020-03-31,330,,
2020-04-01,347,,
2020-04-02,375,,
2020-04-03,396,,
2020-04-04,416,,
2020-04-05,435,,
2020-04-06,454,,
2020-04-07,467,,
2020-04-08,483,,
2020-04-09,502,,
2020-04-10,539,,
2020-04-11,558,,
2020-04-12,577,,
2020-04-13,595,,
2020-04-14,612,,
2020-04-15,618,,
2020-04-16,626,,
2020-04-17,642,,
2020-04-18,649,,
2020-04-19,655,,
2020-04-20,660,,
2020-04-21,662,,
2020-04-22,669,,
2020-04-23,681,,
2020-04-24,687,,
2020-04-26,693,,
2020-04-27,695,,
2020-04-28,697,,
2020-04-29,705,,
2020-04-30,713,,
2020-05-01,719,,
2020-05-02,725,,
2020-05-03,733,,
2020-05-04,739,,
2020-05-05,742,,
2020-05-06,755,,
2020-05-07,761,,
2020-05-08,765,,
2020-05-09,773,,
2020-05-10,780,,
2020-05-11,792,,
2020-05-12,801,,
2020-05-13,804,,
2020-05-14,815,,
2020-05-15,830,,
2020-05-16,843,,
2020-05-17,853,,
2020-05-18,863,,
2020-05-19,866,,
2020-05-20,882,,
2020-05-21,897,,
2020-05-22,903,,
2020-05-23,911,,
2020-05-24,918,,
2020-05-25,930,,
2020-05-26,951,,
2020-05-27,956,,
2020-05-28,984,,
2020-05-29,1000,,
2020-05-30,1022,,
2020-05-31,1047,,
2020-06-01,1056,,
2020-06-02,1084,,
2020-06-03,1105,,
2020-06-04,1157,,
2020-06-05,1194,,
2020-06-06,1228,,
2020-06-07,1263,,
2020-06-08,1318,,
2020-06-09,1342,,
2020-06-10,1375,,
2020-06-11,1461,,
2020-06-12,1538,,
2020-06-13,1612,,
2020-06-14,1662,,
2020-06-15,1715,,
2020-06-16,1744,,
