date,cases,active,death
2020-02-29,1,0,0
2020-03-01,9,0,0
2020-03-02,9.01,0,0
2020-03-03,11,0,0
2020-03-04,15,0,0
2020-03-05,20,0,0
2020-03-06,20.01,0,0
2020-03-07,21,0,0
2020-03-08,21.01,0,0
2020-03-09,23,0,0
2020-03-10,25,0,0
2020-03-11,26,0,0
2020-03-12,26.01,0,0
2020-03-13,35,0,0
2020-03-14,42,0,0
2020-03-15,55,0,0
2020-03-16,86,0,0
2020-03-17,166,0,0
2020-03-18,251,0,0
2020-03-19,298,0,0
2020-03-20,637,0,0
2020-03-21,796,0,0
2020-03-22,1180,0,0
2020-03-23,1467,0,0
2020-03-24,1618,0,0
2020-03-25,1811,0,0
2020-03-26,2098,0,0
2020-03-27,2433,0,0
2020-03-28,2743,0,0
2020-03-29,2826,0,0
2020-03-30,2939,0,0
2020-03-31,3442,0,0
2020-04-01,4124,0,0
2020-04-02,4729,0,0
2020-04-03,5036,0,0
2020-04-04,5181,0,0
2020-04-05,5451,3366,0
2020-04-06,5603,3456,0
2020-04-07,5973,3635,0
2020-04-08,6654,4068,0
2020-04-09,7424,4354,0
2020-04-10,10707,6496,0
2020-04-11,10850,6531,0
2020-04-12,11164,6632,0
2020-04-13,11258,6577,0
2020-04-14,11368,6538,0
2020-04-15,11749,6690,388
2020-04-16,12298,6984,403
2020-04-17,12635,7191,421
2020-04-18,13490,7558,456
2020-04-19,14157,7933,474
2020-04-20,15143,8471,507
2020-04-21,15547,8671,520
2020-04-22,16223,9051,537
2020-04-23,16721,9295,560
2020-04-24,16985,20777,576
2020-04-25,16985.1,20777.1,576.1
2020-04-26,16985.2,20777.2,576.2
2020-04-27,17374,21020,663
2020-04-28,18136,21830,871
2020-04-29,18447,22235,883
2020-04-30,18641,22476,900
2020-05-01,19689,23360,1063
2020-05-02,20532,23961,1371
2020-05-03,22083,24674,1564
2020-05-04,22275,26879,1569
2020-05-05,23835,26879,1569
2020-05-06,27172,24369,1618
2020-05-07,27982,25211,1654
2020-05-08,28818,23681,1704

