date,cases,active,death
2020-02-15,11,0,1
2020-02-16,11.01,0,1.002
2020-02-17,11.02,0,1.003
2020-02-18,11.03,0,1.004
2020-02-19,11.04,0,1.005
2020-02-20,12,0,1.006
2020-02-21,12.01,0,1.007
2020-02-22,12.02,0,1.008
2020-02-23,12.03,0,1.009
2020-02-24,12.04,0,1.01
2020-02-25,13,0,1.011
2020-02-26,17,0,2
2020-02-27,37,0,2.001
2020-02-28,56,0,2.002
2020-02-29,99,0,2.003
2020-03-01,129,0,2.004
2020-03-02,189,0,3
2020-03-03,210,0,4
2020-03-04,282,0,4.001
2020-03-05,419,0,7
2020-03-06,647,0,9
2020-03-07,940,0,16
2020-03-08,1198,0,19
2020-03-09,1400,0,30
2020-03-10,1768,0,33
2020-03-11,2260,0,48
2020-03-12,2850,0,61
2020-03-13,3629,0,79
2020-03-14,4459,0,91
2020-03-15,5374,0,127
2020-03-16,6574,0,148
2020-03-17,7661,0,175
2020-03-18,9052,0,264
2020-03-19,10897,0,372
2020-03-20,12499,0,450
2020-03-21,14330,0,562
2020-03-22,15875,0,674
2020-03-23,19679,0,860
2020-03-24,22105,0,1100
2020-03-25,25008,0,1331
2020-03-26,28894,0,1696
2020-03-27,32669,25269,1995
2020-03-28,37239,29561,2314
2020-03-29,39815,30366,2606
2020-03-30,44152,33599,3024
2020-03-31,51662,39161,3523
2020-04-01,56480,42022,4032
2020-04-02,58576,41290,5387
2020-04-03,75776,61650,6507
2020-04-04,82276,66955,7560
2020-04-05,86934,68578,8078
2020-04-06,89643,71849,8911
2020-04-07,98293,79404,10328
2020-04-08,102139,80827,10869
2020-04-09,106733,82333,12210
2020-04-10,112908,86740,13197
2020-04-11,117121,89431,13832
2020-04-12,119553,91012,14393
2020-04-13,123186,94094,14967
2020-04-14,129088,98769,15729
2020-04-15,132449,99741,17167
2020-04-16,139512,114295,17920
2020-04-17,141836,132516,18681
2020-04-18,145469,96487,19323
2020-04-19,146522,96598,19718
2020-04-20,148934,97709,20265
2020-04-21,152157,98073,20796
2020-04-22,154549,97880,21340
2020-04-23,156768,94239,21856
2020-04-24,158398,94090,22245
2020-04-25,160043,94280,22614
2020-04-26,160650,94341,22856
2020-04-27,161812,97036,23293
2020-04-28,164427,95365,23660
2020-04-29,164931,94105,24087
2020-04-30,165682,93326,24376
2020-05-01,165849,92540,24594
2020-05-02,166890,93074,24760
2020-05-03,167184,93014,24895
2020-05-04,167946,92890,25201
2020-05-05,169026,92284,25531
2020-05-06,172633,94410,25809
2020-05-07,173228,93777,25987
2020-05-08,174504,94067,26230
2020-05-09,175078,94310,26310
2020-05-10,175387,94373,26380
2020-05-11,175836,94056,26643
2020-05-12,176630,93449,26991
2020-05-13,177429,92313,27074
2020-05-14,178236,91840,27425
2020-05-15,178870,91529,27529
2020-05-16,179365,90674,27625
2020-05-17,179569,90248,28108.0
2020-05-18,179927,89960,28239.0
2020-05-19,180809,90224,28022.0
2020-05-20,181575,90089,28132.0
2020-05-21,181826,89753,28215.0
2020-05-22,182219,89721,28289.0
2020-05-23,182469,89590,28332.0
2020-05-24,182584,89600,28367.0
