date,cases,active,death
2020-02-24,16,0,0
2020-02-24,18,0,0
2020-02-24,26,0,0
2020-02-24,48,0,0
2020-02-24,74,0,0
2020-02-24,79,0,0
2020-03-01,130,0,0
2020-03-02,165,0,0
2020-03-03,203,0,0
2020-03-04,262,0,0
2020-03-05,545,0,0
2020-03-06,670,0,0
2020-03-07,800,0,0
2020-03-08,1040,0,0
2020-03-09,1224,0,2
2020-03-10,1565,0,2.001
2020-03-11,1966,0,3
2020-03-12,2745,0,6
2020-03-13,3675,0,8
2020-03-14,4599,0,9
2020-03-15,5813,0,13
2020-03-16,7272,0,17
2020-03-17,9367,0,26
2020-03-18,12327,0,28
2020-03-19,15320,0,44
2020-03-20,19848,0,68
2020-03-21,22364,0,84
2020-03-22,24873,0,94
2020-03-23,29056,0,123
2020-03-24,32991,0,159
2020-03-25,37323,0,206
2020-03-26,43938,0,267
2020-03-27,50871,43862,351
2020-03-28,57695,48781,433
2020-03-29,62435,52683,541
2020-03-30,67051,52901,645
2020-03-31,71808,54933,775
2020-04-01,77981,58350,931
2020-04-02,84794,61247,1107
2020-04-03,91159,65309,1275
2020-04-04,96092,68248,1444
2020-04-05,100123,69839,1584
2020-04-06,103375,65484,1810
2020-04-07,107663,69566,2016
2020-04-08,113296,64647,2349
2020-04-09,118235,63221,2607
2020-04-10,122171,65522,2736
2020-04-11,125452,65181,2871
2020-04-12,127854,64532,3022
2020-04-13,130072,62578,3194
2020-04-14,132210,56115,3495
2020-04-15,134753,53949,3804.0
2020-04-16,137698,51846,4052.0
2020-04-17,141397,53931,4352.0
2020-04-18,143724,51186,4538.0
2020-04-19,145742,53100,4642.0
2020-04-20,147065,47003,4862.0
2020-04-21,148453,43967,5086.0
2020-04-22,150648,42033,5315.0
2020-04-23,153129,40754,5575.0
2020-04-24,154999,39439,5760.0
2020-04-25,156513,40836,5877.0
2020-04-26,157770,37294,5976.0
2020-04-27,158758,38132,6126.0
2020-04-28,159912,33198,6314.0
2020-04-29,161539,31572,6467.0
2020-04-30,163009,32886,6623.0
2020-05-01,164077,30441,6736.0
2020-05-02,164967,27555,6812.0
