date,cases,active,death
2020-02-15,28,19,0
2020-02-16,29,20,0
2020-02-17,30,20,0
2020-02-18,31,19,0
2020-02-19,58,42,0
2020-02-20,111,94,1
2020-02-21,209,190,2
2020-02-22,436,416,2.0001
2020-02-23,602,578,6
2020-02-24,833,803,8
2020-02-25,977,944,11
2020-02-25,1261,1225,12
2020-02-26,1766,1729,13
2020-02-27,2337,2297,16
2020-02-28,3150,3109,17
2020-02-29,3736,3685,21
2020-03-01,4335,4277,28
2020-03-02,5186,5120,32
2020-03-03,5621,5498,35
2020-03-04,6284,6107,42
2020-03-06,6593,6415,43
2020-03-07,7041,6875,48
2020-03-08,7313,7097,50
2020-03-09,7478,7178,53
2020-03-10,7513,7165,60
2020-03-11,7755,7362,60.0001
2020-03-12,7869,7293,66
2020-03-13,7979,7198,67
2020-03-14,8086,7180,72
2020-03-15,8162,7253,75
2020-03-16,8236,7024,75.0001
2020-03-17,8320,6838,81
2020-03-18,8413,6789,84
2020-03-19,8565,6527,91
2020-03-20,8652,6325,94
2020-03-21,8799,6085,102
2020-03-22,8897,5884,104
2020-03-23,8961,5684,111
2020-03-24,9037,5410,120
2020-03-25,9137,5281,126
2020-03-26,9332,4966,131
2020-03-27,9478,4523,139
2020-03-28,9583,4398,144
2020-03-29,9661,4275,152
2020-03-30,9786,4216,158
2020-03-31,9887,4155,162
2020-04-01,9976,3979,165
2020-04-02,10062,3867,169
2020-04-03,10156,3654,174
2020-04-04,10237,3591,177
2020-04-05,10284,3500,183
2020-04-06,10331,3445,186
2020-04-07,10384,3408,192
2020-04-08,10423,3246,200
2020-04-09,10450,3125,204
2020-04-10,10451,3125.01,208
2020-04-11,10512,2930,211
2020-04-12,10537,2873,214
2020-04-13,10564,2808,217
2020-04-14,10591,2750,222
2020-04-15,10613,2627,229.0
2020-04-16,10635,2576,230.0
2020-04-17,10653,2484,232.0
2020-04-18,10661,2385,234.0
2020-04-19,10674,2324,236.0
2020-04-20,10683,2233,237.0
2020-04-21,10694,2179,238.0
2020-04-22,10702,2051,240.0
2020-04-23,10708,1967,240.0
2020-04-24,10718,1843,240.0
2020-04-25,10728,1769,242.0
2020-04-26,10738,1731,243.0
2020-04-27,10752,1654,244.0
2020-04-28,10761,1593,246.0
2020-04-29,10765,1459,247.0
2020-04-30,10774,1454,248.0
2020-05-01,10780,1407,250.0
2020-05-02,10793,1360,250.0
2020-05-03,10801,1332,252.0
2020-05-04,10804,1267,254.0
2020-05-05,10806,1218,255.0
2020-05-06,10810,1135,256.0
2020-05-07,10822,1082,256.0
2020-05-08,10840,1016,256.0
2020-05-09,10874,1008,256.0
2020-05-10,10909,1021,256.0
2020-05-11,10936,1008,258.0
2020-05-12,10962,1008,259.0
2020-05-13,10991,969,260.0
2020-05-14,11018,937,260.0
2020-05-15,11037,924,262.0
2020-05-16,11050,900,262.0
2020-05-17,11065,898,263.0
2020-05-18,11078,877,263.0
2020-05-19,11110,781,263.0
2020-05-20,11122,723,264.0
2020-05-21,11142,716,264.0
