date,cases,active,death
2020-02-24,5,5,0
2020-02-25,11,11,0
2020-02-26,26,26,0
2020-02-27,43,43,0
2020-02-28,45,45,0
2020-02-29,45.1,45,0
2020-03-01,46,46,0
2020-03-02,56,56,0
2020-03-03,56.1,56,0
2020-03-04,56.2,56,0
2020-03-05,58,58,0
2020-03-06,58.1,57,0
2020-03-07,61,60,0
2020-03-08,64,63,0
2020-03-09,65,64,0
2020-03-10,69,68,0
2020-03-11,72,69,0
2020-03-12,80,75,0
2020-03-13,100,95,0
2020-03-14,104,97,0
2020-03-15,112,103,0
2020-03-16,123,114,0
2020-03-17,130,118,0
2020-03-18,142,127,0
2020-03-19,148,130,0
2020-03-20,159,137,0
2020-03-21,176,149,0
2020-03-22,188,158,0
2020-03-23,189,159,0
2020-03-24,191,152,0
2020-03-25,195,152,0
2020-03-26,208,159,0
2020-03-27,225,168,0
2020-03-28,235,171,0
2020-03-29,255,188,0
2020-03-30,266,194,0
2020-03-31,289,216,0
2020-04-01,317,237,0
2020-04-02,342,261,0
2020-04-03,417,335,0
2020-04-04,479,385,1
2020-04-05,556,456,1.01
2020-04-06,665,561,1.02
2020-04-07,743,637,1.03
2020-04-08,855,743,1.04
2020-04-09,910,798,1.05
2020-04-10,993,869,1.06
2020-04-11,1154,1020,1.07
2020-04-12,1234,1091,1.08
2020-04-13,1300,1148,2
2020-04-14,1355,1176,3
2020-04-15,1405,1196,3.01
2020-04-16,1524,1296,3.2
2020-04-17,1658,1395,5
2020-04-18,1751,1465,6
2020-04-19,1915,1603,7
2020-04-20,1995,1619,9
2020-04-21,2080,1657,11
2020-04-22,2248,1792,13
2020-04-23,2399,1887,14
2020-04-24,2614,1986,15
2020-04-25,2892,2217,19
2020-04-26,3075,2249,20
2020-04-27,3288,2254,22
2020-04-28,3440,2241,23
2020-04-29,3740,2327,24
2020-04-30,4024,2459,26
2020-05-01,4377,2745,30
2020-05-02,4619,2883,33
2020-05-03,4983,3169,38
2020-05-04,5278,3291,40
2020-05-05,5804,3732,40.01
2020-05-06,6289,4028,42
2020-05-07,6567,4142,44
2020-05-08,7208,4695,47
2020-05-09,7623,4952,49
2020-05-10,8688,5901,58
2020-05-11,9286,6314,65
2020-05-12,10277,7101,75
2020-05-13,11028,7683,82
2020-05-14,11975,8436,88
2020-05-15,12860,9124,96
2020-05-16,13802,9852,107
2020-05-17,14850,10645,112.0
2020-05-18,15691,11234,118.0
2020-05-19,16764,11962,121.0
2020-05-20,17568,12559,124.0
2020-05-21,18609,13275,129.0
2020-05-22,19564,13911,138.0
