date,cases,active,death
2020-02-27,2,0
2020-02-28,5,0
2020-02-29,5.01,0
2020-03-01,7,0
2020-03-02,7.01,0
2020-03-03,14,0
2020-03-04,28,0
2020-03-05,33,0
2020-03-06,60,0
2020-03-07,70,0
2020-03-08,75,0
2020-03-09,93,0
2020-03-10,93.01,0
2020-03-11,123,0
2020-03-12,132,0
2020-03-13,165,0
2020-03-14,203,0
2020-03-15,386,0
2020-03-16,524,0
2020-03-17,622,0
2020-03-18,728,0
2020-03-19,823,0
2020-03-20,940,0
2020-03-21,1061,0
2020-03-22,1157,0
2020-03-23,1345,0
2020-03-24,1425,0
2020-03-25,1577,0
2020-03-26,1793,0
2020-03-27,1876,0
2020-03-28,1973,0
2020-03-29,2047,0
2020-03-30,2110,0
2020-03-31,2186,0
2020-04-01,2908,2218
2020-04-02,3116,2299
2020-04-03,3333,2453
2020-04-04,3483,2511
2020-04-05,3662,2596
2020-04-06,3793,2490
2020-04-07,3963,2579
2020-04-08,4119,2567
2020-04-09,4228,2553
2020-04-10,4346,2446
2020-04-11,4530,2462
2020-04-12,4683,2499
2020-04-13,4817,2464
2020-04-14,4987,2427
2020-04-15,5072,2342,83.0
2020-04-16,5182,2332,84.0
2020-04-17,5251,2198,86.0
2020-04-18,5305,2115,88.0
2020-04-19,5389,2103,89.0
2020-04-20,5425,2041,89.0
2020-04-21,5482,2041,92.0
2020-04-22,5532,1987,93.0
2020-04-23,5603,1966,95.0
2020-04-24,5691,1932,96.0
2020-04-25,5742,1882,98.0
2020-04-26,5780,1820,98.0
2020-04-27,5820,1764,99.0
2020-04-28,5851,1719,100.0
2020-04-29,5945,1758,100.0
2020-04-30,6002,1729,102.0
2020-05-01,6071,1758,103.0
2020-05-02,6176,1747,103.0
2020-05-03,6298,1780,105.0
2020-05-04,6353,1764,105.0
2020-05-05,6383,1710,106.0
2020-05-06,6428,1619,107.0
2020-05-07,6467,1584,107.0
2020-05-08,6535,1564,107.0
2020-05-09,6589,1552,108.0
2020-05-10,6656,1523,108.0
2020-05-11,6726,1504,109.0
2020-05-12,6742,1410,109.0
2020-05-13,6779,1387,111.0
2020-05-14,6819,1356,112.0
2020-05-15,6855,1304,112.0
2020-05-16,6872,1247,113.0
2020-05-17,6894,1210,113.0
2020-05-18,6941,1213,113.0
2020-05-19,6978,1218,114.0
2020-05-20,7009,1189,114.0
2020-05-21,7059,1149,114.0
2020-05-22,7137,1163,115.0
2020-05-23,7185,1158,115.0
2020-05-24,7245,1185,115.0
2020-05-25,7417,1323,115.0
2020-05-26,7604,1448,115.0
2020-05-27,7619,1421,115.0
2020-05-28,7629,1345,115.0
2020-05-29,7732,1382,115.0
2020-05-30,7762,1317,115.0
2020-05-31,7819,1351,115.0
2020-06-01,7857,1338,115.0
2020-06-02,7877,1292,115.0
2020-06-03,7970,1324,115.0
2020-06-04,8247,1573,115.0
2020-06-05,8266,1540,116.0
2020-06-06,8303,1551,117.0
2020-06-07,8322,1531,117.0
2020-06-08,8329,1518,117.0
2020-06-09,8336,1244,117.0
2020-06-10,8338,1206,118.0
2020-06-11,8369,1186,118.0
2020-06-12,8402,1115,119.0
2020-06-13,8445,1014,120.0
2020-06-14,8453,986,121.0
2020-06-15,8494,973,121.0
2020-06-16,8505,651,121.0
2020-06-17,8515,521,121.0
2020-06-18,8529,408,121.0
2020-06-19,8535,344,121.0
2020-06-20,8556,289,121.0
2020-06-21,8572,295,121.0
2020-06-22,8587,289,121.0
2020-06-23,8590,283,121.0
2020-06-24,8596,244,121.0
2020-06-25,8600,208,121.0
2020-06-26,8606,191,121.0
2020-06-27,8616,187,121.0
2020-06-28,8634,195,121.0
2020-06-29,8637,182,121.0
2020-06-30,8639,164,121.0
2020-07-01,8640,144,121.0
2020-07-02,8643,85,121.0
2020-07-03,8648,81,121.0
2020-07-04,8658,76,121.0
2020-07-05,8668,71,121.0
2020-07-06,8674,72,121.0
2020-07-07,8674.5,72,121.0
2020-07-08,8677,70,121.0
2020-07-09,8683,63,121.0
2020-07-10,8696,64,121.0
2020-07-11,8704,67,122.0
2020-07-12,8718,77,122.0
