date,cases,active,death
2020-02-26,0,0,0
2020-02-27,3,0,0
2020-02-28,5,0,0
2020-02-29,14,0,0
2020-03-01,18,0,0
2020-03-02,24,0,0
2020-03-03,31,0,0
2020-03-04,57,0,0
2020-03-05,90,0,0
2020-03-06,122,0,0
2020-03-07,151,0,0
2020-03-08,170,0,1.0001
2020-03-09,219,0,1.0002
2020-03-10,387,0,1.0003
2020-03-11,608,0,1.0004
2020-03-12,774,0,2
2020-03-13,964,0,4
2020-03-14,1073,0,4.0001
2020-03-15,1215,0,5
2020-03-16,1304,0,7
2020-03-17,1423,0,7.0001
2020-03-18,1540,0,7.0002
2020-03-19,1732,0,8
2020-03-20,1896,0,8.0001
2020-03-21,2094,0,9
2020-03-22,2308,0,9.0001
2020-03-23,2540,0,11
2020-03-24,2774,0,13
2020-03-25,2985,0,15
2020-03-26,3263,0,15.0001
2020-03-27,3650,3745,15.0002
2020-03-28,3902,4002,16
2020-03-29,4146,4251,22
2020-03-30,4320,4420,23
2020-03-31,4494,4591,23.0001
2020-04-01,4720,4820,24
2020-04-02,5050,5136,29
2020-04-03,5197,5279,30
2020-04-04,5372,5456,32
2020-04-05,5574,5656,33
2020-04-06,5677,5757,33
2020-04-07,5890,5965,36
2020-04-08,6042,5909,37
2020-04-09,6219,6079,38
2020-04-10,6314,6169,38.0001
2020-04-11,6409,6258,40
2020-04-12,6525,6365,41
2020-04-13,6603,6439,41.2
2020-04-14,6623,6452,41.3
2020-04-15,6797,6616,150
2020-04-16,6905,6721,152
2020-04-17,6937,6744,161
2020-04-18,7036,6873,164
2020-04-19,7078,6881,165
2020-04-20,7156,6943,181
2020-04-21,7241,7027,182
2020-04-22,7338,7119,187
2020-04-23,7401,7175,194
2020-04-24,7463,7232,199
2020-04-25,7493,7266,201
2020-04-26,7527,7294,201
2020-04-27,7599,7362,205
2020-04-28,7660,7422,206
2020-04-29,7710,7471,207.0
2020-04-30,7738,7496,210.0
2020-05-01,7783,7541,210.0
2020-05-02,7809,7566,211.0
2020-05-03,7847,7604,211.0
