date,cases,active,death
2020-01-30,1
2020-02-02,2
2020-02-06,3
2020-03-07,5
2020-03-08,6
2020-03-09,10
2020-03-10,33
2020-03-12,49
2020-03-13,52
2020-03-14,64
2020-03-15,111
2020-03-16,140
2020-03-17,142
2020-03-18,187
2020-03-19,202
2020-03-20,230
2020-03-22,380
2020-03-24,462
2020-03-25,552
2020-03-26,636
2020-03-27,707
2020-03-28,803
2020-03-29,1075
2020-03-30,1418
2020-03-31,2084
2020-04-01,2311
2020-04-02,2633
2020-04-03,3018
2020-04-04,3094,0
2020-04-05,3414,3198
2020-04-06,3660,3424
2020-04-07,3764,3503
2020-04-08,3870,3592
2020-04-09,4076,3749
2020-04-10,4195,3834
2020-04-11,4428,4024
2020-04-12,4648,4154
2020-04-13,4932,4375
2020-04-14,5223,4593
2020-04-15,5453,4751,349.0
2020-04-16,5660,4863,362.0
2020-04-17,5878,5004,387.0
2020-04-18,6087,5174,397.0
2020-04-19,6259,5278,409.0
2020-04-20,6459,5418,428.0
2020-04-21,6599,5508,437.0
2020-04-22,6710,5571,446.0
2020-04-23,6981,5797,462.0
2020-04-24,7192,5953,477.0
2020-04-25,7294,6008,494.0
2020-04-26,7579,6216,501.0
2020-04-27,7777,6334,511.0
2020-04-28,7958,6453,530.0
2020-04-29,8212,6631,558.0
2020-04-30,8488,6877,568.0
2020-05-01,8772,7109,579.0
2020-05-02,8928,7201,603.0
2020-05-03,9223,7402,607.0
2020-05-04,9485,7547,623.0
2020-05-05,9684,7639,637.0
2020-05-06,10004,7840,658.0
2020-05-07,10343,8040,685.0
2020-05-08,10463,8033,696.0
2020-05-09,10610,8064,704.0
2020-05-10,10794,8151,719.0
2020-05-11,11086,8361,726.0
2020-05-12,11350,8493,751.0
2020-05-13,11618,8595,772.0
2020-05-14,11876,8749,790.0
2020-05-15,12091,8825,806.0
2020-05-16,12305,8927,817.0
2020-05-17,12513,9054,824.0
2020-05-18,12718,9158,831.0
2020-05-19,12942,9262,837.0
2020-05-20,13221,9447,842.0
2020-05-21,13434,9588,846.0
2020-05-22,13597,9648,857.0
2020-05-23,13777,9737,863.0
2020-05-24,14035,9918,868.0
2020-05-25,14319,10123,873.0
2020-05-26,14669,10371,886.0
2020-05-27,15049,10639,904.0
2020-05-28,15588,11069,921.0
2020-05-29,16634,11972,942.0
2020-05-30,17224,12466,950.0
2020-05-31,18086,13220,957.0
2020-06-01,18638,13699,960.0
2020-06-02,18997,13968,966.0
2020-06-03,19748,14621,974.0
2020-06-04,20382,15150,984.0
2020-06-05,20626,15309,987.0
2020-06-06,21340,15905,994.0
2020-06-07,21895,16362,1003.0
2020-06-08,22474,16826,1011.0
2020-06-09,22992,17239,1017.0
2020-06-10,23732,17810,1027.0
2020-06-11,24175,17974,1036.0
2020-06-12,24787,18281,1052.0
2020-06-13,25392,18612,1074.0
2020-06-14,25930,18888,1088.0
2020-06-15,26420,19070,1098.0
2020-06-16,26781,19126,1103.0
2020-06-17,27238,19310,1108.0
2020-06-18,27799,19593,1116.0
2020-06-19,28459,19951,1130.0
2020-06-20,29400,20600,1150.0
2020-06-21,30052,20990,1169.0
2020-06-22,30682,21362,1177.0
2020-06-23,31825,22197,1186.0
2020-06-24,32295,22435,1204.0
2020-06-25,33069,22947,1212.0
2020-06-26,34073,23667,1224.0
2020-06-27,34803,24137,1236.0
2020-06-28,35455,24525,1244.0
2020-06-29,36438,25227,1255.0
