date,cases,active,death
2020-03-10,1
2020-03-11,7
2020-03-12,14
2020-03-13,27
2020-03-14,36
2020-03-15,43
2020-03-16,69
2020-03-17,86
2020-03-18,109
2020-03-19,137
2020-03-20,200
2020-03-21,245
2020-03-22,313
2020-03-23,345
2020-03-24,443
2020-03-25,588
2020-03-26,674
2020-03-27,786
2020-03-28,901
2020-03-29,989
2020-03-30,1075
2020-03-31,1181
2020-04-01,1317
2020-04-02,1475
2020-04-03,1673
2020-04-04,1801,0
2020-04-05,1988,1921
2020-04-06,2100,2031
2020-04-07,2249,2174
2020-04-08,2528,2449
2020-04-09,2752,2670
2020-04-10,2974,2883
2020-04-11,3234,3132
2020-04-12,3400,3284
2020-04-13,3472,3317
2020-04-14,3574,3407
2020-04-15,3751,3573,103.0
2020-04-16,4016,3809,109.0
2020-04-17,4210,3972,116.0
2020-04-18,4273,4013,120.0
2020-04-19,4467,4176,126.0
2020-04-20,4658,4318,136.0
2020-04-21,4821,4449,141.0
2020-04-22,4992,4593,144.0
2020-04-23,5166,4749,146.0
2020-04-24,5338,4865,154.0
2020-04-25,5538,5041,159.0
2020-04-26,5779,5245,165.0
2020-04-27,6021,5399,167.0
2020-04-28,6200,5540,176.0
2020-04-29,6378,5673,178.0
2020-04-30,6532,5768,188.0
2020-05-01,6720,5906,192.0
2020-05-02,7090,6252,197.0
2020-05-03,7197,6356,200.0
2020-05-04,7387,6458,203.0
2020-05-05,7523,6490,210.0
2020-05-06,7731,6654,218.0
2020-05-07,7868,6757,225.0
2020-05-08,8070,6953,231.0
2020-05-09,8282,3544,237.0
2020-05-10,8448,3517,244.0
2020-05-11,8616,3680,249.0
2020-05-12,8783,2510,252.0
2020-05-13,8944,2621,256.0
2020-05-14,9118,2778,260.0
2020-05-15,9268,2922,266.0
2020-05-16,9449,3100,269.0
2020-05-17,9606,3250,275.0
2020-05-18,9726,3366,279.0
2020-05-19,9867,3392,281.0
2020-05-20,9977,3496,287.0
2020-05-21,10116,3580,291.0
2020-05-22,10267,3697,295.0
2020-05-23,10577,3999,299.0
2020-05-24,10926,4341,306.0
2020-05-25,11183,4594,310.0
2020-05-26,11447,4755,313.0
2020-05-27,11728,4034,315.0
2020-05-28,12131,4432,320.0
2020-05-29,12531,4665,326.0
2020-05-30,13018,3274,330.0
2020-05-31,13463,3613,336.0
2020-06-01,13837,3979,344.0
2020-06-02,14095,4229,352.0
2020-06-03,14609,4733,357.0
2020-06-04,15044,5062,363.0
2020-06-05,15463,5374,370.0
2020-06-06,16004,5500,386.0
2020-06-07,16425,5814,393.0
2020-06-08,16854,6055,398.0
2020-06-09,17233,6269,403.0
2020-06-10,17889,6499,413.0
2020-06-11,18586,7191,418.0
2020-06-12,19211,5031,421.0
2020-06-13,20059,5871,429.0
2020-06-14,20686,6483,437.0
2020-06-15,21422,7208,448.0
2020-06-16,21962,7731,457.0
2020-06-17,22597,8353,470.0
2020-06-18,23351,9094,475.0
2020-06-19,24274,9430,485.0
2020-06-20,25222,10370,493.0
2020-06-21,26030,11170,501.0
2020-06-22,26752,11567,521.0
2020-06-23,27314,12084,536.0
2020-06-24,28030,12689,547.0
2020-06-25,29037,13673,564.0
2020-06-26,29905,14060,575.0
2020-06-27,30658,14696,592.0
2020-06-28,31686,15612,604.0
2020-06-29,32785,16570,620.0
2020-06-30,33550,17174,631.0
2020-07-01,34463,17873,645.0
2020-07-02,35237,18125,667.0
2020-07-03,35995,18352,698.0
2020-07-04,36983,18502,720.0
2020-07-05,38149,19416,747.0
2020-07-06,39334,20528,770.0
2020-07-07,40291,20766,799.0
2020-07-08,41251,20963,819.0
2020-07-09,42216,20940,839.0
2020-07-10,43257,20968,863.0
2020-07-11,44332,21269,893.0
2020-07-12,45633,21685,909.0
2020-07-13,47173,22322,932.0
2020-07-14,48096,22469,960.0
2020-07-15,49243,22844,982.0
2020-07-16,50373,23531,1000.0
2020-07-17,51408,23850,1038.0
2020-07-18,52261,23696,1071.0
2020-07-19,53468,23890,1096.0
2020-07-20,54426,24135,1127.0
2020-07-21,55153,23919,1159.0
2020-07-22,55906,23604,1180.0
2020-07-23,56817,23780,1209.0
2020-07-24,57993,24039,1250.0
2020-07-25,58864,24161,1275.0
2020-07-26,60296,24871,1294.0
2020-07-27,61442,25034,1322.0
2020-07-28,62223,24693,1349.0
2020-07-29,63269,24579,1374.0
2020-07-30,64191,24576,1397.0
2020-07-31,65256,24669,1421.0
2020-08-01,66383,24853,1449.0
2020-08-02,67453,24944,1471.0
2020-08-03,68456,24866,1497.0
2020-08-04,69424,24572,1522.0
2020-08-05,70231,23886,1553.0
2020-08-06,71418,24186,1574.0
2020-08-07,72560,24294,1591.0
2020-08-08,73651,24558,1609.0
2020-08-09,74492,24105,1639.0
2020-08-10,75394,24220,1664.0
2020-08-11,76464,24119,1680.0
2020-08-12,77377,24077,1703.0
2020-08-13,78446,24514,1722.0
2020-08-14,79402,24782,1734.0
2020-08-15,80665,25062,1746.0
2020-08-16,81940,25172,1767.0
2020-08-17,82543,24910,1788.0
2020-08-18,82790,23790,1809.0
2020-08-19,83754,23653,1827.0
2020-08-20,83855,22837,1844.0
2020-08-21,84392,22811,1859.0
2020-08-22,85480,23074,1878.0
2020-08-23,86900,23588,1892.0
2020-08-24,87485,23394,1906.0
2020-08-25,88381,23703,1919.0
2020-08-26,89082,23555,1932.0
2020-08-27,89982,24038,1948.0
2020-08-28,90624,24056,1966.0
2020-08-29,91337,24235,1983.0
2020-08-30,92065,24323,1995.0
2020-08-31,92982,24807,2002.0
2020-09-01,93552,24560,2018.0
