date,cases,active,death
2020-03-03,1,0,0
2020-03-04,2,0,0
2020-03-05,5,0,0
2020-03-06,5.01,0,0
2020-03-07,7,0,0
2020-03-08,11,0,0
2020-03-09,20,0,0
2020-03-10,20.01,0,0
2020-03-11,45,0,0
2020-03-12,45.01,0,0
2020-03-13,86,0,0
2020-03-14,103,0,0
2020-03-15,118,0,0
2020-03-16,133,0,0
2020-03-17,171,0,0
2020-03-18,238,0,0
2020-03-19,274,0,0
2020-03-20,344,0,0
2020-03-21,392,0,0
2020-03-22,511,0,0
2020-03-23,562,0,0
2020-03-24,767,0,0
2020-03-25,900,0,0
2020-03-26,1012,0,0
2020-03-27,1104,0,0
2020-03-28,1203,0,0
2020-03-29,1299,0,0
2020-03-30,1453,0,0
2020-03-31,1563,0,0
2020-04-01,1720,0,0
2020-04-02,1885,0,0
2020-04-03,2039,0,0
2020-04-04,2179,0,0
2020-04-05,2402,0,0
2020-04-06,2605,0,0
2020-04-07,2795,0,0
2020-04-08,2932,0,0
2020-04-09,3287,0,0
2020-04-10,3651,0,0
2020-04-11,4033,0,0
2020-04-12,4462,0,0
2020-04-13,4934,0,0
2020-04-14,5369,0,0
2020-04-15,5862,0,0
2020-04-16,6380,0,0
2020-04-17,7142,0,0
2020-04-18,8274,0,0
2020-04-19,9362,0,0
2020-04-20,10484,0,0
2020-04-21,11631,0,0
2020-04-22,12772,0,0
2020-04-23,13930,0,0
2020-04-24,15102,0,0
2020-04-25,16299,0,0
2020-04-26,17522,0,0
2020-04-27,18811,0,0
2020-04-28,20077,0,0
2020-04-29,21402,0,0
2020-04-30,22753,0,0

2020-05-01,24097,20373,169.0
2020-05-02,25459,21518,176.0
2020-05-03,27011,22693,184.0
2020-05-04,28656,23989,191.0
2020-05-05,30251,24620,200.0
2020-05-06,31938,24946,209.0
2020-05-07,33731,25714,219.0
