date,cases,active,death
2020-03-07,1
2020-03-08,3
2020-03-09,5
2020-03-11,7
2020-03-12,10
2020-03-13,21
2020-03-14,30
2020-03-15,44
2020-03-16,61
2020-03-17,84
2020-03-18,97
2020-03-19,107
2020-03-20,123
2020-03-21,137
2020-03-22,178
2020-03-23,185
2020-03-24,191
2020-03-25,204
2020-03-26,216
2020-03-27,226
2020-03-28,295
2020-03-30,336
2020-04-01,363
2020-04-02,400
2020-04-03,426
2020-04-04,450
2020-04-05,471
2020-04-06,485
2020-04-07,534,0
2020-04-08,682,664
2020-04-09,701,676
2020-04-10,715,690
2020-04-11,728,703
2020-04-12,742,717
2020-04-13,769,660
2020-04-14,835,720
2020-04-15,863,706,6.0
2020-04-16,977,802,8.0
2020-04-17,1049,865,9.0
2020-04-18,1089,865,11.0
2020-04-19,1161,920,12.0
2020-04-20,1173,909,13.0
2020-04-21,1199,927,14.0
2020-04-22,1244,946,14.0
2020-04-23,1325,1022,15.0
2020-04-24,1360,988,17.0
2020-04-25,1373,970,17.0
2020-04-26,1379,967,18.0
2020-04-27,1381,960,18.01
2020-04-28,1384,941,20.0
2020-04-29,1391,885,22.0
2020-04-30,1396,849,23.0
2020-05-01,1403,822,23.0
2020-05-02,1407,775,24.0
2020-05-03,1408,765,24.0
2020-05-04,1413,745,25.0
2020-05-05,1421,655,25.0
2020-05-06,1429,642,25.0
2020-05-07,1445,613,26.0
2020-05-08,1455,524,26.0
2020-05-09,1457,490,26.0
2020-05-10,1460,490,26.0
2020-05-11,1465,455,27.0
2020-05-12,1469,382,27.0
2020-05-13,1477,338,27.0
2020-05-14,1480,322,27.0
2020-05-15,1493,314,28.0
2020-05-16,1494,303,28.0
2020-05-17,1495,282,28.0
2020-05-18,1495.1,282,28.0
2020-05-19,1496,237,28.0
2020-05-20,1502,229,28.0
2020-05-21,1503,219,28.0
2020-05-22,1504,196,28.0
2020-05-23,1509,180,28.0
2020-05-24,1511,176,28.0
2020-05-25,1513,163,28.0
2020-05-26,1515,160,28.0
2020-05-27,1520,160,28.0
2020-05-28,1520.3,160,28.0
2020-05-29,1520.6,154,28.0
2020-05-30,1521,137,28.0
2020-05-31,1522,126,28.0
2020-06-01,1522.5,126,28.0
2020-06-02,1525,122,28.0
2020-06-03,1526,122,28.0
2020-06-04,1526.3,122,28.0
2020-06-05,1526.6,119,28.0
2020-06-06,1528,121,28.0
2020-06-07,1530,106,28.0
2020-06-08,1531,101,28.0
2020-06-09,1533,101,28.0
2020-06-10,1533.1,101,28.0
2020-06-11,1541,104,28.0
2020-06-12,1542,105,28.0
2020-06-13,1545,107,28.0
2020-06-14,1548,110,28.0
2020-06-15,1552,98,28.0
2020-06-16,1552.5,96,28.0
2020-06-17,1561,96,28.0
2020-06-18,1562,91,28.0
2020-06-19,1576,101,28.0
2020-06-20,1587,112,28.0
2020-06-21,1588,113,28.0
2020-06-22,1589,113,28.0
2020-06-23,1607,131,28.0
2020-06-24,1607.5,131,28.0
2020-06-25,1630,150,28.0
2020-06-26,1643,160,28.0
2020-06-27,1657,174,28.0
2020-06-28,1664,175,28.0
2020-06-29,1665,173,28.0
2020-06-30,1667,175,28.0
2020-07-01,1687,193,28.0
2020-07-02,1700,206,28.0
2020-07-03,1720,226,28.0
2020-07-04,1749,255,28.0
2020-07-05,1765,271,28.0
2020-07-06,1767,266,28.0
2020-07-07,1798,297,28.0
2020-07-08,1851,346,28.0
2020-07-09,1870,361,28.0
2020-07-10,1893,372,28.0
2020-07-11,1901,380,28.0
