date,cases,active,death
2020-02-25,9,7,0
2020-02-26,13,11,0
2020-02-27,25,23,0
2020-02-28,33,31,0
2020-02-29,58,56,0
2020-03-01,84,82,0
2020-03-02,120,118,0
2020-03-03,165,162,1
2020-03-04,228,224,2
2020-03-05,282,276,3
2020-03-06,401,387,8
2020-03-07,525,485,10
2020-03-08,674,625,17
2020-03-09,1231,1169,30
2020-03-10,1695,1524,36
2020-03-11,2277,2039,55
2020-03-12,3146,2871,86
2020-03-13,5232,4906,133
2020-03-14,6391,5678,196
2020-03-15,7988,7177,294
2020-03-16,9942,9070,342
2020-03-17,11826,10265,533
2020-03-18,14769,13050,638
2020-03-19,18077,16139,831
2020-03-20,21571,18890,1093
2020-03-21,25496,21990,1381
2020-03-22,28768,24421,1772
2020-03-23,35136,29470,2311
2020-03-24,42058,35273,2991
2020-03-25,49515,40501,3647
2020-03-26,57786,46406,4365
2020-03-27,65719,51224,5136
2020-03-28,73235,54968,5982
2020-03-29,80110,58598,6803
2020-03-30,87956,63460,7716
2020-03-31,95923,68200,8464
2020-04-01,104118,72084,9387
2020-04-02,112065,74974,10348
2020-04-03,119199,77488,11198
2020-04-04,126168,80002,11947
2020-04-05,131646,80925,12641
2020-04-06,136675,82897,13341
2020-04-07,141942,84689,14045
2020-04-08,148220,85407,14792
2020-04-09,153222,85610,15447
2020-04-10,158273,86524,16081
2020-04-11,163027,87312,16606
2020-04-12,166831,87231,17209
2020-04-13,170099,87616,17756
2020-04-14,174060,88301,18255
2020-04-15,180659,90994,18812.0
2020-04-16,184948,90836,19315.0
2020-04-17,190839,96040,20002.0
2020-04-18,194416,98980,20639.0
2020-04-19,198674,100864,21049.0
2020-04-20,200210,98771,21448.0
2020-04-21,204178,100382,21878.0
2020-04-22,208389,100757,22313.0
2020-04-23,213024,101617,22753.0
2020-04-24,219764,104885,23120.0
2020-04-25,223759,105149,23487.0
2020-04-26,226629,85712,23867.0
2020-04-27,229422,85069,24198.0
2020-04-28,232128,84403,23822.0
2020-04-29,236899,79695,24275.0
2020-04-30,239639,77112,24543.0
2020-05-01,242988,75714,24824.0
2020-05-02,245567,74234,25100.0
2020-05-03,247122,73300,25264.0
2020-05-04,248301,71240,25428.0
2020-05-05,250561,70230,25613.0
2020-05-06,253682,68466,25857.0
2020-05-07,256855,66866,26070.0
2020-05-08,260117,65410,26299.0
2020-05-09,262783,63148,26478.0
2020-05-10,264663,61603,26621.0
2020-05-11,268143,63553,26744.0
2020-05-12,269520,62130,26920.0
2020-05-13,271095,60764,27104.0
