date,cases,active,death
2020-03-10,1,0,0
2020-03-11,2,0,0
2020-03-12,3,0,0
2020-03-13,6,0,0
2020-03-14,10,0,0
2020-03-15,18,0,0
2020-03-16,28,0,0
2020-03-17,44,0,0
2020-03-18,51,0,0
2020-03-19,60,0,0
2020-03-20,73,0,0
2020-03-21,77,0,0
2020-03-22,82,0,0
2020-03-23,97,0,0
2020-03-24,102,0,0
2020-03-25,102.01,0,0
2020-03-26,106,0,0
2020-03-27,106.1,0,0
2020-03-28,113,0,0
2020-03-29,117,0,0
2020-03-30,122,0,0
2020-03-31,143,0,0
2020-04-01,146,0,0
2020-04-02,151,0,0
2020-04-03,159,0,0
2020-04-04,166,0,0
2020-04-05,176,0,0
2020-04-06,178,0,0
2020-04-07,185,0,0
2020-04-08,189,0,0
2020-04-09,190,0,0
2020-04-10,190.1,0,0
2020-04-11,198,0,0
2020-04-12,210,0,0
2020-04-13,217,0,0
2020-04-14,233,0,0
2020-04-15,238,0,0
2020-04-16,238.1,0,0
2020-04-17,244,0,0
2020-04-18,254,0,0
2020-04-19,271,0,0
2020-04-20,304,0,0
2020-04-21,310,0,0
2020-04-22,330,0,0
2020-04-23,368,0,0
2020-04-24,417,0,0
2020-04-25,452,0,0
2020-04-26,523,0,0
2020-04-27,588,0,0
2020-04-28,619,0,0
2020-04-29,649,0,0
2020-04-30,663,0,0
2020-05-01,690,0,0
2020-05-02,702,0,0
2020-05-03,718,527,7
2020-05-04,751,549,7
2020-05-05,771,549,7
2020-05-06,797,573,8
2020-05-07,823,582,9
2020-05-08,835,586,9
2020-05-09,847,578,9
2020-05-10,856,526,9
2020-05-11,863,511,9
2020-05-12,889,514,9
2020-05-13,893,502,9
2020-05-14,925,471,9
2020-05-15,935,449,9
2020-05-16,957,428,9
2020-05-17,981,434,9.0
2020-05-18,992,424,9.0
2020-05-19,1027,449,9.0
2020-05-20,1028,435,9.0
2020-05-21,1055,442,9.0
2020-05-22,1068,439,9.0
2020-05-23,1089,420,9.0
2020-05-24,1141,458,9.0
2020-05-25,1182,477,10.0
2020-05-26,1319,597,10.0
2020-05-27,1469,727,10.0
2020-05-28,1530,775,10.0
2020-05-29,1558,794,10.0
2020-05-30,1620,829,10.0
2020-05-31,1633,821,11.0
2020-06-01,1643,821,11.0
2020-06-02,1683,849,11.0
2020-06-03,1749,902,11.0
2020-06-04,1797,947,11.0
2020-06-05,1801,932,11.0
2020-06-06,1814,912,11.0
2020-06-07,1835,834,11.0
2020-06-08,1857,856,11.0
2020-06-09,1859,791,11.0
2020-06-10,1869,736,11.0
2020-06-11,1877,716,11.0
2020-06-12,1880,673,11.0
2020-06-13,1884,621,11.0
2020-06-14,1889,591,11.0
2020-06-15,1905,552,11.0
2020-06-16,1915,533,11.0
2020-06-17,1924,516,11.0
2020-06-18,1947,515,11.0
2020-06-19,1950,493,11.0
2020-06-20,1950.1,467,11.0
2020-06-21,1950.2,441,11.0
2020-06-22,1951,414,11.0
2020-06-23,1991,432,11.0
2020-06-24,2001,428,11.0
2020-06-25,2010,397,11.0
2020-06-26,2014,384,11.0
2020-06-27,2033,383,11.0
2020-06-28,2037,365,11.0
2020-06-29,2039,350,11.0
2020-06-30,2047,325,11.0
2020-07-01,2054,295,11.0
2020-07-02,2066,228,11.0
2020-07-03,2069,195,11.0
2020-07-04,2074,178,11.0
2020-07-05,2076,162,11.0
2020-07-06,2078,150,11.0
2020-07-07,2081,115,11.0
2020-07-08,2094,116,11.0
2020-07-09,2350,360,11.0
2020-07-10,2454,463,11.0
2020-07-11,2511,520,11.0
2020-07-12,2617,625,11.0
2020-07-13,2646,654,11.0
2020-07-14,2665,666,11.0
2020-07-15,2671,659,11.0
2020-07-16,2687,669,11.0
2020-07-17,2697,674,11.0
2020-07-18,2704,670,11.0
2020-07-19,2724,678,11.0
2020-07-20,2730,678,11.0
2020-07-21,2740,671,11.0
2020-07-22,2752,677,11.0
2020-07-23,2753,665,11.0
2020-07-24,2764,659,11.0
2020-07-25,2770,656,11.0
2020-07-26,2782,665,11.0
2020-07-27,2805,673,11.0
2020-07-28,2810,503,11.0
2020-07-29,2811,467,11.0
2020-07-30,2814,470,11.0
2020-07-31,2815,413,11.0
2020-08-01,2819,365,11.0
2020-08-02,2823,298,11.0
2020-08-03,2828,293,11.0
2020-08-04,2834,286,11.0
2020-08-05,2839,291,11.0
2020-08-06,2839,287,11.0
2020-08-07,2839,252,11.0
