date,cases,active,death
2020-03-10,1.0,0
2020-03-11,1.01,0
2020-03-12,1.02,0
2020-03-13,5,0
2020-03-14,6,0
2020-03-15,18,0
2020-03-16,47,0
2020-03-17,98,0
2020-03-18,191,0
2020-03-19,359,0
2020-03-20,670,0
2020-03-21,947,0
2020-03-22,1236,0
2020-03-23,1529,0
2020-03-24,1872,0
2020-03-25,2433,0
2020-03-26,3629,0
2020-03-27,5698,0
2020-03-28,7402,0
2020-03-29,9217,0
2020-03-30,10827,10497
2020-03-31,13531,13074
2020-04-01,15679,15069
2020-04-02,18135,17364
2020-04-03,20921,20012
2020-04-04,23934,22647
2020-04-05,27069,25453
2020-04-06,30217,28242
2020-04-07,34109,31802
2020-04-08,38226,35568
2020-04-09,42282,39232
2020-04-10,47029,43600
2020-04-11,52167,48101
2020-04-12,56956,52312
2020-04-13,61049,55796
2020-04-14,65111,58909
2020-04-15,69392,62200,1518.0
2020-04-16,74193,65461,1643.0
2020-04-17,78546,68146,1769.0
2020-04-18,82329,69986,1890.0
2020-04-19,86306,72313,2017.0
2020-04-20,90980,75410,2140.0
2020-04-21,95591,78414,2259.0
2020-04-22,98674,79821,2376.0
2020-04-23,101790,80808,2491.0
2020-04-24,104912,80575,2600.0
2020-04-25,107773,79485,2706.0
2020-04-26,110130,78185,2805.0
2020-04-27,112261,75570,2900.0
2020-04-28,114653,72852,2992.0
2020-04-29,117589,70468,3081.0
2020-04-30,120204,68144,3174.0
2020-05-01,122392,65326,3258.0
2020-05-02,124375,62780,3336.0
2020-05-03,126045,59497,3397.0
2020-05-04,127659,56032,3461.0
2020-05-05,129491,52686,3520.0
2020-05-06,131744,49958,3584.0
2020-05-07,133721,47096,3641.0
2020-05-08,135569,45484,3689.0
2020-05-09,137115,43896,3739.0
2020-05-10,138657,42180,3786.0
2020-05-11,139771,40150,3841.0
2020-05-12,141475,38692,3894.0
2020-05-13,143114,37447,3952.0
2020-05-14,144749,36712,4007.0
2020-05-15,146457,36269,4055.0
2020-05-16,148067,35834,4096.0
2020-05-17,149435,35333,4140.0
2020-05-18,150593,34845,4171.0
2020-05-19,151615,34521,4199.0
2020-05-20,152587,34378,4222.0
2020-05-21,153548,34309,4249.0
2020-05-22,154500,34113,4276.0
2020-05-23,155686,33776,4308.0
2020-05-24,156827,33793,4340.0
2020-05-25,157814,33430,4369.0
2020-05-26,158762,32858,4397.0
2020-05-27,159797,32573,4431.0
2020-05-28,160979,32149,4461.0
2020-05-29,162120,31668,4489.0
2020-05-30,163103,31604,4515.0
2020-05-31,163942,31429,4540.0
2020-06-01,164769,31259,4563.0
2020-06-02,165555,31049,4585.0
2020-06-03,166422,30961,4609.0
2020-06-04,167410,31002,4630.0
2020-06-05,168340,30292,4648.0
2020-06-06,169218,29227,4669.0
2020-06-07,170132,27471,4692.0
2020-06-08,171121,25030,4711.0
2020-06-09,172114,22787,4729.0
2020-06-10,173036,21451,4746.0
2020-06-11,174023,21400,4763.0
2020-06-12,175218,21338,4778.0
2020-06-13,176677,21798,4792.0
2020-06-14,178239,22015,4807.0
2020-06-15,179831,22642,4825.0
2020-06-16,181298,23077,4842.0
2020-06-17,182727,23226,4861.0
2020-06-18,184031,23127,4882.0
2020-06-19,185245,22824,4905.0
2020-06-20,186493,22738,4927.0
2020-06-21,187685,22495,4950.0
2020-06-22,188897,22390,4974.0
2020-06-23,190165,22316,5001.0
2020-06-24,191657,22398,5025.0
2020-06-25,193115,22363,5046.0
2020-06-26,194511,22248,5065.0
2020-06-27,195883,21619,5082.0
