date,cases,active,death
2020-03-10, 1,0,0
2020-03-11, 3.00,0,0
2020-03-12, 3.01,0,0
2020-03-13, 3.02,0,1.
2020-03-14, 3.03,0,1.
2020-03-15, 3.04,0,1.
2020-03-16, 7,0,1.
2020-03-17, 14,0,2.
2020-03-18, 16,0,2.
2020-03-19, 26,0,3.
2020-03-20, 41,0,3.
2020-03-21, 47,0,3.
2020-03-22, 72,0,3.
2020-03-23, 73,0,3.
2020-03-24, 97,0,3
2020-03-25,145,0,5
2020-03-26,196,0,5
2020-03-27,310,300,5
2020-03-28,418,404,9
2020-03-29,475,459,10
2020-03-30,549,528,13
2020-03-31,645,618,17
2020-04-01,794,761,20
2020-04-02,897,856,22
2020-04-03,1072,1023,27
2020-04-04,1225,1168,32
2020-04-05,1308,1243,37
2020-04-06,1319,1253,38
2020-04-07,1462,1389,45
2020-04-08,1668,1581,52
2020-04-09,1892,1790,57
2020-04-10,2203,2073,69
2020-04-11,2511,2359,73
2020-04-12,2777,2605,83
2020-04-13,3102,2912,93
2020-04-14,3372,3155,98
2020-04-15,3764,3513,108.0
2020-04-16,4161,3859,116.0
2020-04-17,4662,4291,116.0
2020-04-18,5106,4698,133.0
2020-04-19,5449,4961,141.0
2020-04-20,5710,5200,151.0
2020-04-21,6125,5597,161.0
2020-04-22,6592,5994,174.0
2020-04-23,7170,6479,187.0
2020-04-24,7647,6853,193.0
2020-04-25,8125,7142,201.0
2020-04-26,8617,7568,209.0
2020-04-27,9009,7925,220.0
2020-04-28,9410,8179,239.0
2020-04-29,9866,8513,250.0
2020-04-30,10406,8907,261.0
2020-05-01,10861,9176,272.0
2020-05-02,11411,9634,279.0
2020-05-03,11913,10077,288.0
2020-05-04,12331,10409,303.0
2020-05-05,12697,10506,316.0
2020-05-06,13184,10760,327.0
2020-05-07,13691,10955,340.0
2020-05-08,14195,11128,361.0
2020-05-09,14710,11425,376.0
2020-05-10,15232,11781,391.0
2020-05-11,15648,11952,408.0
2020-05-12,16023,12225,425.0
2020-05-13,16425,12270,439.0
2020-05-14,16847,12248,456.0
2020-05-15,17330,12381,476.0
2020-05-16,17858,12445,497.0
2020-05-17,18291,12661,514.0
2020-05-18,18616,12805,535.0
2020-05-19,18876,12696,548.0
2020-05-20,19230,12711,564.0
2020-05-21,19706,12900,579.0
2020-05-22,20148,12975,588.0
2020-05-23,20580,13046,605.0
2020-05-24,20986,13261,617.0
2020-05-25,21245,13388,623.0
2020-05-26,21584,13365,644.0
2020-05-27,21905,13252,658.0
2020-05-28,22382,13274,669.0
2020-05-29,22811,13198,679.0
2020-05-30,23204,13197,696.0
2020-05-31,23672,13426,708.0
2020-06-01,24012,13604,718.0
2020-06-02,24340,13535,727.0
2020-06-03,24823,13648,735.0
2020-06-04,25411,13622,747.0
2020-06-05,25964,13830,762.0
2020-06-06,26514,13925,777.0
2020-06-07,26999,14470,797.0
2020-06-08,27462,14634,810.0
2020-06-09,27856,14634,810.0
2020-06-10,28381,14779,833.0
2020-06-11,29070,15316,870.0
2020-06-12,29753,15316,870.0
2020-06-13,30506,15650,880.0
2020-06-14,31154,16183,889.0
2020-06-15,31810,17036,912.0
2020-06-16,32476,17036,912.0
2020-06-17,33234,17348,943.0
2020-06-18,34063,17650,966.0
2020-06-19,34984,17966,985.0
2020-06-20,35825,19049,1002.0
2020-06-21,36560,19049,1002.0
2020-06-22,37241,19587,1012.0
2020-06-23,38074,20083,1035.0
2020-06-24,39014,20554,1051.0
2020-06-25,40008,21183,1067.0
2020-06-26,41117,21732,1086.0
2020-06-27,42065,22254,1110.0
2020-06-28,42982,22919,1129.0
2020-06-29,43628,23454,1147.0
2020-06-30,44334,24060,1159.0
2020-07-01,44998,24277,1173.0
2020-07-02,45887,24649,1185.0
2020-07-03,46763,24993,1212.0
2020-07-04,47677,25335,1227.0
2020-07-05,49043,26078,1262.0
2020-07-06,49607,26131,1283.0
2020-07-07,50414,25989,1306.0
2020-07-08,51224,26113,1327.0
2020-07-09,52043,25898,1345.0
2020-07-10,52843,25810,1372.0
2020-07-11,53521,26020,1383.0
2020-07-12,54133,26503,1398.0
