date,cases,active,death
2020-03-05,1,1,0
2020-03-06,1.1,1,0
2020-03-07,2,2,0
2020-03-08,3,3,0
2020-03-09,7,7,0
2020-03-10,7.1,7,0
2020-03-11,13,13,0
2020-03-12,16,16,0
2020-03-13,24,24,0
2020-03-14,38,38,0
2020-03-15,61,61,0
2020-03-16,64,64,0
2020-03-17,85,85,0
2020-03-18,116,116,0
2020-03-19,150,150,0
2020-03-20,202,202,0
2020-03-21,240,238,0
2020-03-22,274,272,0
2020-03-23,402,398,0
2020-03-24,554,550,0
2020-03-25,709,697,0
2020-03-26,927,915,0
2020-03-27,1170,1138,1
2020-03-28,1187,1155,1
2020-03-29,1280,1247,2
2020-03-30,1326,1292,3
2020-03-31,1353,1317,5
2020-04-01,1380,1325,5
2020-04-02,1462,1407,5
2020-04-03,1505,1401,9
2020-04-04,1585,1481,9
2020-04-05,1655,1549,11
2020-04-06,1686,1579,12
2020-04-07,1749,1641,13
2020-04-08,1845,1732,18
2020-04-09,1934,1821,18
2020-04-10,2003,1569,24
2020-04-11,2028,1593,25
2020-04-12,2173,1738,25
2020-04-13,2272,1835,27
2020-04-14,2415,1978,27
2020-04-15,2506,2062,34
2020-04-16,2605,1654,48
2020-04-17,2783,1830,50
2020-04-18,3034,2079,52
2020-04-19,3158,2201,54
2020-04-20,3300,2187,58
2020-04-21,3465,2352,58
2020-04-22,3635,2515,65
2020-04-23,3953,2405,75
2020-04-24,4220,2668,79
2020-04-25,4361,2802,86
2020-04-26,4546,2986,87
2020-04-27,4793,3230,90
2020-04-28,4996,2830,93
2020-04-29,5350,3174,103
2020-04-30,5647,3471,103
2020-05-01,5951,3453,116
2020-05-02,6336,3664,123
2020-05-03,6783,4103,131
2020-05-04,7220,4336,138
2020-05-05,7572,4678,148
2020-05-06,7808,4502,153
2020-05-07,8232,4918,161
2020-05-08,8895,5564,178
2020-05-09,9420,5251,186
2020-05-10,10015,5648,194
2020-05-11,10652,6089,206
2020-05-12,11350,6787,206
2020-05-13,12074,7110,219
2020-05-14,12739,6825,238
2020-05-15,13524,7194,247
2020-05-16,14355,7616,261
2020-05-17,15515,8245,264
2020-05-18,16433,8849,286
2020-05-19,17200,8928,312
2020-05-20,18003,8714,339
2020-05-21,19137,9818,369
2020-05-22,20125,9624,397
2020-05-23,21343,10832,407
2020-05-24,22583,11054,429
2020-05-25,23615,11217,481
2020-05-26,24264,10999,524
2020-05-27,25937,11934,552
2020-05-28,27403,12456,577
2020-05-29,29240,13536,611
2020-05-30,30967,14208,643
2020-05-31,32683,15191,683
2020-06-01,34357,16361,705
2020-06-02,35812,16744,755
2020-06-03,37525,17051,792
2020-06-04,40792,18633,848
2020-06-05,43434,19438,908
2020-06-06,45973,20763,952
2020-06-07,48285,22923,998
2020-06-08,50879,23700,1080
2020-06-09,52991,22823,1162
2020-06-10,55421,22706,1210
2020-06-11,58568,24032,1284
2020-06-12,61927,25567,1354
2020-06-13,65736,27463,1423
2020-06-14,70038,30027,1480
2020-06-15,73533,32098,1568
2020-06-16,76334,32646,1625
2020-06-17,80412,34407,1674
2020-06-18,83890,37233,1737
2020-06-19,87715,38059,1831

2020-06-20,92681,40478,1877.0
2020-06-21,97302,43764,1930.0
2020-06-22,101590,46155,1991.0
2020-06-23,106108,48961,2102.0
2020-06-24,111796,52717,2205.0
2020-06-25,118375,56109,2292.0
2020-06-26,124590,58139,2340.0
2020-06-27,131800,62293,2413.0
2020-06-28,138134,66753,2456.0
2020-06-29,144264,71121,2529.0
2020-06-30,151209,75009,2657.0
2020-07-01,159333,80559,2749.0
2020-07-02,168061,83218,2844.0
2020-07-03,177124,87874,2952.0
2020-07-04,187977,93724,3026.0
2020-07-05,196750,100236,3199.0
2020-07-06,205721,104563,3310.0
2020-07-07,215855,110054,3502.0
2020-07-08,224665,114221,3602.0
2020-07-09,238339,121558,3720.0
2020-07-10,250687,128595,3860.0
2020-07-11,264184,132498,3971.0
2020-07-12,276242,137289,4079.0
2020-07-13,287796,145383,4172.0
2020-07-14,298292,147667,4346.0
2020-07-15,311049,145903,4453.0
2020-07-16,324221,153961,4669.0
2020-07-17,337594,154607,4804.0
2020-07-18,350879,163701,4948.0
2020-07-19,364328,168236,5033.0
2020-07-20,373628,173590,5173.0
2020-07-21,381798,168286,5368.0
2020-07-22,394948,159833,5940.0
2020-07-23,408052,165699,6093.0
2020-07-24,421996,169882,6343.0
2020-07-25,434200,164491,6655.0
2020-07-26,445433,173587,6769.0
2020-07-27,452529,170537,7067.0
2020-07-28,459761,165191,7257.0
2020-07-29,471123,165659,7497.0
2020-07-30,482169,164756,7812.0
2020-07-31,493183,159007,8005.0
2020-08-01,503290,152676,8153.0
2020-08-02,511485,155892,8366.0
2020-08-03,516862,150286,8539.0
2020-08-04,521318,148683,8884.0
2020-08-05,529877,143313,9298.0
2020-08-06,538184,141264,9604.0
2020-08-07,545476,140808,9909.0
2020-08-08,553188,138410,10210.0
2020-08-09,559859,137977,10408.0
2020-08-10,563598,135777,10621.0
2020-08-11,566109,129233,10751.0
2020-08-12,568919,125880,11010.0
2020-08-13,572865,123978,11270.0
2020-08-14,579140,105850,11556.0
2020-08-15,583653,105035,11677.0
2020-08-16,587345,103129,11839.0
2020-08-17,589886,100233,11982.0
2020-08-18,592144,94412,12264.0
2020-08-19,596060,92196,12423.0
2020-08-20,599940,90153,12618.0
2020-08-21,603338,90393,12843.0
2020-08-22,607045,89931,12987.0
2020-08-23,609773,90244,13059.0
2020-08-24,611450,81797,13159.0
2020-08-25,613017,79328,13308.0
2020-08-26,615701,76957,13502.0
2020-08-27,618286,73320,13628.0
2020-08-28,620132,72454,13743.0
2020-08-29,622551,71876,13981.0
2020-08-30,625056,72424,14028.0
2020-08-31,627041,71969,14149.0
2020-09-01,628259,64003,14263.0
2020-09-02,630595,62750,14389.0
2020-09-03,633015,63565,14563.0
2020-09-04,635078,62582,14678.0
2020-09-05,636884,60901,14779.0
2020-09-06,638517,59737,14889.0
2020-09-07,639362,57803,15004.0
2020-09-08,640441,57626,15086.0
2020-09-09,642431,57328,15168.0
2020-09-10,644438,56170,15265.0
2020-09-11,646398,56433,15378.0
2020-09-12,648214,56364,15427.0
2020-09-13,649793,56440,15447.0
2020-09-14,650749,55961,15499.0
2020-09-15,651521,52754,15641.0
2020-09-16,653444,53544,15705.0
2020-09-17,655572,54497,15772.0
2020-09-18,657627,54926,15857.0
2020-09-19,659656,54282,15940.0
2020-09-20,661211,55187,15953.0
2020-09-21,661936,54736,15992.0
2020-09-22,663282,54260,16118.0
2020-09-23,665188,54753,16206.0
2020-09-24,667049,54850,16283.0
2020-09-25,668529,53068,16312.0
2020-09-26,669498,51304,16376.0
2020-09-27,670766,50647,16398.0
2020-09-28,671669,50605,16586.0
2020-09-29,672572,49385,16667.0
2020-09-30,674339,49493,16734.0
2020-10-01,676084,49634,16866.0
2020-10-02,677833,49880,16909.0
2020-10-03,679716,50015,16938.0
2020-10-04,681289,49532,16976.0
2020-10-05,682215,49515,17016.0
2020-10-06,683242,49282,17103.0
2020-10-07,685155,49780,17248.0
2020-10-08,686891,50712,17408.0
2020-10-09,688352,50724,17547.0
2020-10-10,690896,51070,17673.0
2020-10-11,692471,50926,17780.0
2020-10-12,693359,50837,17863.0
2020-10-13,694537,50935,18028.0
2020-10-14,696414,51365,18151.0
2020-10-15,698184,51574,18309.0
2020-10-16,700203,52573,18370.0
2020-10-17,702131,53287,18408.0
2020-10-18,703793,50779,18471.0
2020-10-19,705254,51505,18492.0
2020-10-20,706304,48080,18656.0
2020-10-21,708359,47912,18741.0
2020-10-22,710515,49112,18843.0
2020-10-23,712412,49998,18891.0
2020-10-24,714246,50661,18944.0
2020-10-25,715868,50730,18968.0
2020-10-26,716759,51030,19008.0
2020-10-27,717851,50965,19053.0
2020-10-28,719714,51949,19111.0
2020-10-29,721770,52671,19164.0
2020-10-30,723682,51400,19230.0
2020-10-31,725452,51994,19276.0
2020-11-01,726823,52082,19411.0
2020-11-02,727595,50630,19465.0
2020-11-03,728836,50038,19539.0
2020-11-04,730548,50778,19585.0
2020-11-05,732414,41158,19677.0
2020-11-06,734175,38833,19749.0
2020-11-07,735906,37379,19789.0
2020-11-08,737278,37781,19809.0
2020-11-09,738525,37954,19845.0
2020-11-10,740254,37109,19951.0
2020-11-11,742394,35925,20011.0
2020-11-12,744732,33753,20076.0
2020-11-13,746945,34615,20153.0
2020-11-14,749182,35715,20206.0
2020-11-15,751024,37316,20241.0
2020-11-16,752269,36459,20314.0
2020-11-17,754256,37004,20432.0
2020-11-18,757144,35054,20556.0
2020-11-19,759658,36443,20671.0
2020-11-20,762763,34964,20759.0
2020-11-21,765409,36780,20845.0
2020-11-22,767679,36677,20903.0
2020-11-23,769759,37596,20968.0
2020-11-24,772252,34725,21083.0
2020-11-25,775502,37857,21201.0
