date,cases,active,death
2020-02-25,0,,
2020-03-08,3,,
2020-03-11,6,,
2020-03-15,9,,
2020-03-16,15,,
2020-03-17,20,,
2020-03-18,21,,
2020-03-21,23,,
2020-03-23,33,,
2020-03-24,39,,
2020-03-25,41,,
2020-03-26,74,,
2020-03-28,90,,
2020-03-29,105,,
2020-03-30,113,,
2020-03-31,140,,
2020-04-01,165,,
2020-04-02,191,,
2020-04-03,234,,
2020-04-05,269,,
2020-04-06,298,,
2020-04-07,336,,
2020-04-08,366,,
2020-04-09,422,,
2020-04-10,483,,
2020-04-11,520,,
2020-04-12,554,,
2020-04-13,606,,
2020-04-14,663,,
2020-04-15,712,,
2020-04-16,782,,
2020-04-17,792,,
2020-04-18,843,,
2020-04-19,906,,
2020-04-20,994,,
2020-04-21,1029,,
2020-04-22,1090,,
2020-04-23,1174,,
2020-04-24,1279,,
2020-04-25,1348,,
2020-04-26,1460,,
2020-04-27,1528,,
2020-04-28,1700,,
2020-04-29,1824,,
2020-04-30,1945,,
2020-05-01,2167,,
2020-05-02,2331,,
2020-05-03,2465,,
2020-05-04,2699,,
2020-05-05,2889,,
2020-05-06,3218,,
2020-05-07,3386,,
2020-05-08,3557,,
2020-05-09,3772,,
2020-05-10,4026,,
2020-05-11,4395,,
2020-05-12,4679,,
2020-05-13,4959,,
2020-05-14,5217,,
2020-05-15,5330,,
2020-05-16,6392,,
2020-05-18,6653,,
2020-05-19,7061,,
2020-05-20,7641,,
2020-05-21,8132,,
2020-05-22,8662,,
2020-05-23,9201,,
2020-05-24,9982,,
2020-05-25,10565,,
2020-05-26,11155,,
2020-05-27,11812,,
2020-05-28,12436,,
2020-05-29,13015,,
2020-05-30,13637,,
2020-05-31,14502,,
2020-06-01,15181,,
2020-06-02,15725,,
2020-06-03,16483,,
2020-06-04,17240,,
2020-06-05,18025,,
2020-06-06,18939,,
2020-06-07,19520,,
2020-06-08,20310,,
2020-06-09,20884,,
2020-06-10,21425,,
2020-06-11,22108,,
2020-06-12,22854,,
2020-06-13,23509,,
2020-06-14,24064,,
2020-06-15,24727,,
2020-06-16,25487,,
2020-06-17,26269,,
2020-06-18,26832,,
2020-06-19,27489,,
2020-06-20,27834,,
2020-06-21,28379,,
2020-06-22,28788,,
2020-06-23,29097,,
2020-06-24,29435,,
2020-06-25,29668,,
2020-06-26,30128,,
2020-06-27,30403,,
2020-06-28,30568,,
2020-06-29,30918,,
2020-06-30,31189,,
2020-07-01,31467,,
2020-07-02,31786,,
2020-07-03,31972,,
2020-07-04,32273,,
2020-07-05,32621,,
2020-07-06,32899,,
2020-07-07,33332,,
2020-07-08,33541,,
2020-07-09,33600,,
2020-07-10,33855,,
2020-07-11,34312,,
2020-07-12,34397,,
2020-07-14,34401,,
2020-07-15,34685,,
2020-07-16,34939,,
2020-07-17,35015,,
2020-07-18,35234,,
2020-07-19,35246,,
2020-07-20,35419,,
2020-07-21,35559,,
2020-07-22,35671,,
2020-07-23,35859,,
2020-07-24,35872,,
2020-07-25,35979,,
2020-07-26,36100,,
2020-07-27,36206,,
2020-07-28,36311,,
2020-07-29,36414,,
2020-07-31,36485,,
2020-08-01,36652,,
2020-08-04,36689,,
2020-08-05,36771,,
2020-08-06,36838,,
2020-08-07,36879,,
2020-08-08,36957,,
2020-08-09,36996,,
2020-08-12,37211,,
2020-08-13,37286,,
2020-08-14,37365,,
2020-08-15,37372,,
2020-08-16,37492,,
2020-08-17,37537,,
2020-08-18,37540,,
2020-08-20,37700,,
2020-08-21,37797,,
2020-08-22,37835,,
2020-08-23,37939,,
2020-08-25,38010,,
2020-08-26,38011,,
2020-08-27,38066,,
2020-08-28,38069,,
2020-08-29,38080,,
2020-08-30,38083,,
2020-08-31,38102,,
2020-09-01,38136,,
2020-09-02,38145,,
2020-09-03,38183,,
2020-09-04,38228,,
2020-09-05,38244,,
2020-09-06,38264,,
2020-09-07,38338,,
2020-09-08,38434,,
2020-09-09,38460,,
2020-09-10,38484,,
2020-09-11,38512,,
2020-09-12,38545,,
2020-09-13,38580,,
2020-09-14,38655,,
2020-09-15,38754,,
2020-09-16,38794,,
2020-09-17,38811,,
2020-09-19,38858,,
2020-09-20,38983,,
2020-09-22,39013,,
2020-09-23,39084,,
2020-09-24,39109,,
2020-09-25,39125,,
2020-09-26,39131,,
2020-09-27,39166,,
2020-09-29,39177,,
2020-09-30,39192,,
2020-10-01,39206,,
2020-10-02,39223,,
2020-10-03,39228,,
2020-10-04,39235,,
2020-10-05,39279,,
2020-10-06,39424,,
2020-10-07,39486,,
2020-10-08,39554,,
2020-10-09,39631,,
2020-10-10,39641,,
2020-10-12,39737,,
2020-10-13,39865,,
2020-10-14,39931,,
2020-10-15,39963,,
2020-10-17,40010,,
2020-10-18,40078,,
2020-10-19,40137,,
2020-10-20,40224,,
2020-10-21,40312,,
2020-10-22,40447,,
2020-10-23,40562,,
2020-10-24,40769,5190,1514.0
2020-10-25,40873,5269,1518.0
2020-10-26,40968,5292,1523.0
2020-10-27,41081,5379,1529.0
2020-10-28,41141,5379,1529.0
2020-10-29,41203,5497,1532.0
2020-10-30,41360,5568,1536.0
2020-10-31,41436,5639,1536.0
2020-11-01,41568,5750,1541.0
2020-11-02,41663,5829,1544.0
2020-11-03,41748,5904,1548.0
2020-11-04,41869,5941,1554.0
2020-11-05,41909,5981,1554.0
2020-11-06,41967,6031,1556.0
2020-11-07,42026,6076,1558.0
2020-11-08,42173,6211,1565.0
2020-11-09,42396,5932,1577.0
2020-11-10,42542,6061,1581.0
2020-11-11,42728,6180,1591.0
2020-11-12,42902,6338,1595.0
2020-11-13,42968,6367,1605.0
2020-11-14,43172,6531,1617.0
2020-11-15,43335,6640,1626.0
2020-11-16,43560,6830,1638.0
2020-11-17,43782,6911,1645.0
2020-11-18,44064,7144,1650.0
2020-11-19,44246,7292,1653.0
2020-11-20,44444,7424,1672.0
2020-11-21,44636,7085,1687.0
2020-11-22,44918,7317,1695.0
2020-11-23,45207,7444,1712.0
2020-11-24,45419,7620,1725.0
2020-11-25,45644,7747,1737.0
2020-11-26,45768,7747,1737.0
2020-11-27,45894,7505,1752.0
2020-11-28,46143,7721,1763.0
2020-11-29,46283,7721,1763.0
2020-11-30,46425,7936,1774.0
2020-12-01,46906,8132,1822.0
2020-12-02,46947,8173,1822.0
2020-12-03,47184,8115,1841.0
2020-12-04,47566,8291,1865.0
2020-12-05,47826,8244,1875.0
2020-12-06,48056,8244,1875.0
2020-12-07,48287,8422,1908.0
2020-12-08,48464,8469,1921.0
2020-12-09,48677,8593,1939.0
2020-12-10,48750,8611,1949.0
2020-12-11,48811,8611,1949.0
2020-12-12,48875,8664,1960.0
2020-12-13,49196,8918,1971.0
2020-12-14,49625,9202,2001.0
2020-12-15,49849,9262,2017.0
2020-12-16,50110,9472,2031.0
2020-12-17,50123,9484,2032.0
2020-12-18,50366,9687,2037.0
2020-12-19,50598,9409,2110.0
2020-12-20,50698,9409,2110.0
2020-12-21,50808,9098,2089.0
2020-12-22,51009,9200,2105.0
2020-12-23,51513,8892,2133.0
2020-12-24,51683,8951,2148.0
2020-12-25,51763,8674,2158.0
2020-12-26,51926,8506,2170.0
2020-12-27,52010,8441,2171.0
2020-12-28,52248,8340,2189.0
2020-12-29,52339,8340,2189.0
2020-12-30,52431,8309,2198.0
2020-12-31,52504,8200,2211.0
2021-01-01,52664,8200,2211.0
2021-01-02,52826,8274,2230.0
2021-01-03,52928,8244,2237.0
2021-01-04,53022,8195,2244.0
2021-01-05,53124,8114,2253.0
2021-01-06,53236,7773,2255.0
2021-01-07,53249,7784,2257.0
2021-01-08,53316,7696,2264.0
2021-01-09,53425,7430,2283.0
2021-01-10,53438,7286,2288.0
2021-01-11,53500,7146,2301.0
2021-01-12,53606,6774,2308.0
2021-01-13,53690,6607,2317.0
2021-01-14,53747,6209,2324.0
2021-01-15,53900,6180,2339.0
2021-01-16,53977,5851,2343.0
2021-01-17,54056,5436,2346.0
2021-01-18,54193,5422,2354.0
2021-01-19,54318,5281,2363.0
2021-01-20,54398,5226,2370.0
2021-01-21,54436,5226,2370.0
2021-01-22,54474,5274,2373.0
2021-01-23,54586,4989,2385.0
2021-01-24,54624,4989,2385.0
2021-01-25,54664,4996,2389.0
2021-01-26,54805,4945,2397.0
2021-01-27,54863,4945,2397.0
2021-01-28,54922,5002,2400.0
2021-01-29,54929,5002,2400.0
2021-01-30,54937,5014,2400.0
2021-01-31,54973,4976,2404.0
2021-02-01,55088,4970,2406.0
2021-02-02,55125,4972,2407.0
2021-02-03,55145,4842,2407.0
2021-02-04,55179,4863,2407.0
2021-02-05,55243,4904,2408.0
2021-02-06,55272,4905,2413.0
2021-02-07,55297,4928,2414.0
2021-02-08,55315,4875,2418.0
2021-02-09,55324,4875,2418.0
2021-02-10,55333,4868,2419.0
2021-02-11,55358,4742,2424.0
2021-02-12,55386,4656,2427.0
2021-02-13,55421,4686,2427.0
2021-02-14,55427,4692,2427.0
2021-02-15,55431,4657,2428.0
2021-02-16,55453,4598,2428.0
2021-02-17,55470,4501,2430.0
2021-02-18,55488,4347,2430.0
2021-02-19,55493,4347,2430.0
2021-02-20,55517,4352,2432.0
2021-02-21,55530,4350,2433.0
2021-02-22,55559,4316,2435.0
2021-02-23,55593,4156,2438.0
2021-02-24,55601,4156,2438.0
2021-02-25,55610,3974,2442.0
2021-02-26,55620,3979,2443.0
2021-02-27,55627,3983,2443.0
2021-02-28,55646,3956,2444.0
2021-03-01,55672,3969,2446.0
2021-03-02,55683,3977,2446.0
2021-03-03,55823,4104,2447.0
2021-03-04,55846,4122,2449.0
2021-03-05,55857,4122,2449.0
2021-03-06,55869,4051,2449.0
2021-03-07,55876,4047,2451.0
2021-03-08,55877,4015,2451.0
2021-03-09,55894,4034,2451.0
2021-03-10,55901,3951,2451.0
2021-03-11,55940,3987,2454.0
2021-03-12,55957,4001,2457.0
2021-03-13,55985,4057,2457.0
