date,cases,active,death
2020-03-04,1
2020-03-05,2
2020-03-06,8
2020-03-07,9
2020-03-08,12
2020-03-09,17
2020-03-10,19
2020-03-11,21
2020-03-12,31
2020-03-13,34
2020-03-14,45
2020-03-15,56
2020-03-16,65
2020-03-17,79
2020-03-18,97
2020-03-19,128
2020-03-20,158
2020-03-21,158.01
2020-03-22,266
2020-03-23,301
2020-03-24,387
2020-03-25,502
2020-03-26,589
2020-03-27,589.01
2020-03-28,745
2020-03-29,820.0
2020-03-30,820.01
2020-03-31,1054
2020-04-01,1133
2020-04-02,1265
2020-04-03,1353
2020-04-04,1451
2020-04-05,1554,0
2020-04-06,1628,0
2020-04-07,1715,1317
2020-04-08,1795,1372
2020-04-09,1894,1450
2020-04-10,1975,1518
2020-04-11,2142,1613
2020-04-12,2208,1645
2020-04-13,2277,1664
2020-04-14,2443,1779
2020-04-15,2571,1863,112.0
2020-04-16,2669,1916,122.0
2020-04-17,2758,1963,129.0
2020-04-18,2839,2022,132.0
2020-04-19,2941,2098,134.0
2020-04-20,3031,2152,142.0
2020-04-21,3144,2153,151.0
2020-04-22,3288,2257,159.0
2020-04-23,3435,2351,165.0
2020-04-24,3607,2455,176.0
2020-04-25,3780,2565,185.0
2020-04-26,3892,2593,192.0
2020-04-27,4003,2666,197.0
2020-04-28,4127,2758,207.0
2020-04-29,4285,2879,214.0
2020-04-30,4428,2954,218.0
2020-05-01,4532,3015,225.0
2020-05-02,4681,3124,237.0
2020-05-03,4783,3183,246.0
2020-05-04,4887,3185,260.0
2020-05-05,5020,3284,264.0
2020-05-06,5208,3411,273.0
2020-05-07,5371,3488,282.0
2020-05-08,5611,3659,293.0
2020-05-09,5776,3748,300.0
2020-05-10,6034,3972,305.0
2020-05-11,6278,4127,314.0
2020-05-12,6563,4382,319.0
2020-05-13,6879,4284,329.0
2020-05-14,7134,4396,353.0
2020-05-15,7479,4626,356.0
2020-05-16,7805,4908,363.0
2020-05-17,8068,5126,373.0
2020-05-18,8371,5364,382.0
2020-05-19,8809,5544,393.0
2020-05-20,9283,5947,403.0
2020-05-21,9931,6483,416.0
2020-05-22,10649,7154,433.0
2020-05-23,11353,7378,445.0
2020-05-24,12076,7892,452.0
2020-05-25,12628,8162,467.0
2020-05-26,13228,8577,484.0
2020-05-27,13933,9084,500.0
2020-05-28,14702,9577,508.0
2020-05-29,15419,10111,520.0
2020-05-30,16214,10898,528.0
2020-05-31,16851,10976,539.0
2020-06-01,17415,11338,556.0
2020-06-02,18319,12041,569.0
2020-06-03,19268,12789,583.0
2020-06-04,20197,13596,608.0
2020-06-05,21037,14317,632.0
2020-06-06,22020,15192,648.0
2020-06-07,22794,15221,664.0
2020-06-08,23620,15622,693.0
2020-06-09,24761,16476,717.0
2020-06-10,25987,17261,735.0
2020-06-11,27373,18276,765.0
2020-06-12,28764,19236,785.0
2020-06-13,30295,20397,815.0
2020-06-14,31577,21180,833.0
2020-06-15,32785,22040,854.0
2020-06-16,34159,23107,878.0
2020-06-17,35552,24127,913.0
2020-06-18,37510,25841,948.0
2020-06-19,39570,26740,979.0
2020-06-20,41204,28006,992.0
2020-06-21,42785,29046,1011.0
2020-06-22,44931,30735,1043.0
2020-06-23,47203,32549,1078.0
2020-06-24,49851,34919,1116.0
2020-06-25,52457,36519,1150.0
2020-06-26,55343,35743,1184.0
2020-06-27,57744,37394,1207.0
2020-06-28,59933,38567,1232.0
2020-06-29,62268,39850,1280.0
2020-06-30,64530,41195,1307.0
