date,cases,active,death
2020-03-04,17
2020-03-05,17.01
2020-03-06,17.02
2020-03-07,19
2020-03-08,20
2020-03-09,20
2020-03-10,20.01
2020-03-11,20.02
2020-03-12,26
2020-03-13,26.01
2020-03-14,39
2020-03-15,54
2020-03-16,60
2020-03-17,61
2020-03-18,75
2020-03-19,90
2020-03-20,94
2020-03-21,139
2020-03-22,201
2020-03-23,230
2020-03-24,264
2020-03-25,302
2020-03-26,367
2020-03-27,409
2020-03-28,454
2020-03-29,511
2020-03-30,584
2020-03-31,716
2020-04-01,847
2020-04-02,986
2020-04-03,1171
2020-04-04,1251
2020-04-05,1320,1078
2020-04-06,1423,1160
2020-04-07,1468,1162
2020-04-08,1572,1130
2020-04-09,1666,1084
2020-04-10,1761,1100
2020-04-11,1825,1090
2020-04-12,1914,1030
2020-04-13,1983,1069
2020-04-14,2070,1053
2020-04-15,2160,1116,336.0
2020-04-16,2268,1137,348.0
2020-04-17,2418,1208,364.0
2020-04-18,2534,1273,367.0
2020-04-19,2629,1207,375.0
2020-04-20,2718,1235,384.0
2020-04-21,2811,1267,392.0
2020-04-22,2910,1304,402.0
2020-04-23,3007,1245,407.0
2020-04-24,3127,1304,415.0
2020-04-25,3256,1358,419.0
2020-04-26,3382,1449,425.0
2020-04-27,3517,1527,432.0
2020-04-28,3649,1561,437.0
2020-04-29,3848,1702,444.0
2020-04-30,4006,1777,450.0
2020-05-01,4154,1880,453.0
2020-05-02,4295,1964,459.0
2020-05-03,4474,2075,463.0
2020-05-04,4648,2185,465.0
2020-05-05,4838,2301,470.0
2020-05-06,4997,2324,476.0
2020-05-07,5182,2376,483.0
2020-05-08,5369,2414,488.0
2020-05-09,5558,2518,494.0
2020-05-10,5723,2543,502.0
2020-05-11,5891,2543,507.0
2020-05-12,6067,2554,515.0
2020-05-13,6253,2673,522.0
2020-05-14,6442,2755,529.0
2020-05-15,6629,2822,536.0
2020-05-16,6821,2870,542.0
2020-05-17,7019,2964,548.0
2020-05-18,7201,3021,555.0
2020-05-19,7377,3070,561.0
2020-05-20,7542,3006,568.0
2020-05-21,7728,3091,575.0
2020-05-22,7918,3080,582.0
2020-05-23,8113,3095,592.0
2020-05-24,8306,2922,600.0
2020-05-25,8503,3147,609.0
2020-05-26,8697,3162,617.0
2020-05-27,8857,3105,623.0
2020-05-28,8997,3090,630.0
2020-05-29,9134,3074,638.0
2020-05-30,9267,3072,646.0
2020-05-31,9394,2993,653.0
2020-06-01,9513,2958,661.0
2020-06-02,9626,2892,667.0
2020-06-03,9733,2842,673.0
2020-06-04,9831,2853,681.0
2020-06-05,9935,2792,690.0
2020-06-06,10050,2721,698.0
2020-06-07,10154,2730,707.0
2020-06-08,10265,2751,715.0
2020-06-09,10382,2707,724.0
2020-06-10,10484,2678,732.0
2020-06-11,10589,2593,741.0
2020-06-12,10698,2625,751.0
2020-06-13,10810,2630,760.0
2020-06-14,10919,2546,767.0
2020-06-15,11031,2519,777.0
2020-06-16,11147,2517,788.0
2020-06-17,11268,2526,799.0
2020-06-18,11385,2496,811.0
2020-06-19,11504,2483,825.0
2020-06-20,11631,2470,837.0
2020-06-21,11771,2504,845.0
2020-06-22,11920,2509,852.0
2020-06-23,12076,2541,861.0
2020-06-24,12248,2587,869.0
2020-06-25,12445,2647,878.0
2020-06-26,12685,2734,885.0
2020-06-27,12968,2874,892.0
2020-06-28,13273,3005,897.0
2020-06-29,13571,2992,905.0
2020-06-30,13907,3098,912.0
2020-07-01,14272,3312,920.0
2020-07-02,14657,3387,928.0
2020-07-03,15070,3301,937.0
2020-07-04,15500,3373,946.0
2020-07-05,15941,3497,952.0
2020-07-06,16404,3561,959.0
2020-07-07,16879,3817,968.0
2020-07-08,17348,4041,978.0
2020-07-09,17808,4183,988.0
2020-07-10,18242,4122,996.0
2020-07-11,18712,4584,1004.0
2020-07-12,19195,4441,1011.0
2020-07-13,19689,4652,1018.0
2020-07-14,20216,4893,1028.0
2020-07-15,20770,4938,1040.0
2020-07-16,21355,5196,1052.0
2020-07-17,21948,5461,1057.0
2020-07-18,22549,5737,1068.0
2020-07-19,23084,5955,1078.0
2020-07-20,23691,6204,1087.0
2020-07-21,24278,6532,1100.0
2020-07-22,24872,6778,1111.0
2020-07-23,25484,6991,1124.0
2020-07-24,26159,7654,1136.0
2020-07-25,26764,7542,1146.0
2020-07-26,27357,8114,1155.0
2020-07-27,27973,7973,1163.0
2020-07-28,28615,8208,1174.0
2020-07-29,29229,8451,1186.0
