date,cases,active,death
2020-02-26,2,0
2020-02-27,2.01,0
2020-02-28,5,0
2020-02-29,7,0
2020-03-01,10,0
2020-03-02,14,0
2020-03-03,18,0
2020-03-04,24,0
2020-03-05,29,0
2020-03-06,41,0
2020-03-07,74,0
2020-03-08,99,0
2020-03-09,102,0
2020-03-10,131,0
2020-03-11,182,0
2020-03-12,246,0
2020-03-13,361,0
2020-03-14,504,0
2020-03-15,655,0
2020-03-16,860,0
2020-03-17,1016,0
2020-03-18,1332,0
2020-03-19,1646,0
2020-03-20,2196,0
2020-03-21,2649,0
2020-03-22,3024,0
2020-03-23,3631,0
2020-03-24,4486,0
2020-03-25,5282,0
2020-03-26,5888,0
2020-03-27,7029,0
2020-03-28,7697,0
2020-03-29,8788,8223
2020-03-30,9705,8961
2020-03-31,10192,8969
2020-04-01,10711,9129
2020-04-02,11129,9222
2020-04-03,11524,9334
2020-04-04,11781,9088
2020-04-05,12051,8849
2020-04-06,12297,8614
2020-04-07,12675,8386
2020-04-08,12969,8184
2020-04-09,13244,7709
2020-04-10,13561,7178
2020-04-11,13806,6865
2020-04-12,13945,6608
2020-04-13,14041,6330
2020-04-14,14234,6217
2020-04-15,14370,5879,393.0
2020-04-16,14476,5080,410.0
2020-04-17,14595,4460,431.0
2020-04-18,14671,4014,443.0
2020-04-19,14749,3796,452.0
2020-04-20,14795,3694,470.0
2020-04-21,14873,3411,491.0
2020-04-22,14925,3087,510.0
2020-04-23,15002,2786,522.0
2020-04-24,15071,2669,530.0
2020-04-25,15148,2509,536.0
2020-04-26,15225,2401,542.0
2020-04-27,15274,2363,549.0
2020-04-28,15357,2208,569.0
2020-04-29,15402,2043,580.0
2020-04-30,15452,1961,584.0
2020-05-01,15531,1832,589.0
2020-05-02,15558,1782,596.0
2020-05-03,15597,1771,598.0
2020-05-04,15621,1705,600.0
2020-05-05,15650,1582,606.0
2020-05-06,15684,1437,608.0
2020-05-07,15752,1445,609.0
2020-05-08,15774,1324,614.0
2020-05-09,15833,1290,615.0
2020-05-10,15871,1262,618.0
2020-05-11,15882,1201,620.0
2020-05-12,15961,1190,623.0
2020-05-13,15997,1069,624.0
2020-05-14,16058,1027,626.0
2020-05-15,16109,1010,628.0
2020-05-16,16201,1048,629.0
2020-05-17,16242,1050,629.0
2020-05-18,16269,1026,629.0
2020-05-19,16321,1011,632.0
2020-05-20,16353,838,633.0
2020-05-21,16404,820,633.0
2020-05-22,16436,796,635.0
2020-05-23,16486,810,639.0
2020-05-24,16503,800,640.0
2020-05-25,16539,760,641.0
2020-05-26,16557,732,643.0
2020-05-27,16591,718,645.0
2020-05-28,16628,674,668.0
2020-05-29,16655,640,668.0
2020-05-30,16685,497,668.0
2020-05-31,16731,470,668.0
2020-06-01,16733,469,668.0
2020-06-02,16759,461,669.0
2020-06-03,16771,429,670.0
2020-06-04,16805,418,670.0
2020-06-05,16843,429,672.0
2020-06-06,16898,437,672.0
2020-06-07,16902,437,672.0
2020-06-08,16968,457,672.0
2020-06-09,16979,432,672.0
2020-06-10,17005,422,673.0
2020-06-11,17034,411,674.0
2020-06-12,17064,404,675.0
2020-06-13,17078,389,677.0
