ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,Reported1st case,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
537486,World,4.4,60308.0,3208.0,Jan 10,26789.0,723390,34064,151312.0,92.8
155589,USA,10.0,422.0,14.0,Jan 20 ,3512.0,164266,3170.0,5507.0,496.0
75528,Italy,192.0,,,Jan 29 ,3981.0,101739,11591.0,14620.0,1683.0
63460,Spain,165.0,,,Jan 30 ,5231.0,87956,7716.0,16780.0,1881.0
52901,Germany,8.0,166.0,5.0,Jan 26 ,1979.0,67051,650.0,13500.0,800.0
33599,France,46.0,,,Jan 23 ,5056.0,44550,3024.0,7927.0,683.0
24827,Iran,33.0,,,Feb 18 ,3511.0,41495,2757.0,13911.0,494.0
20598,UK,21.0,,,Jan 30 ,163.0,22141,1408.0,135.0,326.0
13740,Switzerland,41.0,,,Feb 24 ,301.0,15922,359.0,1823.0,1840.0
9859,Belgium,44.0,,,Feb 03 ,927.0,11899,513.0,1527.0,1027.0
10636,Netherlands,50.0,,,Feb 26 ,1053.0,11750,864.0,250.0,686.0
10497,Turkey,2.0,,,Mar 09 ,568.0,10827,168.0,162.0,128.0
4216,S. Korea,3.0,125.0,4.0,Jan 19 ,55.0,9786,162.0,5408.0,191.0
8961,Austria,12.0,87.0,,Feb 24 ,193.0,9705,108.0,636.0,1078.0
6268,Canada,2.0,26.0,3.0,Jan 24 ,120.0,7474,92.0,1114.0,198.0
6225,Portugal,14.0,,,Mar 01 ,164.0,6408,140.0,43.0,628.0
4650,Israel,2.0,136.0,2.0,Feb 20 ,83.0,4831,18.0,163.0,558.0
4369,Brazil,0.8,31.0,2.0,Feb 24 ,296.0,4661,165.0,127.0,22.0
4201,Australia,0.7,97.0,,Jan 24 ,28.0,4557,19.0,337.0,179.0
4420,Norway,6.0,19.0,,Feb 25 ,97.0,4464,32.0,12.0,823.0
3866,Sweden,14.0,,,Jan 30 ,306.0,4028,146.0,16.0,399.0
2953,Czechia,2.0,1.0,1.0,Feb 29 ,52.0,3002,24.0,25.0,280.0
2851,Ireland,11.0,,,Feb 28 ,84.0,2910,54.0,5.0,589.0
2110,Malaysia,1.0,,,Jan 24 ,94.0,2626,37.0,479.0,81.0
2499,Denmark,13.0,,,Feb 26 ,137.0,2577,77.0,1.0,445.0
2285,Chile,0.4,,,Mar 02 ,14.0,2449,8.0,156.0,128.0
2094,Poland,0.8,77.0,,Mar 03 ,3.0,2132,31.0,7.0,56.0
1835,Romania,3.0,,,Feb 25 ,33.0,2109,65.0,209.0,110.0
1886,Luxembourg,35.0,,,Feb 28 ,31.0,1988,22.0,80.0,3176.0
1850,Ecuador,4.0,,,Feb 28 ,58.0,1966,62.0,54.0,111.0
1473,Japan,0.4,,,Jan 14 ,56.0,1953,56.0,424.0,15.0
1764,Pakistan,0.1,148.0,4.0,Feb 25 ,12.0,1865,25.0,76.0,8.0
1761,Russia,0.06,,,Jan 30 ,8.0,1836,9.0,66.0,13.0
1299,Thailand,0.1,127.0,1.0,Jan 12 ,23.0,1651,10.0,342.0,24.0
1426,Philippines,0.7,,,Jan 29 ,1.0,1546,78.0,42.0,14.0
1330,Saudi Arabia,0.2,,,Mar 01 ,12.0,1453,8.0,115.0,42.0
1217,Indonesia,0.4,,,Mar 01 ,,1414,122.0,75.0,5.0
1361,Finland,2.0,32.0,,Jan 28 ,49.0,1384,13.0,10.0,250.0
1292,South Africa,0.05,,,Mar 04 ,7.0,1326,3.0,31.0,22.0
1117,India,0.02,,,Jan 29 ,,1251,32.0,102.0,0.9
1114,Greece,4.0,,,Feb 25 ,72.0,1212,46.0,52.0,116.0
1031,Mexico,0.2,101.0,8.0,Feb 27 ,1.0,1094,28.0,35.0,8.0
927,Iceland,6.0,,,Feb 27 ,25.0,1086,2.0,157.0,3182.0
1039,Panama,6.0,,,Mar 09 ,43.0,1075,27.0,9.0,249.0
714,Argentina,0.5,146.0,1.0,Mar 02 ,,966,24.0,228.0,21.0
873,Peru,0.7,,,Mar 05 ,49.0,950,24.0,53.0,29.0
855,Dominican Republic,4.0,,,Feb 29 ,,901,42.0,4.0,83.0
648,Singapore,0.5,,,Jan 22 ,19.0,879,3.0,228.0,150.0
769,Colombia,0.3,,,Mar 05 ,29.0,798,14.0,15.0,16.0
717,Croatia,1.0,,,Feb 24 ,27.0,790,6.0,67.0,192.0
727,Serbia,2.0,,,Mar 05 ,62.0,785,16.0,42.0,90.0
735,Slovenia,5.0,,,Mar 03 ,28.0,756,11.0,10.0,364.0
692,Estonia,2.0,,,Feb 26 ,10.0,715,3.0,20.0,539.0
99,Diamond Princess,,,,Feb 04 ,15.0,712,10.0,603.0,
641,Qatar,0.3,,,Feb 28 ,6.0,693,1.0,51.0,241.0
561,Hong Kong,0.5,,,Jan 22 ,5.0,683,4.0,118.0,91.0
465,Egypt,0.4,,,Feb 13 ,,656,41.0,150.0,6.0
572,New Zealand,0.2,58.0,,Feb 27 ,2.0,647,1.0,74.0,134.0
432,Iraq,1.0,,,Feb 21 ,,630,46.0,152.0,16.0
