ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
228875,USA,18.0,496.0,25.0,5421.0,245373,6095.0,10403.0,741.0
83049,Italy,230.0,,,4053.0,115242,13915.0,18278.0,1906.0
74974,Spain,221.0,,,6092.0,112065,10348.0,26743.0,2397.0
61247,Germany,13.0,,,3936.0,84794,1107.0,22440.0,1012.0
41290,France,83.0,,,6399.0,59105,5387.0,12428.0,905.0
30597,Iran,38.0,,,3956.0,50468,3160.0,16711.0,601.0
30662,UK,43.0,,,163.0,33718,2921.0,135.0,497.0
14278,Switzerland,62.0,,,348.0,18827,536.0,4013.0,2175.0
17364,Turkey,4.0,,,1101.0,18135,356.0,415.0,215.0
11842,Belgium,87.0,,,1144.0,15348,1011.0,2495.0,1324.0
13108,Netherlands,78.0,,,1053.0,14697,1339.0,250.0,858.0
9131,Canada,5.0,,,120.0,11283,173.0,1979.0,299.0
9222,Austria,18.0,,,227.0,11129,158.0,1749.0,1236.0
3867,S. Korea,3.0,86.0,5.0,55.0,10062,174.0,6021.0,196.0
8757,Portugal,20.0,,,230.0,9034,209.0,68.0,886.0
7612,Brazil,2.0,22.0,3.0,296.0,8066,327.0,127.0,38.0
6483,Israel,4.0,,,108.0,6857,36.0,338.0,792.0
5157,Sweden,30.0,,,429.0,5568,308.0,103.0,551.0
4701,Australia,1.0,,3.0,50.0,5314,28.0,585.0,208.0
5136,Norway,9.0,71.0,,96.0,5218,50.0,32.0,963.0
3747,Czechia,4.0,,,72.0,3858,44.0,67.0,360.0
3746,Ireland,20.0,,,109.0,3849,98.0,5.0,779.0
3283,Russia,0.2,,,8.0,3548,30.0,235.0,24.0
3051,Chile,0.9,,,31.0,3404,18.0,335.0,178.0
2174,Denmark,21.0,,,153.0,3386,123.0,1089.0,585.0
2978,Ecuador,7.0,,,100.0,3163,120.0,65.0,179.0
2299,Malaysia,2.0,,,105.0,3116,50.0,767.0,96.0
2833,Poland,2.0,,,50.0,2946,57.0,56.0,78.0
2356,Romania,6.0,,,78.0,2738,115.0,267.0,142.0
2475,Philippines,1.0,,,1.0,2633,107.0,51.0,24.0
2082,Japan,0.5,,,60.0,2617,63.0,472.0,21.0
2303,India,0.05,24.0,,,2567,72.0,192.0,2.0
2377,Luxembourg,48.0,,,31.0,2487,30.0,80.0,3973.0
2281,Pakistan,0.2,20.0,1.0,9.0,2441,35.0,125.0,11.0
1378,Thailand,0.3,103.0,4.0,23.0,1978,19.0,581.0,28.0
1536,Saudi Arabia,0.6,,,31.0,1885,21.0,328.0,54.0
1508,Indonesia,0.6,,,,1790,170.0,112.0,7.0
1430,Greece,5.0,,,91.0,1544,53.0,61.0,148.0
1199,Finland,3.0,,,65.0,1518,19.0,300.0,274.0
827,Mexico,0.4,132.0,13.0,1.0,1510,50.0,633.0,12.0
1429,Panama,9.0,,,50.0,1475,37.0,9.0,342.0
1362,South Africa,0.08,,,7.0,1462,5.0,95.0,25.0
822,Peru,2.0,,,51.0,1414,55.0,537.0,43.0
1304,Dominican Republic,6.0,,,147.0,1380,60.0,16.0,127.0
1031,Iceland,12.0,,,12.0,1319,4.0,284.0,3865.0
972,Argentina,0.8,,1.0,,1265,37.0,256.0,28.0
1098,Serbia,4.0,,,81.0,1171,31.0,42.0,134.0
1087,Colombia,0.4,,,50.0,1161,19.0,55.0,23.0
778,Singapore,0.9,,1.0,24.0,1049,5.0,266.0,179.0
920,UAE,0.8,,,2.0,1024,8.0,96.0,104.0
