ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
891617,World,8.3,1605.0,55.0,44095.0,,1203058,64743.0,246698.0,,154.0
288356,USA,26.0,278.0,2.0,8206.0,4933.0,311635,8454.0,14825.0,1632955.0,941.0
80002,Spain,256.0,,,6532.0,7593.0,126168,11947.0,34219.0,355000.0,2699.0
88274,Italy,254.0,,,3994.0,10870.0,124632,15362.0,20996.0,657224.0,2061.0
68248,Germany,17.0,,,3936.0,10962.0,96092,1444.0,26400.0,918460.0,1147.0
66955,France,116.0,,,6838.0,3436.0,89953,7560.0,15438.0,224254.0,1378.0
32555,Iran,41.0,,,4103.0,2214.0,55743,3452.0,19736.0,186000.0,664.0
37455,UK,64.0,,,1559.0,2698.0,41903,4313.0,135.0,183190.0,617.0
22647,Turkey,6.0,,,1311.0,1913.0,23934,501.0,786.0,161380.0,284.0
13424,Switzerland,77.0,,,391.0,17729.0,20505,666.0,6415.0,153440.0,2369.0
13901,Belgium,111.0,,,1245.0,6040.0,18431,1283.0,3247.0,70000.0,1590.0
14726,Netherlands,96.0,,,1360.0,4401.0,16627,1651.0,250.0,75415.0,970.0
11182,Canada,6.0,106.0,2.0,426.0,8425.0,14018,233.0,2603.0,317972.0,371.0
9088,Austria,21.0,,,245.0,11562.0,11781,186.0,2507.0,104134.0,1308.0
10183,Portugal,26.0,,,251.0,7952.0,10524,266.0,75.0,81087.0,1032.0
9788,Brazil,2.0,,,296.0,258.0,10360,445.0,127.0,54824.0,49.0
3591,S. Korea,4.0,81.0,6.0,55.0,8875.0,10237,183.0,6463.0,455032.0,200.0
7545,Israel,5.0,167.0,2.0,127.0,10443.0,8018,46.0,427.0,90394.0,926.0
5865,Sweden,37.0,,,379.0,3654.0,6443,373.0,205.0,36900.0,638.0
5016,Australia,1.0,85.0,4.0,85.0,11412.0,5635,34.0,585.0,291000.0,221.0
5456,Norway,11.0,,,98.0,19528.0,5550,62.0,32.0,105865.0,1024.0
4355,Russia,0.3,,,8.0,4383.0,4731,43.0,333.0,639606.0,32.0
4442,Ireland,28.0,,,148.0,6119.0,4604,137.0,25.0,30213.0,932.0
4335,Czechia,6.0,,,87.0,6926.0,4472,59.0,78.0,74170.0,418.0
3606,Chile,1.0,,,38.0,2543.0,4161,27.0,528.0,48613.0,218.0
2633,Denmark,28.0,,,142.0,7816.0,4077,161.0,1283.0,45270.0,704.0
3432,Poland,2.0,,,50.0,1926.0,3627,79.0,116.0,72901.0,96.0
3138,Romania,8.0,,,119.0,1876.0,3613,146.0,329.0,36092.0,188.0
3260,India,0.07,,,,93.0,3588,99.0,229.0,128320.0,3.0
2511,Malaysia,2.0,,,99.0,1532.0,3483,57.0,915.0,49570.0,108.0
3193,Ecuador,10.0,,,100.0,641.0,3465,172.0,100.0,11309.0,196.0
