ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
732132,North America,North America,,1370.0,177.0,15267.0,,881237,48613.0,100492.0,,
683170,Europe,Europe,,130.0,14.0,26061.0,,1140181,107920.0,349091.0,,
202547,Asia,Asia,,338.0,10.0,6248.0,,410598,15519.0,192532.0,,
47449,South America,South America,,305.0,24.0,9472.0,,91565,4336.0,39780.0,,
2094,Australia/Oceania,Oceania,,8.0,4.0,53.0,,8198,88.0,6016.0,,
17450,Africa,Africa,,6.0,,164.0,,25417,1197.0,6770.0,,
1684904,All,World,22.8,2157.0,229.0,57272.0,,2557917,177688.0,695325.0,,328.0
690859,North America,USA,137.0,431.0,25.0,14016.0,12659.0,819175,45343.0,82973.0,4190002.0,2475.0
100382,Europe,Spain,455.0,,,7705.0,19896.0,204178,21282.0,82514.0,930230.0,4367.0
107709,Europe,Italy,408.0,,,2471.0,23985.0,183957,24648.0,51600.0,1450150.0,3043.0
98073,Europe,France,319.0,,,5433.0,7103.0,158050,20796.0,39181.0,463662.0,2421.0
43967,Europe,Germany,61.0,,,2908.0,20629.0,148453,5086.0,99400.0,1728357.0,1772.0
111363,Europe,UK,255.0,,,1559.0,7886.0,129044,17337.0,0.0,535342.0,1901.0
78414,Asia,Turkey,27.0,,,1865.0,8459.0,95591,2259.0,14918.0,713409.0,1133.0
18540,Asia,Iran,63.0,,,3357.0,4354.0,84802,5297.0,60965.0,365723.0,1010.0
48434,Europe,Russia,3.0,,,700.0,14682.0,52763,456.0,3873.0,2142604.0,362.0
16282,South America,Brazil,13.0,289.0,20.0,8318.0,1373.0,43368,2761.0,24325.0,291922.0,204.0
25956,Europe,Belgium,518.0,,,1079.0,14419.0,40956,5998.0,9002.0,167110.0,3534.0
23400,North America,Canada,49.0,,,557.0,15099.0,38422,1834.0,13188.0,569878.0,1018.0
29968,Europe,Netherlands,229.0,,,1087.0,10004.0,34134,3916.0,0.0,171415.0,1992.0
7185,Europe,Switzerland,171.0,,,386.0,26293.0,28063,1478.0,19400.0,227554.0,3243.0
19700,Europe,Portugal,75.0,,,213.0,27647.0,21379,762.0,917.0,281907.0,2097.0
15491,Asia,India,0.5,31.0,,,335.0,20111,645.0,3975.0,462621.0,15.0
10371,South America,Peru,15.0,,,380.0,4723.0,17837,484.0,6982.0,155724.0,541.0
6077,Europe,Ireland,148.0,,,315.0,22598.0,16040,730.0,9233.0,111584.0,3248.0
13007,Europe,Sweden,175.0,,,515.0,9357.0,15322,1765.0,550.0,94500.0,1517.0
3411,Europe,Austria,55.0,,,196.0,20987.0,14873,491.0,10971.0,189018.0,1651.0
9251,Asia,Israel,21.0,,,139.0,27763.0,13942,184.0,4507.0,240303.0,1611.0
9882,Asia,Saudi Arabia,3.0,,,81.0,5745.0,11631,109.0,1640.0,200000.0,334.0
9875,Asia,Japan,2.0,,,232.0,985.0,11512,281.0,1356.0,124550.0,91.0
5716,South America,Chile,8.0,,,392.0,6401.0,10832,147.0,4969.0,122357.0,567.0
2179,Asia,S. Korea,5.0,11.0,1.0,55.0,11273.0,10694,238.0,8277.0,577959.0,209.0
8671,South America,Ecuador,29.0,,,137.0,1892.0,10398,520.0,1207.0,33389.0,589.0
8158,Europe,Poland,11.0,,,160.0,5928.0,9856,401.0,1297.0,224355.0,260.0
7384,Asia,Pakistan,0.9,184.0,8.0,58.0,534.0,9749,209.0,2156.0,118020.0,44.0
6017,North America,Mexico,7.0,729.0,145.0,378.0,384.0,9501,857.0,2627.0,49570.0,74.0
6591,Europe,Romania,26.0,,,245.0,5279.0,9242,498.0,2153.0,101552.0,480.0
8275,Asia,Singapore,2.0,,,23.0,16203.0,9125,11.0,839.0,94796.0,1560.0
6266,Asia,UAE,5.0,,,1.0,79875.0,7755,46.0,1443.0,790000.0,784.0
2625,Europe,Denmark,64.0,,,81.0,17358.0,7695,370.0,4700.0,100543.0,1329.0
7027,Europe,Norway,34.0,,,58.0,26798.0,7241,182.0,32.0,145279.0,1336.0
5677,Asia,Indonesia,2.0,,,,184.0,7135,616.0,842.0,50370.0,26.0
5079,Europe,Czechia,19.0,,,75.0,16679.0,7033,201.0,1753.0,178617.0,657.0
5783,Europe,Serbia,15.0,,,101.0,5191.0,6890,130.0,977.0,45355.0,789.0
6091,Europe,Belarus,6.0,,,92.0,11487.0,6723,55.0,577.0,108545.0,711.0
1653,Australia/Oceania,Australia,3.0,2.0,3.0,49.0,17617.0,6647,74.0,4920.0,449226.0,261.0
5508,Asia,Philippines,4.0,,,1.0,592.0,6599,437.0,654.0,64845.0,60.0
5910,Asia,Qatar,3.0,,,37.0,23160.0,6533,9.0,614.0,66725.0,2268.0
5597,Europe,Ukraine,4.0,,,45.0,1418.0,6125,161.0,367.0,61997.0,140.0
2041,Asia,Malaysia,3.0,,,43.0,3402.0,5482,92.0,3349.0,110109.0,169.0
4336,North America,Dominican Republic,23.0,,,126.0,1565.0,5044,245.0,463.0,16973.0,465.0
4449,North America,Panama,33.0,163.0,5.0,94.0,5076.0,4821,141.0,231.0,21902.0,1117.0
3149,South America,Colombia,4.0,,,98.0,1345.0,4149,196.0,804.0,68428.0,82.0
1873,Europe,Finland,25.0,,,63.0,11154.0,4014,141.0,2000.0,61800.0,724.0
2870,Europe,Luxembourg,125.0,,,32.0,55852.0,3618,78.0,670.0,34962.0,5780.0
2356,Africa,Egypt,3.0,,,,537.0,3490,264.0,870.0,55000.0,34.0
2352,Africa,South Africa,1.0,,,36.0,2140.0,3465,58.0,1055.0,126937.0,58.0
3185,Asia,Bangladesh,0.7,,,1.0,180.0,3382,110.0,87.0,29578.0,21.0
2671,Africa,Morocco,4.0,,,1.0,490.0,3209,145.0,393.0,18100.0,87.0
2153,South America,Argentina,3.0,,,123.0,810.0,3144,151.0,840.0,36611.0,70.0
425,Asia,Thailand,0.7,15.0,1.0,61.0,2043.0,2826,49.0,2352.0,142589.0,40.0
1267,Africa,Algeria,9.0,,,40.0,148.0,2811,392.0,1152.0,6500.0,64.0
2037,Europe,Moldova,18.0,,,212.0,2916.0,2614,72.0,505.0,11763.0,648.0
1703,Europe,Greece,12.0,,,59.0,5341.0,2401,121.0,577.0,55666.0,230.0
1648,Europe,Hungary,23.0,70.0,12.0,82.0,5455.0,2168,225.0,295.0,52702.0,224.0
1657,Asia,Kuwait,3.0,,,46.0,,2080,11.0,412.0,,487.0
1517,Asia,Kazakhstan,1.0,30.0,,22.0,6749.0,2025,19.0,489.0,126727.0,108.0
1182,Asia,Bahrain,4.0,,,2.0,55466.0,1973,7.0,784.0,94380.0,1160.0
1059,Europe,Croatia,12.0,,,18.0,6482.0,1908,48.0,801.0,26610.0,465.0
351,Europe,Iceland,29.0,,,5.0,128445.0,1778,10.0,1417.0,43831.0,5210.0
1329,Asia,Uzbekistan,0.2,14.0,,8.0,4482.0,1692,6.0,357.0,150000.0,51.0
423,Asia,Iraq,2.0,,,,1513.0,1602,83.0,1096.0,60837.0,40.0
1340,Europe,Estonia,32.0,,,9.0,31822.0,1552,43.0,169.0,42213.0,1170.0
1262,Asia,Oman,2.0,,,3.0,,1508,8.0,238.0,,295.0
595,Asia,Azerbaijan,2.0,,,16.0,10135.0,1480,20.0,865.0,102764.0,146.0
401,Australia/Oceania,New Zealand,3.0,6.0,1.0,2.0,19658.0,1451,14.0,1036.0,94797.0,301.0
768,Asia,Armenia,8.0,,,30.0,4701.0,1401,24.0,609.0,13929.0,473.0
975,Europe,Lithuania,14.0,20.0,,17.0,28275.0,1370,38.0,357.0,76973.0,503.0
1070,Europe,Slovenia,37.0,,,25.0,20672.0,1344,77.0,197.0,42976.0,646.0
854,Europe,Bosnia and Herzegovina,16.0,,,4.0,5851.0,1342,51.0,437.0,19195.0,409.0
952,Europe,North Macedonia,26.0,,,9.0,5923.0,1231,55.0,224.0,12340.0,591.0
927,Europe,Slovakia,3.0,,,7.0,9053.0,1199,14.0,258.0,49428.0,220.0
791,Africa,Cameroon,2.0,,,33.0,,1163,43.0,329.0,,44.0
790,North America,Cuba,3.0,,,18.0,2685.0,1137,38.0,309.0,30416.0,100.0
906,Asia,Afghanistan,0.9,,,7.0,165.0,1092,36.0,150.0,6422.0,28.0
934,Africa,Ghana,0.3,,,4.0,2207.0,1042,9.0,99.0,68591.0,34.0
376,Asia,Hong Kong,0.5,,,8.0,17579.0,1030,4.0,650.0,131786.0,137.0
794,Europe,Bulgaria,7.0,40.0,2.0,34.0,3802.0,1015,47.0,174.0,26417.0,146.0
831,Africa,Djibouti,2.0,,,,9064.0,945,2.0,112.0,8955.0,956.0
600,Africa,Ivory Coast,0.5,,,,,916,13.0,303.0,,35.0
693,Africa,Tunisia,3.0,,,25.0,1537.0,901,38.0,170.0,18165.0,76.0
674,Asia,Cyprus,10.0,,,15.0,30712.0,784,12.0,98.0,37081.0,649.0
560,Africa,Nigeria,0.1,,,2.0,39.0,782,25.0,197.0,8003.0,4.0
606,Europe,Latvia,5.0,,,3.0,20132.0,748,9.0,133.0,37972.0,397.0
