#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,1250003,North America,North America,,3635.0,386.0,,19435.0,,2044468,123858.0,670607.0,,
,461707,South America,South America,,2389.0,25.0,,11281.0,,847008,39340.0,345961.0,,
,852704,Europe,Europe,,14.0,1.0,,8796.0,,2004240,173281.0,978255.0,,
,408494,Asia,Asia,,4954.0,98.0,,13578.0,,1112475,30305.0,673676.0,,
,78690,Africa,Africa,,,,,370.0,,143769,4092.0,60987.0,,
,483,Australia/Oceania,Oceania,,10.0,,,4.0,,8804,125.0,8196.0,,
,3052136,All,World,47.6,11002.0,510.0,,53468.0,,6161485,371016.0,2738333.0,,790.0
1,1176025,North America,USA,319.0,,,"330,838,184 ",17163.0,52203.0,1816820,105557.0,535238.0,17270841.0,5492.0
2,265746,South America,Brazil,136.0,1526.0,15.0,"212,430,396 ",8318.0,4378.0,499966,28849.0,205371.0,930013.0,2354.0
3,224551,Europe,Russia,31.0,,,"145,929,337 ",2300.0,70693.0,396575,4555.0,167469.0,10316200.0,2718.0
4,62225,Europe,Spain,580.0,,,"46,753,295 ",617.0,76071.0,286308,27125.0,196958.0,3556567.0,6124.0
5,0,Europe,UK,566.0,,,"67,855,909 ",1559.0,61474.0,272826,38376.0,0.0,4171408.0,4021.0
6,43691,Europe,Italy,551.0,,,"60,469,020 ",450.0,63249.0,232664,33340.0,155633.0,3824621.0,3848.0
7,91586,Europe,France,441.0,,,"65,261,548 ",1325.0,21217.0,188625,28771.0,68268.0,1384633.0,2890.0
8,9794,Europe,Germany,103.0,,,"83,761,616 ",720.0,47193.0,183294,8600.0,164900.0,3952971.0,2188.0
9,90320,Asia,India,4.0,663.0,1.0,"1,378,826,256 ",8944.0,2710.0,182490,5186.0,86984.0,3737027.0,132.0
10,31604,Asia,Turkey,54.0,,,"84,259,813 ",649.0,23779.0,163103,4515.0,126984.0,2003594.0,1936.0
11,84853,South America,Peru,133.0,,,"32,930,962 ",960.0,30752.0,155671,4371.0,66447.0,1012708.0,4727.0
12,24389,Asia,Iran,92.0,,,"83,897,889 ",2533.0,10686.0,148950,7734.0,116827.0,896571.0,1775.0
13,53430,South America,Chile,52.0,,,"19,102,061 ",1371.0,29490.0,94858,997.0,40431.0,563320.0,4966.0
