#,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,NewRecovered,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,"
",,,1367848,North America,North America,,5792.0,807.0,"+5,369",,19422.0,,2774792,156222.0,1250722.0,,
,"
",,,722638,South America,South America,,1105.0,47.0,"+15,307",,12536.0,,1817322,72629.0,1022055.0,,
,"
",,,872819,Europe,Europe,,,,,,6187.0,,2326847,187929.0,1266099.0,,
,"
",,,658006,Asia,Asia,,4960.0,107.0,"+2,144",,19249.0,,1945634,49155.0,1238473.0,,
,"
",,,156708,Africa,Africa,,,,,,502.0,,318321,8371.0,153242.0,,
,"
",,,497,Australia/Oceania,Oceania,,20.0,,2,,2.0,,9115,124.0,8494.0,,
,"
",,,3778571,All,World,60.9,11877.0,961.0,"+22,822",,57902.0,,9192752,474445.0,4939736.0,,1179.0
1,139,"2,699",11,1262614,North America,USA,370.0,,,,"330,959,930 ",16510.0,87664.0,2388153,122610.0,1002929.0,29013182.0,7216.0
2,191,"4,134",85,465837,South America,Brazil,242.0,,,"+14,878","212,525,202 ",8318.0,11814.0,1111348,51407.0,594104.0,2510717.0,5229.0
3,246,"17,784",8,239658,Europe,Russia,56.0,,,,"145,933,256 ",2300.0,118477.0,592280,8206.0,344416.0,17289691.0,4059.0
4,"3,131","98,443",193,178480,Asia,India,10.0,235.0,,53,"1,379,678,183 ",8944.0,5173.0,440685,14015.0,248190.0,7137716.0,319.0
5,222,"1,592",8,0,Europe,UK,628.0,,,N/A,"67,878,273 ",330.0,118296.0,305289,42647.0,0.0,8029757.0,4498.0
6,159,"1,651",9,0,Europe,Spain,606.0,,,N/A,"46,754,429 ",617.0,110426.0,293584,28324.0,0.0,5162909.0,6279.0
7,128,"4,008",22,103904,South America,Peru,249.0,,,,"32,959,833 ",1144.0,46054.0,257447,8223.0,145320.0,1517930.0,7811.0
8,77,"4,245",19,37064,South America,Chile,236.0,,,,"19,112,361 ",2014.0,51399.0,246963,4502.0,205397.0,982353.0,12922.0
9,253,"1,745",12,20637,Europe,Italy,573.0,,,,"60,463,455 ",127.0,82915.0,238720,34657.0,183426.0,5013342.0,3948.0
10,405,"8,619",58,31356,Asia,Iran,116.0,,,,"83,965,446 ",2898.0,17262.0,207525,9742.0,166427.0,1449420.0,2472.0
