#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,26681076,15535.0,563518.0,1333.0,16377199.0,"+8,073",9740359,35186.0,,,,,,North America,"
",,
, Asia,21649299,10292.0,351092.0,259.0,20104833.0,"+7,928",1193374,24499.0,,,,,,Asia,"
",,
,South America,14136082,1473.0,379753.0,39.0,12608516.0,863,1147813,18792.0,,,,,,South America,"
",,
,Europe,26423401,43504.0,601403.0,1008.0,14241917.0,"+75,809",11580081,29023.0,,,,,,Europe,"
",,
,Africa,3121398,,74558.0,,2550285.0,,496555,2560.0,,,,,,Africa,"
",,
,Oceania,49223,20.0,1069.0,,33703.0,42,14451,20.0,,,,,,Australia/Oceania,"
",,
,World,92061200,70824.0,1971408.0,2639.0,65917159.0,"+92,715",24172633,110080.0,11811.0,252.9,,,,All,"
",,
1,USA,23369732,,389621.0,,13816238.0,,9163873,29222.0,70382.0,1173.0,275604865.0,830036.0,"332,039,770 ",North America,14,852,1
2,India,10495816,,151564.0,,10129111.0,654,215141,8944.0,7566.0,109.0,183489114.0,132270.0,"1,387,234,405 ",Asia,132,"9,153",8
3,Brazil,8195637,,204726.0,,7273707.0,,717204,8318.0,38411.0,960.0,28600000.0,134042.0,"213,366,090 ",South America,26,"1,042",7
4,Russia,3471053,22850.0,63370.0,566.0,2854088.0,"+28,658",553595,2300.0,23780.0,434.0,94631354.0,648302.0,"145,968,016 ",Europe,42,"2,303",2
5,UK,3164051,,83203.0,,1406967.0,,1673881,3363.0,46478.0,1222.0,61160735.0,898410.0,"68,076,632 ",Europe,22,818,1
6,France,2806590,,68802.0,,204390.0,,2533398,2688.0,42946.0,1053.0,38441562.0,588233.0,"65,350,871 ",Europe,23,950,2
7,Turkey,2346285,,23152.0,,2218464.0,,104669,2701.0,27661.0,273.0,26555992.0,313078.0,"84,822,365 ",Asia,36,"3,664",3
8,Italy,2303263,,79819.0,,1653404.0,,570040,2636.0,38125.0,1321.0,28124690.0,465532.0,"60,414,097 ",Europe,26,757,2
9,Spain,2137220,,52683.0,,0.0,N/A,0,2651.0,45702.0,1127.0,28775103.0,615320.0,"46,764,489 ",Europe,22,888,2
10,Germany,1957492,,43203.0,,1596600.0,"+26,600",317689,5230.0,23324.0,515.0,35118592.0,418440.0,"83,927,340 ",Europe,43,"1,943",2
11,Colombia,1816082,,46782.0,,1646892.0,,122408,3482.0,35490.0,914.0,8769587.0,171376.0,"51,171,732 ",South America,28,"1,094",6
12,Argentina,1744704,,44848.0,,1527861.0,,171995,3619.0,38415.0,987.0,5314594.0,117018.0,"45,416,877 ",South America,26,"1,013",9
13,Mexico,1556028,14395.0,135682.0,1314.0,1168354.0,"+7,981",251992,3913.0,12001.0,1046.0,3918394.0,30222.0,"129,654,274 ",North America,83,956,33
14,Poland,1395779,,31593.0,,1138126.0,,226060,1637.0,36902.0,835.0,7718916.0,204073.0,"37,824,363 ",Europe,27,"1,197",5
15,Iran,1299022,,56360.0,,1088465.0,,154197,4507.0,15361.0,666.0,8262166.0,97702.0,"84,564,648 ",Asia,65,"1,500",10
16,South Africa,1259748,,34334.0,,1019123.0,,206291,546.0,21099.0,575.0,7287060.0,122048.0,"59,706,390 ",Africa,47,"1,739",8
17,Ukraine,1130839,6409.0,20214.0,195.0,826871.0,"+14,503",283754,177.0,25941.0,464.0,5733555.0,131527.0,"43,592,317 ",Europe,39,"2,157",8
18,Peru,1040231,,38399.0,,971000.0,,30832,1517.0,31317.0,1156.0,5697183.0,171520.0,"33,215,904 ",South America,32,865,6
19,Netherlands,883135,,12563.0,,0.0,N/A,0,695.0,51479.0,732.0,6352647.0,370305.0,"17,155,178 ",Europe,19,"1,366",3
20,Czechia,855600,10725.0,13656.0,79.0,692547.0,411,149397,1104.0,79816.0,1274.0,5260650.0,490749.0,"10,719,624 ",Europe,13,785,2
21,Indonesia,846765,,24645.0,,695807.0,,126313,,3078.0,90.0,7991379.0,29053.0,"275,064,108  ",Asia,325,"11,161",34
22,Romania,676968,,16881.0,,605045.0,,55042,1073.0,35317.0,881.0,5048928.0,263396.0,"19,168,577 ",Europe,28,"1,136",4
23,Canada,674473,,17233.0,,576447.0,,80793,843.0,17787.0,454.0,14714036.0,388042.0,"37,918,624 ",North America,56,"2,200",3
24,Belgium,667322,2099.0,20194.0,72.0,46417.0,,600711,356.0,57446.0,1738.0,7363913.0,633913.0,"11,616,601 ",Europe,17,575,2
25,Chile,649135,,17182.0,,608804.0,,23149,951.0,33803.0,895.0,6981084.0,363528.0,"19,203,719 ",South America,30,"1,118",3
26,Iraq,604549,,12911.0,,560583.0,,31055,130.0,14854.0,317.0,4932392.0,121192.0,"40,699,084 ",Asia,67,"3,152",8
27,Bangladesh,524020,,7819.0,,468681.0,,47520,,3165.0,47.0,3385779.0,20450.0,"165,563,643 ",Asia,316,"21,175",49
28,Israel,512869,2806.0,3770.0,,430884.0,723,78215,1042.0,55761.0,410.0,9046902.0,983617.0,"9,197,590 ",Asia,18,"2,440",1
29,Pakistan,508824,2123.0,10772.0,55.0,464950.0,"+2,973",33102,2366.0,2280.0,48.0,7202076.0,32273.0,"223,162,240 ",Asia,439,"20,717",31
30,Sweden,506866,,9667.0,,0.0,N/A,0,345.0,50022.0,954.0,4717676.0,465580.0,"10,132,905 ",Europe,20,"1,048",2
31,Portugal,496552,,8080.0,,378084.0,,110388,599.0,48774.0,794.0,6131619.0,602277.0,"10,180,734 ",Europe,21,"1,260",2
32,Philippines,492700,1453.0,9699.0,146.0,458523.0,397,24478,727.0,4465.0,88.0,7096319.0,64304.0,"110,356,393 ",Asia,224,"11,378",16
33,Switzerland,487357,,8470.0,,317600.0,,161287,364.0,56093.0,975.0,3900061.0,448881.0,"8,688,408 ",Europe,18,"1,026",2
34,Morocco,453789,,7784.0,,427351.0,,18654,626.0,12217.0,210.0,5085166.0,136906.0,"37,143,366 ",Africa,82,"4,772",7
35,Austria,383833,,6819.0,,357562.0,,19452,378.0,42488.0,755.0,3936835.0,435787.0,"9,033,859 ",Europe,24,"1,325",2
36,Saudi Arabia,364096,,6300.0,,355857.0,,1939,310.0,10373.0,179.0,11437165.0,325830.0,"35,101,614 ",Asia,96,"5,572",3
37,Serbia,363924,,3639.0,,31536.0,,328749,189.0,41742.0,417.0,2424147.0,278048.0,"8,718,447 ",Europe,24,"2,396",4
38,Hungary,345710,1358.0,10948.0,95.0,215453.0,"+5,601",119309,339.0,35835.0,1135.0,2879364.0,298467.0,"9,647,174 ",Europe,28,881,3
39,Jordan,309846,,4076.0,,292104.0,,13666,185.0,30208.0,397.0,3463184.0,337638.0,"10,257,107 ",Asia,33,"2,516",3
40,Japan,292212,,4094.0,,225396.0,,62722,881.0,2314.0,32.0,5442315.0,43101.0,"126,268,399 ",Asia,432,"30,842",23
41,Panama,285093,,4561.0,,223635.0,,56897,223.0,65526.0,1048.0,1460912.0,335779.0,"4,350,810 ",North America,15,954,3
42,Nepal,265698,,1932.0,,259358.0,,4408,,9033.0,66.0,1992855.0,67751.0,"29,414,443 ",Asia,111,"15,225",15
43,Georgia,243255,1618.0,2846.0,26.0,227611.0,403,12798,,61042.0,714.0,2013142.0,505173.0,"3,985,055 ",Asia,16,"1,400",2
44,UAE,236225,,717.0,,210561.0,,24947,,23732.0,72.0,22695403.0,2280033.0,"9,953,981 ",Asia,42,"13,883",0
45,Lebanon,226948,,1705.0,,144857.0,,80386,618.0,33331.0,250.0,2255553.0,331260.0,"6,809,006 ",Asia,30,"3,994",3
46,Azerbaijan,225346,,2941.0,,210798.0,,11607,,22119.0,289.0,2279907.0,223786.0,"10,187,904 ",Asia,45,"3,464",4
47,Ecuador,222567,,14196.0,,193581.0,,14790,440.0,12514.0,798.0,781748.0,43955.0,"17,785,278 ",South America,80,"1,253",23
48,Croatia,220982,,4446.0,,211633.0,,4903,185.0,54008.0,1087.0,1087992.0,265906.0,"4,091,637 ",Europe,19,920,4
49,Belarus,215724,,1535.0,,197851.0,,16338,,22834.0,162.0,4144027.0,438630.0,"9,447,656 ",Europe,44,"6,155",2
50,Slovakia,211479,,3102.0,,153755.0,,54622,493.0,38725.0,568.0,1552630.0,284309.0,"5,461,060 ",Europe,26,"1,760",4
51,Bulgaria,209881,,8279.0,,140548.0,,61054,367.0,30328.0,1196.0,1239980.0,179181.0,"6,920,261 ",Europe,33,836,6
52,Dominican Republic,184788,,2427.0,,139867.0,,42494,322.0,16944.0,223.0,919721.0,84333.0,"10,905,871 ",North America,59,"4,494",12
53,Denmark,183801,,1623.0,,158743.0,,23435,135.0,31673.0,280.0,11474108.0,1977232.0,"5,803,118 ",Europe,32,"3,576",1
54,Costa Rica,181093,,2367.0,,139297.0,,39429,247.0,35377.0,462.0,535554.0,104623.0,"5,118,918 ",North America,28,"2,163",10
55,Bolivia,176761,1473.0,9454.0,39.0,139672.0,863,27635,71.0,15034.0,804.0,458005.0,38954.0,"11,757,645 ",South America,67,"1,244",26
56,Tunisia,164936,,5343.0,,120999.0,,38594,359.0,13878.0,450.0,704961.0,59318.0,"11,884,490 ",Africa,72,"2,224",17
57,Kazakhstan,164477,766.0,2349.0,,150427.0,584,11701,221.0,8704.0,124.0,5250104.0,277839.0,"18,896,213 ",Asia,115,"8,044",4
58,Armenia,163128,485.0,2951.0,10.0,151246.0,644,8931,,54995.0,995.0,613908.0,206967.0,"2,966,210 ",Asia,18,"1,005",5
59,Lithuania,161348,,2272.0,,95627.0,,63449,177.0,59720.0,841.0,1751038.0,648114.0,"2,701,745 ",Europe,17,"1,189",2
60,Ireland,155591,,2397.0,,23364.0,,129830,160.0,31324.0,483.0,2663724.0,536268.0,"4,967,151 ",Europe,32,"2,072",2
61,Kuwait,155335,,946.0,,149575.0,,4814,47.0,36090.0,220.0,1347854.0,313155.0,"4,304,109 ",Asia,28,"4,550",3
62,Egypt,151723,,8304.0,,119635.0,,23784,90.0,1468.0,80.0,1000000.0,9675.0,"103,356,286 ",Africa,681,"12,447",103
63,Moldova,150138,,3176.0,,139427.0,,7535,220.0,37265.0,788.0,581082.0,144227.0,"4,028,927 ",Europe,27,"1,269",7
64,Palestine,148968,,1630.0,,133599.0,,13739,95.0,28847.0,316.0,939826.0,181996.0,"5,163,994 ",Asia,35,"3,168",5
65,Qatar,146279,,246.0,,142938.0,,3095,26.0,52097.0,88.0,1296060.0,461592.0,"2,807,805 ",Asia,19,"11,414",2
66,Greece,146020,,5329.0,,9989.0,,130702,337.0,14046.0,513.0,3654883.0,351578.0,"10,395,664 ",Europe,71,"1,951",3
67,Guatemala,144982,,5080.0,,131974.0,,7928,5.0,8014.0,281.0,678803.0,37521.0,"18,091,075 ",North America,125,"3,561",27
68,Slovenia,141587,,3053.0,,114330.0,,24204,192.0,68100.0,1468.0,723607.0,348040.0,"2,079,091 ",Europe,15,681,3
69,Malaysia,141533,,559.0,,110584.0,,30390,190.0,4343.0,17.0,3690390.0,113249.0,"32,586,518 ",Asia,230,"58,294",9
70,Myanmar,131737,,2878.0,,115061.0,,13798,,2413.0,53.0,2037930.0,37322.0,"54,604,588 ",Asia,414,"18,973",27
71,Oman,130944,,1508.0,,123187.0,,6249,23.0,25303.0,291.0,571472.0,110428.0,"5,175,047 ",Asia,40,"3,432",9
72,Honduras,129805,1104.0,3294.0,9.0,59389.0,88,67122,220.0,12996.0,330.0,336727.0,33713.0,"9,988,191 ",North America,77,"3,032",30
73,Ethiopia,128992,,2004.0,,114262.0,,12726,221.0,1108.0,17.0,1859648.0,15967.0,"116,464,570 ",Africa,903,"58,116",63
74,Paraguay,117590,,2437.0,,93258.0,,21895,182.0,16379.0,339.0,592028.0,82465.0,"7,179,146 ",South America,61,"2,946",12
75,Venezuela,117299,,1078.0,,111175.0,,5046,91.0,4131.0,38.0,2450838.0,86319.0,"28,392,650 ",South America,242,"26,338",12
76,Bosnia and Herzegovina,116200,,4373.0,,82822.0,,29005,,35537.0,1337.0,548818.0,167843.0,"3,269,832 ",Europe,28,748,6
77,Libya,106030,,1622.0,,82229.0,,22179,,15320.0,234.0,581915.0,84080.0,"6,920,951 ",Africa,65,"4,267",12
78,Algeria,102641,,2816.0,,69608.0,,30217,42.0,2318.0,64.0,,,"44,270,523 ",Africa,431,"15,721",
79,Nigeria,102601,,1373.0,,81574.0,,19654,10.0,491.0,7.0,1033858.0,4951.0,"208,832,577 ",Africa,"2,035","152,099",202
80,Kenya,98432,,1716.0,,81255.0,,15461,32.0,1810.0,32.0,1097647.0,20178.0,"54,396,899 ",Africa,553,"31,700",50
81,Bahrain,96195,,356.0,,92920.0,,2919,20.0,55523.0,205.0,24866420.0,14352829.0,"1,732,510  ",Asia,18,"4,867",0
82,North Macedonia,87117,,2647.0,,68364.0,,16106,138.0,41816.0,1271.0,421153.0,202154.0,"2,083,328 ",Europe,24,787,5
83,Kyrgyzstan,82587,92.0,1375.0,1.0,78358.0,177,2854,50.0,12549.0,209.0,619064.0,94064.0,"6,581,283 ",Asia,80,"4,786",11
84,Uzbekistan,77716,53.0,618.0,1.0,76197.0,63,901,158.0,2304.0,18.0,1377915.0,40855.0,"33,726,834 ",Asia,434,"54,574",24
85,S. Korea,70212,561.0,1185.0,20.0,54636.0,"+1,067",14391,374.0,1369.0,23.0,4872312.0,94990.0,"51,292,838 ",Asia,731,"43,285",11
86,Albania,64627,,1252.0,,38421.0,,24954,39.0,22470.0,435.0,292707.0,101772.0,"2,876,110 ",Europe,45,"2,297",10
87,Singapore,58984,38.0,29.0,,58694.0,,261,1.0,10040.0,5.0,5837181.0,993581.0,"5,874,894 ",Asia,100,"202,583",1
88,Norway,56615,,482.0,,46611.0,,9522,34.0,10400.0,89.0,3064639.0,562953.0,"5,443,862 ",Europe,96,"11,294",2
89,Ghana,56421,,338.0,,54753.0,,1330,46.0,1796.0,11.0,697087.0,22189.0,"31,415,827 ",Africa,557,"92,946",45
90,Afghanistan,53690,,2308.0,,44608.0,,6774,672.0,1363.0,59.0,217752.0,5528.0,"39,391,241 ",Asia,734,"17,067",181
