#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,37964766,2179.0,855696.0,138.0,29618745,"+2,643",7490325,17522.0,,,,,,North America,"
",,,,,
,Asia,37061213,18360.0,495619.0,116.0,31807917,"+16,411",4757677,30741.0,,,,,,Asia,"
",,,,,
,South America,24263369,474.0,651354.0,12.0,21844944,752,1767071,26965.0,,,,,,South America,"
",,,,,
,Europe,43912623,8259.0,998649.0,250.0,38413110,"+28,473",4500864,31423.0,,,,,,Europe,"
",,,,,
,Africa,4544970,,120443.0,,4061995,,362532,3823.0,,,,,,Africa,"
",,,,,
,Oceania,62372,14.0,1187.0,,44470,,16715,9.0,,,,,,Australia/Oceania,"
",,,,,
,World,147810034,29286.0,3122963.0,516.0,125791887,"+48,279",18895184,110483.0,18963.0,400.6,,,,All,"
",,,,,
1,USA,32824389,,586152.0,,25379831,,6858406,9912.0,98695.0,1762.0,439643492.0,1321898.0,"332,584,983 ",North America,10,567,1,,,"20,622"
2,India,17313163,6863.0,195123.0,7.0,14304382,"+7,742",2813658,8944.0,12446.0,140.0,279321177.0,200799.0,"1,391,049,556 ",Asia,80,"7,129",5,5,0.01,"2,023"
3,Brazil,14340787,,390925.0,,12809169,,1140693,8318.0,67079.0,1829.0,43538104.0,203648.0,"213,790,656 ",South America,15,547,5,,,"5,336"
4,France,5498044,,102858.0,,4363098,,1032088,5978.0,84079.0,1573.0,74505035.0,1139371.0,"65,391,401 ",Europe,12,636,1,,,"15,783"
5,Russia,4762569,,108232.0,,4388008,,266329,2300.0,32624.0,741.0,127800000.0,875429.0,"145,985,566 ",Europe,31,"1,349",1,,,"1,824"
6,Turkey,4629969,,38358.0,,4073644,,517967,3590.0,54421.0,451.0,45884258.0,539322.0,"85,077,620 ",Asia,18,"2,218",2,,,"6,088"
7,UK,4404882,,127428.0,,4193828,,83626,243.0,64610.0,1869.0,148737754.0,2181648.0,"68,176,784 ",Europe,15,535,0,,,"1,227"
8,Italy,3962674,,119238.0,,3382224,,461212,2862.0,65619.0,1974.0,57126017.0,945965.0,"60,389,176 ",Europe,15,506,1,,,"7,637"
9,Spain,3468617,,77591.0,,3163849,,227177,2297.0,74164.0,1659.0,44374223.0,948784.0,"46,769,568 ",Europe,13,603,1,,,"4,857"
10,Germany,3298201,,82237.0,,2910100,"+16,200",305864,5049.0,39263.0,979.0,54061332.0,643568.0,"84,002,536 ",Europe,25,"1,021",2,,,"3,641"
11,Argentina,2860884,,61644.0,,2518167,,281073,4942.0,62830.0,1354.0,10733477.0,235727.0,"45,533,475 ",South America,16,739,4,,,"6,173"
12,Colombia,2774464,,71351.0,,2588204,,114909,5645.0,54058.0,1390.0,14398609.0,280542.0,"51,324,269 ",South America,18,719,4,,,"2,239"
13,Poland,2758856,,65415.0,,2439412,,254029,3185.0,72961.0,1730.0,13901801.0,367649.0,"37,812,743 ",Europe,14,578,3,,,"6,718"
14,Iran,2396204,,69574.0,,1877517,,449113,5206.0,28235.0,820.0,15195766.0,179053.0,"84,867,186 ",Asia,35,"1,220",6,,,"5,292"
15,Mexico,2328391,1653.0,214947.0,94.0,1850680,"+2,503",262764,4798.0,17906.0,1653.0,6538675.0,50284.0,"130,035,254 ",North America,56,605,20,13,0.7,"2,021"
16,Ukraine,2030333,5062.0,42518.0,195.0,1579438,"+6,910",408377,177.0,46654.0,977.0,9240911.0,212343.0,"43,518,765 ",Europe,21,"1,024",5,116,4,"9,384"
17,Peru,1761575,,59724.0,,1688091,,13760,2618.0,52828.0,1791.0,10862019.0,325745.0,"33,345,194 ",South America,19,558,3,,,413
18,Indonesia,1641194,,44594.0,,1496126,,100474,,5949.0,162.0,14285614.0,51782.0,"275,877,577 ",Asia,168,"6,186",19,,,364
19,Czechia,1620206,820.0,29002.0,21.0,1537362,38,53842,694.0,151065.0,2704.0,17124014.0,1596615.0,"10,725,199 ",Europe,7,370,1,76,2,"5,020"
