#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,41475779,6201.0,929748.0,159.0,34781801,"+9,296",5764230,13047.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,59249336,27223.0,846416.0,223.0,55914694,"+24,356",2488226,30380.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,34645108,971.0,1055714.0,17.0,32094452,"+1,803",1494942,26896.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,49957169,1928.0,1120711.0,27.0,46217382,"+1,431",2619076,6502.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,6314857,,159057.0,,5503538,,652262,4478.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,90440,108.0,1393.0,,72938,1,16109,65.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,191733410,36431.0,4113054.0,426.0,174585511,"+36,887",13034845,81368.0,24598.0,527.7,,,,All,"
",,,,,,Dummy,Dummy
1,USA,35018600,,624983.0,,29406202,,4987415,6072.0,105150.0,1877.0,517822496.0,1554859.0,"333,034,917 ",North America,10,533,1,,,"14,976",Dummy,Dummy
2,India,31174322,1303.0,414513.0,,30353710,"+7,579",406099,8944.0,22360.0,297.0,447341133.0,320859.0,"1,394,197,982 ",Asia,45,"3,363",3,0.9,,291,Dummy,Dummy
3,Brazil,19391845,,542877.0,,18067080,,781888,8318.0,90556.0,2535.0,54204686.0,253126.0,"214,141,026 ",South America,11,394,4,,,"3,651",Dummy,Dummy
4,Russia,5982766,,149138.0,,5359995,,473633,2300.0,40978.0,1021.0,159500000.0,1092465.0,"146,000,049 ",Europe,24,979,1,,,"3,244",Dummy,Dummy
5,France,5871881,,111492.0,,5661352,,99037,902.0,89750.0,1704.0,99135481.0,1515257.0,"65,424,848 ",Europe,11,587,1,,,"1,514",Dummy,Dummy
6,Turkey,5537386,,50604.0,,5390739,,96043,543.0,64926.0,593.0,65101654.0,763313.0,"85,288,268 ",Asia,15,"1,685",1,,,"1,126",Dummy,Dummy
7,UK,5473477,,128727.0,,4404465,,940285,573.0,80186.0,1886.0,233398270.0,3419282.0,"68,259,434 ",Europe,12,530,0,,,"13,775",Dummy,Dummy
8,Argentina,4769142,,101955.0,,4407815,,259372,4681.0,104518.0,2234.0,18327480.0,401657.0,"45,629,698 ",South America,10,448,2,,,"5,684",Dummy,Dummy
9,Colombia,4655921,,116753.0,,4408026,,131142,8155.0,90494.0,2269.0,21655355.0,420900.0,"51,450,149 ",South America,11,441,2,,,"2,549",Dummy,Dummy
10,Italy,4289528,,127874.0,,4114129,,47525,162.0,71056.0,2118.0,74881652.0,1240407.0,"60,368,610 ",Europe,14,472,1,,,787,Dummy,Dummy
11,Spain,4161850,,81119.0,,3672109,,408622,1039.0,88978.0,1734.0,55184196.0,1179811.0,"46,773,759 ",Europe,11,577,1,,,"8,736",Dummy,Dummy
12,Germany,3753202,,91908.0,,3641000,900,20294,369.0,44647.0,1093.0,65845568.0,783274.0,"84,064,591 ",Europe,22,915,1,,,241,Dummy,Dummy
13,Iran,3548704,,87374.0,,3152653,,308677,4361.0,41692.0,1027.0,24892912.0,292456.0,"85,116,853 ",Asia,24,974,3,,,"3,627",Dummy,Dummy
14,Indonesia,2911733,,74920.0,,2293875,,542938,,10529.0,271.0,23540214.0,85121.0,"276,548,887 ",Asia,95,"3,691",12,,,"1,963",Dummy,Dummy
15,Poland,2881491,,75215.0,,2653034,,153242,62.0,76224.0,1990.0,18138390.0,479812.0,"37,803,153 ",Europe,13,503,2,,,"4,054",Dummy,Dummy
16,Mexico,2664444,5307.0,236469.0,138.0,2095953,"+9,296",332022,4798.0,20441.0,1814.0,7960939.0,61074.0,"130,349,655 ",North America,49,551,16,41,1,"2,547",Dummy,Dummy
17,South Africa,2302304,,67080.0,,2069085,,0,546.0,38314.0,1116.0,14269993.0,237475.0,"60,090,459 ",Africa,26,896,4,,,"2,765",Dummy,Dummy
18,Ukraine,2245275,598.0,52756.0,25.0,2181925,540,10594,177.0,51665.0,1214.0,11182527.0,257318.0,"43,458,067 ",Europe,19,824,4,14,0.6,244,Dummy,Dummy
