date;cases;active
2020-02-26;2;0
2020-02-27;2;0
2020-02-28;5;0
2020-02-29;7;0
2020-03-01;10;0
2020-03-02;14;0
2020-03-03;18;0
2020-03-04;24;0
2020-03-05;29;0
2020-03-06;41;0
2020-03-07;74;0
2020-03-08;99;0
2020-03-09;102;0
2020-03-10;131;0
2020-03-11;182;0
2020-03-12;246;0
2020-03-13;361;0
2020-03-14;504;0
2020-03-15;655;0
2020-03-16;860;0
2020-03-17;1016;0
2020-03-18;1332;0
2020-03-19;1646;0
2020-03-20;2196;0
2020-03-21;2649;0
2020-03-22;3024;0
2020-03-23;3631;0
2020-03-24;4486;0
2020-03-25;5282;0
2020-03-26;5888;0
2020-03-27;7029;0
2020-03-28;7697;0
