date,cases,active,death
2020-03-01,2,0,0
2020-03-02,8,0,0
2020-03-03,13,0,0
2020-03-04,23,0,0
2020-03-05,50,0,0
2020-03-06,109,0,0
2020-03-07,169,0,0
2020-03-08,200,0,0
2020-03-09,239,0,0
2020-03-10,267,0,0
2020-03-11,314,0,3
2020-03-12,399,0,3.001
2020-03-13,559,0,3.002
2020-03-14,689,0,4
2020-03-15,886,0,4.001
2020-03-16,1058,0,10
2020-03-17,1243,0,10.001
2020-03-18,1486,0,14
2020-03-19,1795,0,21
2020-03-20,2257,0,37
2020-03-21,2815,0,67
2020-03-22,3401,0,75
2020-03-23,3743,0,88
2020-03-24,4269,0,122
2020-03-25,4937,0,178
2020-03-26,6235,0,220
2020-03-27,7284,0,289
2020-03-28,9134,0,353
2020-03-29,10836,9046,431
2020-03-30,11899,9859,513
2020-03-31,12775,10374,705
2020-04-01,13964,11004,828
2020-04-02,15348,11842,1011
2020-04-03,16770,12755,1143
2020-04-04,18431,13901,1283
2020-04-05,19691,14493,1447
2020-04-06,20814,15196,1632
2020-04-07,22194,16002,2035
2020-04-08,23403,16482,2240
2020-04-09,24983,17296,2523
2020-04-10,26667,18080,3019
2020-04-11,28018,18686,3346
2020-04-12,29647,19584,3600
2020-04-13,30589,19979,3903
2020-04-14,31119,20094,4157
2020-04-15,33573,22026,4440.0
2020-04-16,34809,22390,4857.0
2020-04-17,36138,23014,5163.0
2020-04-18,37183,23382,5453.0
2020-04-19,38496,24056,5683.0
2020-04-20,39983,25260,5828.0
2020-04-21,40956,25956,5998.0
2020-04-22,41889,26194,6262.0
2020-04-23,42797,26507,6490.0
2020-04-24,44293,27492,6679.0
2020-04-25,45325,27991,6917.0
2020-04-26,46134,28255,7094.0
2020-04-27,46687,28602,7207.0
2020-04-28,47334,29060,7331.0
2020-04-29,47859,29075,7501.0
2020-04-30,48519,29349,7594.0
2020-05-01,49032,29437,7703.0
2020-05-02,49517,29541,7765.0
2020-05-03,49906,29753,7844.0
2020-05-04,50267,29965,7924.0
2020-05-05,50509,30052,8016.0
2020-05-06,50781,29711,8339.0
2020-05-07,51420,30025,8415.0
2020-05-08,52011,30289,8521.0
2020-05-09,52596,30604,8581.0
2020-05-10,53081,30783,8656.0
2020-05-11,53449,31045,8707.0
2020-05-12,53779,31286,8761.0
2020-05-13,53981,31201,8843.0
2020-05-14,54288,31274,8903.0
2020-05-15,54644,31384,8959.0
2020-05-16,54989,31524,9005.0
2020-05-17,55280,31598,9052.0
2020-05-18,55559,31822,9080.0
2020-05-19,55791,31996,9108.0
2020-05-20,55983,31986,9150.0
2020-05-21,56235,32061,9186.0
2020-05-22,56511,32176,9212.0
2020-05-23,56810,32418,9237.0
2020-05-24,57092,32540,9280.0
2020-05-25,57342,32733,9312.0
2020-05-26,57455,32801,9334.0
2020-05-27,57592,32763,9364.0
2020-05-28,57849,32889,9388.0
2020-05-29,58061,32949,9430.0
2020-05-30,58186,32964,9453.0
2020-05-31,58381,33027,9467.0
2020-06-01,58517,33112,9486.0
2020-06-02,58615,33176,9505.0
2020-06-03,58685,33204,9522.0
2020-06-04,58767,33171,9548.0
2020-06-05,58907,33229,9566.0
2020-06-06,59072,33302,9580.0
2020-06-07,59226,33340,9595.0
2020-06-08,59348,33427,9606.0
2020-06-09,59437,33494,9619.0
2020-06-10,59569,33548,9629.0
2020-06-11,59711,33622,9636.0
2020-06-12,59819,33675,9646.0
2020-06-13,59918,33721,9650.0
2020-06-14,60029,33785,9655.0
2020-06-15,60100,33829,9661.0
2020-06-16,60155,33867,9663.0
2020-06-17,60244,33885,9675.0
2020-06-18,60348,33941,9683.0
2020-06-19,60476,34030,9695.0
2020-06-20,60550,34083,9696.0
2020-06-21,60550.3,34083,9696.0
2020-06-22,60550.6,34083,9696.0
2020-06-23,60810,34326,9713.0
2020-06-24,60898,34405,9722.0
2020-06-25,61007,34391,9726.0
2020-06-26,61106,34457,9731.0
2020-06-27,61209,34536,9732.0
2020-06-28,61295,34622,9732.0
2020-06-29,61361,34688,9732.0
2020-06-30,61427,34696,9747.0
2020-07-01,61509,34734,9754.0
2020-07-02,61598,34793,9761.0
2020-07-03,61727,34889,9765.0
2020-07-04,61838,34976,9771.0
2020-07-05,62016,35154,9771.0
2020-07-06,62058,35193,9774.0
2020-07-07,62123,35162,9776.0
2020-07-08,62210,35273,9778.0
2020-07-09,62357,35397,9781.0
2020-07-10,62469,35491,9782.0
2020-07-11,62606,35628,9782.0
2020-07-12,62707,35729,9782.0
2020-07-13,62781,35771,9787.0
2020-07-14,62872,35842,9788.0
2020-07-15,63039,36005,9792.0
2020-07-16,63238,36190,9795.0
2020-07-17,63499,36410,9800.0
2020-07-18,63706,36617,9800.0
2020-07-19,63893,36804,9800.0
2020-07-20,64094,36968,9805.0
2020-07-21,64258,37123,9805.0
2020-07-22,64627,37472,9808.0
2020-07-23,64847,37666,9812.0
2020-07-24,65199,37988,9817.0
2020-07-25,65727,38481,9821.0
2020-07-26,66026,38767,9821.0
2020-07-27,66428,39154,9822.0
2020-07-28,66662,39353,9833.0
