date,cases,active,death
2020-03-07,1
2020-03-10,3
2020-03-12,9
2020-03-13,16
2020-03-14,34
2020-03-15,45
2020-03-16,57
2020-03-17,65
2020-03-18,102
2020-03-19,128
2020-03-20,158
2020-03-21,210
2020-03-22,235
2020-03-23,306
2020-03-24,378
2020-03-25,470
2020-03-26,491
2020-03-27,539
2020-03-28,608
2020-03-29,702
2020-03-30,798
2020-03-31,906
2020-04-01,1065
2020-04-02,1161
2020-04-03,1267
2020-04-04,1406
2020-04-05,1485,1362
2020-04-06,1579,1445
2020-04-07,1780,1630
2020-04-08,2054,1876
2020-04-09,2223,1980
2020-04-10,2473,2196
2020-04-11,2709,2395
2020-04-12,2776,2397
2020-04-13,2852,2421
2020-04-14,2979,2498
2020-04-15,3105,2522,131.0
2020-04-16,3233,2539,144.0
2020-04-17,3439,2652,153.0
2020-04-18,3621,2764,166.0
2020-04-19,3792,2902,179.0
2020-04-20,3977,2984,189.0
2020-04-21,4149,3149,196.0
2020-04-22,4356,3280,206.0
2020-04-23,4561,3419,215.0
2020-04-24,4881,3653,225.0
2020-04-25,5142,3842,233.0
2020-04-26,5379,4002,244.0
2020-04-27,5597,4134,253.0
2020-04-28,5949,4412,269.0
2020-04-29,6211,4522,278.0
2020-04-30,6507,4775,293.0
2020-05-01,7006,5141,314.0
2020-05-02,7285,5295,324.0
2020-05-03,7668,5606,340.0
2020-05-04,7973,5808,358.0
2020-05-05,8613,6222,378.0
2020-05-06,8959,6414,397.0
2020-05-07,9456,6749,407.0
2020-05-08,10051,7199,428.0
2020-05-09,10495,7481,445.0
2020-05-10,11063,7895,463.0
2020-05-11,11613,8309,479.0
2020-05-12,12272,8808,493.0
2020-05-13,12930,9288,509.0
2020-05-14,13610,9727,525.0
2020-05-15,14216,10210,546.0
2020-05-16,14939,10790,562.0
2020-05-17,15574,11249,574.0
2020-05-18,16295,11800,592.0
2020-05-19,16935,12272,613.0
2020-05-20,17687,12801,630.0
2020-05-21,18330,13247,652.0
2020-05-22,19131,13874,682.0
2020-05-23,20177,14754,705.0
2020-05-24,21175,15432,727.0
2020-05-25,21981,15966,750.0
2020-05-26,23003,16716,776.0
2020-05-27,24104,17190,803.0
2020-05-28,25366,17879,822.0
2020-05-29,26688,18922,853.0
2020-05-30,28236,20225,890.0
2020-05-31,29383,19901,939.0
2020-06-01,30493,19863,969.0
2020-06-02,31833,19682,1009.0
2020-06-03,33354,20021,1045.0
2020-06-04,35120,21112,1087.0
2020-06-05,36635,21852,1145.0
2020-06-06,38027,22440,1205.0
2020-06-07,39236,22655,1259.0
2020-06-08,40719,22984,1308.0
2020-06-09,42078,24172,1372.0
