date,cases,active,death
2020-03-01,3,0
2020-03-02,3.01,0
2020-03-03,5,0
2020-03-04,8,0
2020-03-05,12,0
2020-03-06,18,0
2020-03-07,19,0
2020-03-08,31,0
2020-03-09,31.01,0
2020-03-10,41,0
2020-03-11,91,0
2020-03-12,94,0
2020-03-13,141,0
2020-03-14,189,0
2020-03-15,253,0
2020-03-16,298,0
2020-03-17,396,0
2020-03-18,464,0
2020-03-19,694,0
2020-03-20,833,0
2020-03-21,955,0
2020-03-22,1120,0
2020-03-23,1236,0
2020-03-24,1394,0
2020-03-25,1654,0
2020-03-26,1925,0
2020-03-27,2279,0
2020-03-28,2631,0
2020-03-29,2817,0
2020-03-30,3001,0
2020-03-31,3308,0
2020-04-01,3589,0
2020-04-02,3869,0
2020-04-03,4190,4065
2020-04-04,4472,4335
2020-04-05,4587,4424
2020-04-06,4822,4623
2020-04-07,5033,4761
2020-04-08,5312,4980
2020-04-09,5569,5156
2020-04-10,5732,5267
2020-04-11,5902,5362
2020-04-12,5991,5389
2020-04-13,6059,5397
2020-04-14,6141,5338
2020-04-15,6301,5316,166.0
2020-04-16,6433,5292,169.0
2020-04-17,6553,5194,176.0
2020-04-18,6654,5246,181.0
2020-04-19,6746,5262,186.0
2020-04-20,6900,5147,194.0
2020-04-21,7033,5079,201.0
2020-04-22,7132,4935,208.0
2020-04-23,7187,4825,210.0
2020-04-24,7273,4669,215.0
2020-04-25,7352,4681,218.0
2020-04-26,7404,4639,220.0
2020-04-27,7449,4384,223.0
2020-04-28,7504,4329,227.0
2020-04-29,7579,4244,227.0
2020-04-30,7682,4132,236.0
2020-05-01,7737,4125,240.0
2020-05-02,7755,4049,245.0
2020-05-03,7781,3946,248.0
2020-05-04,7819,3760,252.0
2020-05-05,7896,3633,257.0
2020-05-06,7974,3507,262.0
2020-05-07,8031,3390,270.0
2020-05-08,8077,3391,273.0
2020-05-09,8095,3372,276.0
2020-05-10,8123,3369,280.0
2020-05-11,8176,3183,282.0
2020-05-12,8221,3049,283.0
2020-05-13,8269,2932,290.0
2020-05-14,8351,2817,293.0
2020-05-15,8406,2730,295.0
2020-05-16,8455,2737,296.0
2020-05-17,8475,2715,298.0
2020-05-18,8586,2648,297.0
2020-05-19,8647,2619,302.0
2020-05-20,8721,2587,304.0
2020-05-21,8754,2522,306.0
2020-05-22,8813,2476,312.0
2020-05-23,8890,2532,314.0
2020-05-24,8955,2562,315.0
2020-05-25,9002,2503,317.0
2020-05-26,9050,2463,317.0
2020-05-27,9086,2399,317.0
2020-05-28,9140,2361,319.0
2020-05-29,9196,2377,319.0
2020-05-30,9230,2365,319.0
2020-05-31,9268,2390,320.0
2020-06-01,9302,2339,321.0
2020-06-02,9364,2355,323.0
2020-06-03,9438,2364,325.0
2020-06-04,9494,2359,326.0
2020-06-05,9529,2321,327.0
2020-06-06,9567,2355,327.0
2020-06-07,9629,2405,328.0
2020-06-08,9697,2375,328.0
2020-06-09,9751,2370,328.0
2020-06-10,9824,2383,330.0
2020-06-11,9855,2361,328.0
2020-06-12,9938,2394,329.0
2020-06-13,9991,2444,328.0
2020-06-14,10024,2469,329.0
2020-06-15,10066,2436,330.0
2020-06-16,10111,2422,331.0
2020-06-17,10162,2430,333.0
2020-06-18,10280,2506,334.0
2020-06-19,10406,2598,335.0
2020-06-20,10448,2635,336.0
2020-06-21,10498,2663,336.0
2020-06-22,10523,2650,336.0
2020-06-23,10650,2756,339.0
2020-06-24,10777,2846,343.0
2020-06-25,10870,2876,345.0
2020-06-26,11038,3021,349.0
2020-06-27,11298,3267,349.0
2020-06-28,11603,3550,348.0
2020-06-29,11805,3711,348.0
2020-06-30,11954,3834,349.0
2020-07-01,12046,3900,349.0
2020-07-02,12178,4003,353.0
2020-07-03,12319,4118,353.0
2020-07-04,12440,4237,351.0
2020-07-05,12515,4303,348.0
2020-07-06,12566,4343,350.0
2020-07-07,12685,4424,351.0
2020-07-08,12814,4453,351.0
2020-07-09,12919,4439,352.0
2020-07-10,13001,4441,352.0
2020-07-11,13115,4536,352.0
2020-07-12,13174,4575,352.0
2020-07-13,13238,4512,353.0
2020-07-14,13341,4545,355.0
2020-07-15,13475,4613,355.0
2020-07-16,13612,4617,355.0
2020-07-17,13742,4659,358.0
2020-07-18,13855,4764,358.0
2020-07-19,13945,4825,359.0
2020-07-20,14098,4903,359.0
2020-07-21,14324,5046,360.0
2020-07-22,14570,5062,364.0
2020-07-23,14800,5107,365.0
2020-07-24,15081,5290,369.0
2020-07-25,15212,5253,369.0
2020-07-26,15324,3525,371.0
2020-07-27,15516,3715,373.0
2020-07-28,15799,3997,374.0
2020-07-29,16093,4286,378.0
2020-07-30,16371,4510,379.0
2020-07-31,16574,4623,382.0
2020-08-01,16699,4729,383.0
2020-08-02,16800,4811,384.0
2020-08-03,17008,4914,386.0
2020-08-04,17286,5091,383.0
2020-08-05,17529,5232,388.0
2020-08-06,17731,5021,390.0
2020-08-07,18060,4922,389.0
2020-08-08,18235,5082,389.0
2020-08-09,18355,5180,390.0
2020-08-10,18494,5121,390.0
2020-08-11,18783,5170,391.0
2020-08-12,19075,5277,391.0
2020-08-13,19401,5436,391.0
2020-08-14,19693,5568,394.0
2020-08-15,19891,5733,395.0
2020-08-16,20012,5816,397.0
2020-08-17,20202,5181,399.0
2020-08-18,20483,4936,401.0
2020-08-19,20798,4779,404.0
2020-08-20,21045,4753,406.0
2020-08-21,21551,5100,411.0
2020-08-22,21790,5292,411.0
2020-08-23,21923,5386,412.0
2020-08-24,22181,5390,415.0
2020-08-25,22548,5470,416.0
2020-08-26,22951,5579,418.0
2020-08-27,23300,5692,418.0
2020-08-28,23777,5861,419.0
2020-08-29,24094,6132,421.0
2020-08-30,24367,6397,423.0
2020-08-31,24618,6387,424.0
2020-09-01,25117,6576,425.0
2020-09-02,25773,7022,425.0
2020-09-03,26452,7363,426.0
2020-09-04,27249,7793,429.0
2020-09-05,27752,8282,431.0
2020-09-06,28156,8667,436.0
2020-09-07,28716,8424,437.0
2020-09-08,29877,9297,441.0
2020-09-09,31036,10218,444.0
2020-09-10,32413,11178,448.0
2020-09-11,33860,12270,450.0
2020-09-12,35401,13739,453.0
2020-09-13,36188,14438,456.0
2020-09-14,37222,14737,465.0
2020-09-15,38896,15807,476.0
2020-09-16,41032,17619,482.0
2020-09-17,44155,20289,489.0
2020-09-18,46262,21909,495.0
2020-09-19,48306,23579,499.0
2020-09-20,49290,24032,503.0
2020-09-21,50764,24817,522.0
2020-09-22,53158,26476,531.0
2020-09-23,55464,28200,555.0
2020-09-24,58374,30425,567.0
2020-09-25,61318,29997,581.0
2020-09-26,63294,31767,591.0
2020-09-27,64597,32723,606.0
2020-09-28,65883,33466,618.0
2020-09-29,67843,34448,636.0
2020-09-30,70834,36619,658.0
2020-10-01,74255,39391,678.0
2020-10-02,78051,42320,699.0
