date,cases,active,death
2020-03-10,3,,
2020-03-12,7,,
2020-03-14,15,,
2020-03-15,22,,
2020-03-16,30,,
2020-03-17,40,,
2020-03-18,40.28,,
2020-03-19,58,,
2020-03-20,67,,
2020-03-21,83,,
2020-03-22,94,,
2020-03-23,115,,
2020-03-24,123,,
2020-03-25,131,,
2020-03-26,144,,
2020-03-27,160,,
2020-03-28,177,,
2020-03-29,211,,
2020-03-30,227,,
2020-03-31,258,,
2020-04-01,315,,
2020-04-02,351,,
2020-04-03,390,,
2020-04-04,419,,
2020-04-05,439,,
2020-04-06,458,,
2020-04-07,486,,
2020-04-08,517,,
2020-04-09,555,,
2020-04-10,585,0,
2020-04-11,606,545,
2020-04-12,623,557,
2020-04-13,651,585,
2020-04-14,683,618,
2020-04-15,703,638,12.0
2020-04-16,723,646,12.0
2020-04-17,737,661,12.0
2020-04-18,748,670,12.0
2020-04-19,754,674,12.0
2020-04-20,759,679,12.0
2020-04-21,771,674,12.0
2020-04-22,777,679,13.0
2020-04-23,782,684,13.0
2020-04-24,790,692,14.0
2020-04-25,796,648,14.0
2020-04-26,803,655,14.0
2020-04-27,808,659,15.0
2020-04-28,823,674,15.0
2020-04-29,829,680,15.0
2020-04-30,836,539,15.0
2020-05-01,842,546,15.0
2020-05-02,849,553,15.0
2020-05-03,857,561,15.0
2020-05-04,859,563,15.0
2020-05-05,863,567,15.0
2020-05-06,868,572,15.0
2020-05-07,874,474,15.0
2020-05-08,876,476,15.0
2020-05-09,877,476,15.0
2020-05-10,883,481,16.0
2020-05-11,886,484,16.0
2020-05-12,888,438,16.0
2020-05-13,890,439,17.0
2020-05-14,892,409,17.0
2020-05-15,895,412,17.0
2020-05-16,898,382,17.0
2020-05-17,900,384,17.0
2020-05-18,901,385,17.0
2020-05-19,902,386,17.0
2020-05-20,906,389,17.0
2020-05-21,907,345,17.0
2020-05-22,911,349,17.0
2020-05-23,919,324,17.0
2020-05-24,920,324,17.0
2020-05-25,921,326,17.0
2020-05-26,923,328,17.0
2020-05-27,923.5,328,17.0
2020-05-28,925,140,17.0
2020-05-29,926,141,17.0
2020-05-30,928,137,17.0
2020-05-31,928.5,137,17.0
2020-06-01,933,142,17.0
2020-06-02,936,145,17.0
2020-06-03,942,151,17.0
2020-06-04,942.5,151,17.0
2020-06-05,944,136,17.0
2020-06-06,944.5,135,18.0
2020-06-07,948,139,18.0
2020-06-08,953,145,18.0
2020-06-09,955,147,18.0
2020-06-10,957,149,18.0
2020-06-11,958,150,18.0
2020-06-12,963,155,18.0
2020-06-13,964,155,18.0
2020-06-14,966,158,18.0
2020-06-15,968,160,18.0
2020-06-16,968.25,151,18.0
2020-06-17,968.35,151,18.0
2020-06-18,968.44,148,19.0
2020-06-19,968.54,148,19.0
2020-06-20,968.64,142,19.0
2020-06-21,969,143,19.0
2020-06-22,971,145,19.0
2020-06-23,973,147,19.0
2020-06-24,974,148,19.0
2020-06-25,975,149,19.0
2020-06-26,975.1,149,19.0
2020-06-27,977,151,19.0
2020-06-28,977.5,142,19.0
2020-06-29,979,144,19.0
2020-06-30,981,146,19.0
2020-07-01,982,147,19.0
2020-07-02,982.2,147,19.0
2020-07-03,982.5,141,19.0
2020-07-04,985,144,19.0
2020-07-05,986,145,19.0
2020-07-06,987,146,19.0
2020-07-07,988,147,19.0
2020-07-08,991,150,19.0
2020-07-09,993,152,19.0
2020-07-10,996,155,19.0
2020-07-11,997,156,19.0
2020-07-12,1004,163,19.0
2020-07-13,1004.5,164,19.0
2020-07-14,1005,165,19.0
2020-07-15,1007,167,19.0
2020-07-16,1013,167,19.0
2020-07-17,1015,169,19.0
2020-07-18,1019,173,19.0
2020-07-19,1020,174,19.0
2020-07-20,1021,172,19.0
2020-07-21,1022,174,19.0
2020-07-22,1022.6,174,19.0
2020-07-23,1027,179,19.0
2020-07-24,1029,181,19.0
2020-07-25,1035,182,19.0
2020-07-26,1039,186,19.0
2020-07-27,1042,189,19.0
2020-07-28,1049,196,19.0
2020-07-29,1061,209,19.0
2020-07-30,1071,219,19.0
2020-07-31,1095,243,19.0
2020-08-01,1105,253,19.0
2020-08-02,1130,275,19.0
2020-08-03,1135,280,19.0
2020-08-04,1160,305,19.0
2020-08-05,1174,320,19.0
2020-08-06,1187,333,19.0
2020-08-07,1201,347,19.0
2020-08-08,1212,358,19.0
2020-08-09,1220,353,19.0
2020-08-10,1230,363,19.0
2020-08-11,1255,387,20.0
2020-08-12,1269,401,20.0
2020-08-13,1282,415,20.0
2020-08-14,1295,428,20.0
2020-08-15,1309,442,20.0
2020-08-16,1316,449,20.0
2020-08-17,1328,461,20.0
2020-08-18,1335,461,20.0
2020-08-19,1361,487,20.0
2020-08-20,1371,497,20.0
2020-08-21,1382,508,20.0
2020-08-22,1392,519,20.0
2020-08-23,1396,523,20.0
2020-08-24,1426,553,20.0
2020-08-25,1448,519,20.0
2020-08-26,1458,529,20.0
2020-08-27,1467,512,20.0
2020-08-28,1481,526,20.0
2020-08-29,1483,528,20.0
2020-08-30,1487,532,20.0
2020-08-31,1488,329,20.0
2020-09-01,1490,330,21.0
2020-09-02,1495,335,21.0
2020-09-03,1498,338,21.0
2020-09-04,1502,342,21.0
2020-09-05,1507,249,21.0
2020-09-06,1509,251,21.0
2020-09-07,1510,251,22.0
2020-09-08,1511,252,22.0
