date,cases,active,death
2020-02-27,1,0
2020-02-28,2,0
2020-02-29,3,0
2020-03-01,4,0
2020-03-02,5,0
2020-03-03,10,0
2020-03-04,14,0
2020-03-05,19,0
2020-03-06,21,0
2020-03-07,27,0
2020-03-08,35,0
2020-03-09,90,0
2020-03-10,262,0
2020-03-11,514,0
2020-03-12,674,0
2020-03-13,804,0
2020-03-14,836,0
2020-03-15,864,0
2020-03-16,914,0
2020-03-17,977,0
2020-03-18,1057,0
2020-03-19,1151,0
2020-03-20,1255,0
2020-03-21,1326,0
2020-03-22,1395,0
2020-03-23,1460,0
2020-03-24,1591,0
2020-03-25,1724,0
2020-03-26,1877,0
2020-03-27,2046,1993
2020-03-28,2201,2135
2020-03-29,2395,2322
2020-03-30,2577,2499
2020-03-31,2860,2769
2020-04-01,3107,2109
2020-04-02,3386,2174
2020-04-03,3757,2425
2020-04-04,4077,2633
2020-04-05,4369,2863
2020-04-06,4681,3116
2020-04-07,5071,3377
2020-04-08,5402,3563
2020-04-09,5635,3662
2020-04-10,5819,3799
2020-04-11,5996,3781
2020-04-12,6174,3778
2020-04-13,6318,3798
2020-04-14,6511,3697
2020-04-15,6681,3624,309.0
2020-04-16,6879,3535,321.0
2020-04-17,7073,3348,336.0
2020-04-18,7242,3049,346.0
2020-04-19,7384,2888,355.0
2020-04-20,7515,2839,364.0
2020-04-21,7695,2625,370.0
2020-04-22,7912,2441,384.0
2020-04-23,8073,2295,394.0
2020-04-24,8210,2281,403.0
2020-04-25,8445,2358,418.0
2020-04-26,8575,2348,422.0
2020-04-27,8698,2312,427.0
2020-04-28,8851,2296,434.0
2020-04-29,9008,2199,443.0
2020-04-30,9158,2160,452.0
2020-05-01,9311,2122,460.0
2020-05-02,9407,2043,475.0
2020-05-03,9523,2052,484.0
2020-05-04,9670,2089,493.0
2020-05-05,9821,2022,503.0
2020-05-06,9938,1939,506.0
2020-05-07,10083,1858,514.0
2020-05-08,10218,1769,522.0
2020-05-09,10319,1700,526.0
2020-05-10,10429,1683,529.0
2020-05-11,10513,1652,533.0
2020-05-12,10591,1484,527.0
2020-05-13,10667,1471,533.0
2020-05-14,10713,1371,537.0
2020-05-15,10791,1295,537.0
2020-05-16,10858,1208,543.0
2020-05-17,10927,1153,547.0
2020-05-18,10968,1119,548.0
2020-05-19,11044,1077,551.0
2020-05-20,11117,1027,554.0
2020-05-21,11182,978,561.0
2020-05-22,11230,905,561.0
2020-05-23,11289,892,561.0
2020-05-24,11360,898,562.0
2020-05-25,11387,860,563.0
2020-05-26,11428,821,563.0
2020-05-27,11480,809,565.0
2020-05-28,11512,764,568.0
2020-05-29,11593,785,568.0
2020-05-30,11633,735,571.0
2020-05-31,11669,733,574.0
2020-06-01,11699,711,576.0
2020-06-02,11734,665,580.0
2020-06-03,11771,639,580.0
2020-06-04,11811,609,582.0
2020-06-05,11875,636,586.0
2020-06-06,11924,616,587.0
2020-06-07,11948,604,589.0
2020-06-08,11962,577,593.0
2020-06-09,12001,559,593.0
2020-06-10,12016,519,593.0
2020-06-11,12035,487,593.0
2020-06-12,12099,512,594.0
2020-06-13,12139,507,597.0
2020-06-14,12193,528,597.0
2020-06-15,12217,529,598.0
2020-06-16,12250,527,598.0
2020-06-17,12294,511,598.0
2020-06-18,12344,502,600.0
2020-06-19,12391,509,600.0
2020-06-20,12391.1,509,600.0
2020-06-21,12391.2,509,600.0
2020-06-22,12527,578,602.0
2020-06-23,12561,565,603.0
2020-06-24,12615,590,603.0
2020-06-25,12636,573,603.0
2020-06-26,12675,563,604.0
2020-06-27,12675.3,563,604.0
2020-06-28,12675.6,563,604.0
2020-06-29,12751,534,605.0
2020-06-30,12768,514,605.0
2020-07-01,12794,495,606.0
2020-07-02,12815,440,606.0
2020-07-03,12832,409,606.0
2020-07-04,12832.3,409,606.0
2020-07-05,12832.6,409,606.0
2020-07-06,12878,336,607.0
2020-07-07,12888,296,609.0
2020-07-08,12900,290,609.0
2020-07-09,12916,262,609.0
2020-07-10,12946,260,609.0
2020-07-11,12976,260,609.0
2020-07-12,13006,260,609.0
2020-07-13,13037,297,610.0
2020-07-14,13061,291,610.0
2020-07-15,13092,300,610.0
2020-07-16,13124,319,610.0
2020-07-17,13173,353,611.0
2020-07-18,13173.5,353,611.0
2020-07-19,13262,400,611.0
2020-07-20,13281,400,611.0
2020-07-21,13302,430,611.0
2020-07-22,13350,465,611.0
2020-07-23,13390,479,612.0
2020-07-24,13438,485,613.0
2020-07-25,13474,485,613.0
2020-07-26,13510,485,613.0
2020-07-27,13547,517,613.0
2020-07-28,13577,513,613.0
2020-07-29,13634,535,614.0
2020-07-30,13725,584,615.0
2020-07-31,13789,596,615.0
2020-08-01,13892,596,615.0
2020-08-02,13996,698,616.0
2020-08-03,14034,698,616.0
2020-08-04,14073,742,616.0
2020-08-05,14185,816,616.0
2020-08-06,14306,902,617.0
2020-08-07,14442,985,617.0
2020-08-08,14565,985,617.0
2020-08-09,14689,985,617.0
2020-08-10,14815,1270,620.0
2020-08-11,14959,1350,621.0
2020-08-12,15070,1383,621.0
2020-08-13,15214,1462,621.0
2020-08-14,15379,1542,621.0
2020-08-15,15483,1587,621.0
2020-08-16,15617,1656,621.0
2020-08-17,15740,1702,621.0
2020-08-18,15855,1705,621.0
2020-08-19,15940,1668,621.0
2020-08-20,16056,1666,621.0
2020-08-21,16127,1562,621.0
2020-08-22,16239,1673,622.0
2020-08-23,16317,1515,622.0
2020-08-24,16397,1464,623.0
2020-08-25,16480,1392,623.0
2020-08-26,16537,1311,623.0
