date,cases,active,death
2020-03-14,1,,
2020-03-16,4,,
2020-03-17,5,,
2020-03-19,6,,
2020-03-20,7,,
2020-03-21,9,,
2020-03-23,11,,
2020-03-26,12,,
2020-03-28,16,,
2020-03-31,23,,
2020-04-01,25,,
2020-04-02,29,,
2020-04-03,32,,
2020-04-04,35,,
2020-04-05,38,,
2020-04-06,43,,
2020-04-07,44,,
2020-04-08,52,,
2020-04-09,55,,
2020-04-10,56,,
2020-04-11,65,,
2020-04-12,69,,
2020-04-13,71,,
2020-04-14,74,,
2020-04-15,82,,
2020-04-16,85,,
2020-04-17,92,,
2020-04-18,96,,
2020-04-19,105,,
2020-04-20,108,,
2020-04-21,111,,
2020-04-22,114,,
2020-04-23,116,,
2020-04-24,117,,
2020-04-25,118,,
2020-04-26,122,,
2020-04-27,123,,
2020-04-28,124,,
2020-04-29,126,,
2020-04-30,130,,
2020-05-01,131,,
2020-05-02,133,,
2020-05-03,134,,
2020-05-04,135,,
2020-05-05,140,,
2020-05-06,145,,
2020-05-07,162,,
2020-05-08,191,,
2020-05-09,194,,
2020-05-10,210,,
2020-05-11,239,,
2020-05-12,250,,
2020-05-13,261,,
2020-05-14,263,,
2020-05-15,272,,
2020-05-16,287,,
2020-05-17,306,,
2020-05-18,317,,
2020-05-19,352,,
2020-05-20,365,,
2020-05-21,389,,
2020-05-22,399,,
2020-05-23,433,,
2020-05-24,494,,
2020-05-25,582,,
2020-05-26,655,,
2020-05-27,701,,
2020-05-28,731,,
2020-05-29,831,,
2020-05-30,968,,
2020-05-31,1063,,
2020-06-01,1172,,
2020-06-02,1257,,
2020-06-03,1344,,
2020-06-04,1486,,
2020-06-05,1636,,
2020-06-06,1805,,
2020-06-07,1934,,
2020-06-08,2020,,
2020-06-09,2156,,
2020-06-10,2336,,
2020-06-11,2506,,
2020-06-12,2670,,
2020-06-13,2915,,
2020-06-14,3166,,
2020-06-15,3345,,
2020-06-16,3521,,
2020-06-17,3630,,
2020-06-18,3759,,
2020-06-19,3954,,
2020-06-20,4070,,
2020-06-21,4469,,
2020-06-22,4532,,
2020-06-23,4663,,
2020-06-24,4848,,
2020-06-25,5034,,
2020-06-26,5175,,
2020-06-27,5425,,
2020-06-28,5570,,
2020-06-29,5689,,
2020-06-30,5846,,
2020-07-07,6386,,
2020-07-08,6666,,
2020-07-09,6774,,
2020-07-10,6973,,
2020-07-11,7120,,
2020-07-12,7402,,
2020-07-13,7560,,
2020-07-14,7766,,
2020-07-15,7969,,
2020-07-16,8181,,
2020-07-17,8475,,
2020-07-18,8803,,
2020-07-19,9147,,
2020-07-20,9503,,
2020-07-21,10207,,
2020-07-22,10511,,
2020-07-23,11072,,
2020-07-24,11524,,
2020-07-25,11933,,
2020-07-26,12693,,
2020-07-27,13968,,
2020-07-28,14547,,
2020-07-29,15200,,
2020-07-30,15810,,
2020-07-31,16615,,
2020-08-01,17530,,
2020-08-02,17999,,
2020-08-03,18632,,
2020-08-04,19289,,
2020-08-05,19877,,
2020-08-06,20336,,
2020-08-07,20900,,
2020-08-08,21452,,
2020-08-09,22253,,
2020-08-10,22818,,
2020-08-11,23591,,
2020-08-12,24175,,
2020-08-13,25118,,
2020-08-14,26204,,
2020-08-15,27242,,
