date,cases,active,death
2020-01-25,1,0,0
2020-01-28,2,0,0
2020-01-29,6,0,0
2020-01-31,13,0,0
2020-02-01,17,0,0
2020-02-02,18,0,0
2020-02-03,19,0,0
2020-02-04,22,0,0
2020-02-07,23,0,0
2020-02-08,29,0,0
2020-02-10,30,0,0
2020-02-12,31,0,0
2020-02-17,32,0,0
2020-02-21,46,0,0
2020-02-22,105,0,0
2020-02-23,155,0,0
2020-02-24,249,0,0
2020-02-25,349,0,0
2020-02-26,441,0,0
2020-02-27,750,0,0
2020-02-28,1029,0,0
2020-02-29,1396,0,0
2020-03-01,2014,0,0
2020-03-02,2470,0,0
2020-03-03,3060,0,0
2020-03-04,3850,0,0
2020-03-05,5072,0,0
2020-03-06,6637,0,0
2020-03-07,8362,0,0
2020-03-08,10589,0,0
2020-03-09,13679,0,0
2020-03-10,15971,0,0
2020-03-11,20142,0,0
2020-03-12,25776,0,0
2020-03-13,31870,0,0
2020-03-14,39179,0,0
2020-03-15,46952,0,0
2020-03-16,55614,0,0
2020-03-17,64502,0,0
2020-03-18,75078,0,0
2020-03-19,93168,0,0
2020-03-20,109715,0,0
2020-03-21,128480,0,0
2020-03-22,145112,0,0
2020-03-23,165197,0,0
2020-03-24,185058,0,0
2020-03-25,209573,0,0
2020-03-26,238740,0,0
2020-03-27,269995,202348,0
2020-03-28,300625,220700,0
2020-03-29,325277,251848,0
2020-03-30,350735,271214,0
2020-03-31,378542,288775,0
2020-04-01,407913,304346,0
2020-04-02,434856,315562,0
2020-04-03,480900,357071,0
2020-04-04,510350,374351,0
2020-04-05,532022,394597,0
2020-04-06,553220,401000,0
2020-04-07,582161,420446,0
2020-04-08,606797,423665,0
2020-04-09,631759,430126,0
2020-04-10,659209,445352,0
2020-04-11,682154,455378,0
2020-04-12,700417,463836,0
2020-04-13,717426,470109,0
2020-04-14,736879,472419,0
2020-04-15,759258,479548,73381
2020-04-16,792221,494516,76320
2020-04-17,794105,485795,79352
2020-04-18,812284,491564,81985
2020-04-19,827543,499518,83248
2020-04-20,839506,495130,85339
2020-04-21,854338,486532,87800
2020-04-22,870286,486768,90191
2020-04-23,883180,484893,92491
2020-04-24,901347,485986,94668
2020-04-25,914820,489973,96532
2020-04-26,925807,470100,97780
2020-04-27,937408,474133,99402
2020-04-28,946130,467363,101085
2020-04-29,958175,455320,103033
2020-04-30,968544,451651,104482
2020-05-01,977705,447423,105770
2020-05-02,986252,444169,107059
2020-05-03,992412,444491,107861
2020-05-04,998330,435371,108980
2020-05-05,1005955,434135,110111
2020-05-06,1017830,420214,111849
2020-05-07,1027528,416066,113018
2020-05-08,1037441,412975,114289
2020-05-09,1045191,409685,115049
2020-05-10,1050953,406223,115622
2020-05-11,1057969,408459,116455
2020-05-12,1064418,404055,117488
2020-05-13,1069698,395957,118475
2020-05-14,1076559,353415,119609
2020-05-15,1082832,346991,120486
2020-05-16,1088261,342187,121048
2020-05-17,1092460,336354,121919
2020-05-18,1095923,332227,122394
2020-05-19,1100447,331650,122656
2020-05-20,1105509,328560,123345
2020-05-21,1109723,326747,123847
2020-05-22,1115478,325585,124942
2020-05-23,1118915,324222,125339
2020-05-24,1122038,314298,125612
2020-05-25,1124422,313961,124033
2020-05-26,1127710,310635,124777
2020-05-27,1131560,307802,125193
2020-05-28,1139057,308479,125547
2020-05-29,1143503,307739,125930
2020-05-30,1148415,306992,126251
2020-05-31,1150971,306069,126419
2020-06-01,1153311,305903,126595
2020-06-02,1155656,173585,126973
2020-06-03,1160437,171721,127303
2020-06-04,1164718,170731,127583
2020-06-05,1169238,169996,127910
2020-06-06,1173391,169491,128102
2020-06-07,1176861,169100,128225
