date,cases
2020-01-25,3
2020-01-28,4
2020-01-29,5
2020-01-29,8
2020-01-30,9
2020-01-30,10
2020-01-31,11
2020-01-31,12
2020-01-31,15
2020-02-01,17
2020-02-01,18
2020-02-02,19
2020-02-03,20
2020-02-04,21
2020-02-04,23
2020-02-05,24
2020-02-07,25
2020-02-08,30
2020-02-08,31
2020-02-10,32
2020-02-12,34
2020-02-17,35
2020-02-22,49
2020-02-23,111
2020-02-24,164
2020-02-25,261
2020-02-25,262
2020-02-26,264
2020-02-26,265
2020-02-26,267
2020-02-26,269
2020-02-26,362
2020-02-26,368
2020-02-27,369
2020-02-27,370
2020-02-27,371
2020-02-27,374
2020-02-27,378
2020-02-27,379
2020-02-27,457
2020-02-27,458
2020-02-27,466
2020-02-27,467
2020-02-28,470
2020-02-28,471
2020-02-28,472
2020-02-28,493
2020-02-28,519
2020-02-28,521
2020-02-28,771
2020-02-28,772
2020-02-28,773
2020-02-28,791
2020-02-28,792
2020-02-29,794
2020-02-29,796
2020-02-29,797
2020-02-29,798
2020-02-29,817
2020-02-29,827
2020-02-29,828
2020-02-29,1066
2020-02-29,1067
2020-02-29,1069
2020-02-29,1088
2020-02-29,1096
2020-03-01,1099
2020-03-01,1117
2020-03-01,1118
2020-03-01,1161
2020-03-01,1215
2020-03-01,1218
2020-03-01,1219
2020-03-01,1459
2020-03-01,1460
2020-03-01,1465
2020-03-01,1493
2020-03-01,1496
2020-03-02,1500
2020-03-02,1502
2020-03-02,1505
2020-03-02,1506
2020-03-02,1509
2020-03-02,1539
2020-03-02,1557
2020-03-02,2118
2020-03-02,2124
2020-03-02,2178
2020-03-03,2182
2020-03-03,2201
2020-03-03,2202
2020-03-03,2204
2020-03-03,2205
2020-03-03,2253
2020-03-03,2281
2020-03-03,2628
2020-03-03,2629
2020-03-03,2634
2020-03-03,2636
2020-03-03,2692
2020-03-03,2697
2020-03-04,2703
2020-03-04,2737
2020-03-04,2738
2020-03-04,2741
2020-03-04,2742
2020-03-04,2743
2020-03-04,2777
2020-03-04,2816
2020-03-04,2817
2020-03-04,3283
2020-03-04,3293
2020-03-04,3294
2020-03-04,3296
2020-03-04,3297
2020-03-04,3372
2020-03-04,3385
2020-03-05,3390
2020-03-05,3443
