date,cases,active,death
2020-02-25,1,0
2020-02-26,2,0
2020-02-27,2.01,0
2020-02-28,3,0
2020-02-29,3.01,0
2020-03-01,6,0
2020-03-02,7,0
2020-03-03,7.01,0
2020-03-04,7.02,0
2020-03-05,12,0
2020-03-06,15,0
2020-03-07,19,0
2020-03-08,25,0
2020-03-09,33,0
2020-03-10,40,0
2020-03-11,65,0
2020-03-12,109,0
2020-03-13,155,0
2020-03-14,225,0
2020-03-15,244,0
2020-03-16,278,0
2020-03-17,322,0
2020-03-18,359,0
2020-03-19,400,0
2020-03-20,450,0
2020-03-21,523,0
2020-03-22,626,0
2020-03-23,700,0
2020-03-24,792,0
2020-03-25,880,0
2020-03-26,958,0
2020-03-27,1041,0
2020-03-28,1167,0
2020-03-29,1240,0
2020-03-30,1352,0
2020-03-31,1418,0
2020-04-01,1446,0
2020-04-02,1518,0
2020-04-03,1615,0
2020-04-04,1882,0
2020-04-05,1927,1599
2020-04-06,2176,1849
2020-04-07,2308,1974
2020-04-08,2487,2147
2020-04-09,2605,2263
2020-04-10,2769,2421
2020-04-11,2905,2556
2020-04-12,2974,2618
2020-04-13,3064,2705
2020-04-14,3161,2797
2020-04-15,3237,2865,72.0
2020-04-16,3369,1594,75.0
2020-04-17,3489,1707,82.0
2020-04-18,3681,1891,90.0
2020-04-19,3783,1989,94.0
2020-04-20,3868,1770,98.0
2020-04-21,4014,1873,141.0
2020-04-22,4129,1980,149.0
2020-04-23,4284,2112,172.0
2020-04-24,4395,1718,177.0
2020-04-25,4475,1789,186.0
2020-04-26,4576,1886,190.0
2020-04-27,4695,2002,193.0
2020-04-28,4740,1741,199.0
2020-04-29,4906,1900,206.0
2020-04-30,4995,1784,211.0
2020-05-01,5051,1833,218.0
2020-05-02,5176,1956,220.0
2020-05-03,5254,2024,230.0
2020-05-04,5327,1587,240.0
2020-05-05,5412,1666,246.0
2020-05-06,5573,1821,252.0
2020-05-07,5673,1918,255.0
2020-05-08,5738,1478,260.0
2020-05-09,5880,1615,265.0
2020-05-10,5962,1695,267.0
2020-05-11,5984,1713,271.0
2020-05-12,6003,1428,275.0
2020-05-13,6054,1470,284.0
2020-05-14,6145,1558,287.0
2020-05-15,6228,935,293.0
2020-05-16,6286,989,297.0
2020-05-17,6347,1049,298.0
2020-05-18,6380,1080,300.0
2020-05-19,6399,1098,301.0
2020-05-20,6443,1339,304.0
2020-05-21,6493,1387,306.0
2020-05-22,6537,1431,306.0
2020-05-23,6568,1462,306.0
2020-05-24,6579,1472,307.0
2020-05-25,6599,1191,308.0
2020-05-26,6628,1216,312.0
2020-05-27,6692,1279,313.0
2020-05-28,6743,930,313.0
2020-05-29,6776,962,314.0
2020-05-30,6826,1010,316.0
2020-05-31,6859,1039,320.0
2020-06-01,6885,1067,318.0
2020-06-02,6887,1067,320.0
2020-06-03,6911,1090,321.0
2020-06-04,6911.5,789,322.0
2020-06-05,6941,819,322.0
2020-06-06,6964,842,322.0
2020-06-07,6981,858,323.0
2020-06-08,7001,878,323.0
2020-06-09,7025,901,324.0
2020-06-10,7040,916,324.0
2020-06-11,7064,539,325.0
2020-06-12,7073,548,325.0
2020-06-13,7087,562,325.0
2020-06-14,7104,578,326.0
2020-06-15,7108,582,326.0
2020-06-16,7112,586,326.0
2020-06-17,7117,591,326.0
2020-06-18,7119,593,326.0
2020-06-19,7133,607,326.0
2020-06-20,7142,616,326.0
2020-06-21,7143,617,326.0
2020-06-22,7144,417,327.0
2020-06-23,7155,428,327.0
2020-06-24,7167,240,327.0
2020-06-25,7172,245,327.0
2020-06-26,7191,263,328.0
2020-06-27,7198,270,328.0
2020-06-28,7209,281,328.0
2020-06-29,7214,286,328.0
2020-06-30,7236,308,328.0
2020-07-01,7241,213,328.0
2020-07-02,7241.5,213,328.0
2020-07-03,7242,213,329.0
2020-07-04,7248,219,329.0
2020-07-05,7253,224,329.0
2020-07-06,7257,228,329.0
2020-07-07,7262,233,329.0
2020-07-08,7265,136,329.0
2020-07-09,7273,144,329.0
2020-07-10,7279,150,329.0
2020-07-11,7291,162,329.0
2020-07-12,7294,165,329.0
2020-07-13,7295,166,329.0
2020-07-14,7296,172,329.0
2020-07-15,7296.3,88,328.0
2020-07-16,7296.6,85,328.0
2020-07-17,7301,93,328.0
2020-07-18,7318,110,328.0
2020-07-19,7335,127,328.0
2020-07-20,7340,132,328.0
2020-07-21,7351,143,328.0
2020-07-22,7362,114,328.0
2020-07-23,7372,124,328.0
2020-07-24,7380,131,329.0
2020-07-25,7388,139,329.0
2020-07-26,7393,144,329.0
2020-07-27,7398,149,329.0
2020-07-28,7404,155,329.0
2020-07-29,7423,144,329.0
2020-07-30,7432,153,329.0
2020-07-31,7443,164,329.0
2020-08-01,7453,174,329.0
2020-08-02,7466,187,329.0
2020-08-03,7483,204,329.0
2020-08-04,7512,231,331.0
2020-08-05,7532,221,331.0
2020-08-06,7554,243,331.0
2020-08-07,7568,257,331.0
2020-08-08,7584,273,331.0
2020-08-09,7601,290,331.0
2020-08-10,7623,310,333.0
2020-08-11,7642,259,333.0
2020-08-12,7683,300,333.0
2020-08-13,7700,317,333.0
2020-08-14,7700.5,317,333.0
2020-08-15,7720,337,333.0
2020-08-16,7731,348,333.0
2020-08-17,7752,368,334.0
2020-08-18,7776,392,334.0
2020-08-19,7805,371,334.0
2020-08-20,7842,408,334.0
2020-08-21,7871,437,334.0
2020-08-22,7906,472,334.0
2020-08-23,7920,486,334.0
2020-08-24,7938,503,335.0
2020-08-25,7981,546,335.0
2020-08-26,8002,467,335.0
2020-08-27,8019,484,335.0
2020-08-28,8042,507,335.0
2020-08-29,8077,542,335.0
2020-08-30,8086,550,336.0
2020-08-31,8142,606,336.0
2020-09-01,8161,625,336.0
2020-09-02,8200,514,336.0
2020-09-03,8225,539,336.0
2020-09-04,8225.5,539,336.0
2020-09-05,8291,605,336.0
2020-09-06,8327,641,336.0
2020-09-07,8327.5,641,336.0
2020-09-08,8337,651,336.0
2020-09-09,8430,593,337.0
2020-09-10,8512,675,337.0
2020-09-11,8512.5,675,337.0
2020-09-12,8557,720,337.0
2020-09-13,8580,743,337.0
2020-09-14,8627,790,337.0
2020-09-15,8725,886,339.0
2020-09-16,8750,711,339.0
2020-09-17,8799,760,339.0
2020-09-18,8858,819,339.0
2020-09-19,8980,941,339.0
2020-09-20,9046,1007,339.0
2020-09-21,9195,1154,341.0
2020-09-22,9195.5,1154,341.0
2020-09-23,9288,1095,343.0
2020-09-24,9379,1186,343.0
2020-09-25,9484,1291,343.0
2020-09-26,9577,1384,343.0
2020-09-27,9682,1489,343.0
2020-09-28,9743,1548,345.0
2020-09-29,9892,1697,345.0
2020-09-30,9992,1548,344.0
2020-10-01,10103,1659,344.0
2020-10-02,10244,1799,345.0
2020-10-03,10538,2093,345.0
2020-10-04,10702,2256,346.0
2020-10-05,10929,2483,346.0
2020-10-06,11049,2603,346.0
2020-10-07,11345,2499,346.0
2020-10-08,11580,2734,346.0
2020-10-09,11849,3003,346.0
2020-10-10,11998,3152,346.0
2020-10-11,12104,3152,346.0
2020-10-12,12212,3366,346.0
2020-10-13,12499,3653,346.0
2020-10-14,12703,3253,350.0
2020-10-15,12944,3494,350.0
2020-10-16,13293,3842,351.0
2020-10-17,13424,3973,351.0
2020-10-18,13489,3973,351.0
2020-10-19,13555,4104,351.0
2020-10-20,13849,4398,351.0
2020-10-21,14071,3916,355.0
2020-10-22,14255,4100,355.0
2020-10-23,14474,4321,353.0
2020-10-24,14848,4695,353.0
2020-10-25,14970,4817,353.0
2020-10-26,15066,4816,354.0
2020-10-27,15163,5009,354.0
2020-10-28,15378,3724,354.0
2020-10-29,15566,3912,354.0
2020-10-30,15910,4455,358.0
2020-10-31,16291,4633,358.0
2020-11-01,16400,4742,358.0
2020-11-02,16637,4978,359.0
2020-11-03,16902,5243,359.0
2020-11-04,16930,3869,361.0
2020-11-05,17119,4058,361.0
2020-11-06,17385,4323,362.0
2020-11-07,17797,4735,362.0
2020-11-08,17887,4825,362.0
2020-11-09,17996,4824,363.0
2020-11-10,18107,5044,363.0
2020-11-11,18345,3980,365.0
2020-11-12,18542,4177,365.0
2020-11-13,18858,4489,369.0
2020-11-14,19102,4733,369.0
2020-11-15,19315,4946,369.0
2020-11-16,19419,5048,371.0
2020-11-17,19647,5276,371.0
2020-11-18,19935,4261,374.0
2020-11-19,20286,4612,374.0
2020-11-20,20747,5072,375.0
2020-11-21,21216,5541,375.0
2020-11-22,21639,5964,375.0
2020-11-23,21936,6252,384.0
2020-11-24,22289,6605,384.0
2020-11-25,22652,5464,388.0
2020-11-26,23148,5960,388.0
2020-11-27,23766,6573,393.0
2020-11-28,24307,7114,393.0
2020-11-29,24629,7436,393.0
2020-11-30,24912,7713,399.0
2020-12-01,25462,8263,399.0
2020-12-02,25882,7374,408.0
2020-12-03,26422,7914,408.0
2020-12-04,26758,8250,408.0
2020-12-05,27218,8703,415.0
2020-12-06,27631,9116,415.0
2020-12-07,27881,9357,424.0
2020-12-08,28242,9718,424.0
2020-12-09,28732,10199,433.0
2020-12-10,29572,9130,442.0
2020-12-11,30073,9620,453.0
2020-12-12,30450,9997,453.0
2020-12-13,30810,10357,453.0
2020-12-14,31110,10649,461.0
2020-12-15,31459,10993,466.0
2020-12-16,31870,8898,472.0
2020-12-17,32228,9244,484.0
2020-12-18,32582,9593,489.0
2020-12-19,32853,9864,489.0
2020-12-20,33162,10173,489.0
2020-12-21,33414,10408,506.0
2020-12-22,33717,10706,511.0
2020-12-23,34084,7560,524.0
2020-12-24,34447,7923,524.0
2020-12-25,34648,8124,524.0
2020-12-26,34821,8297,524.0
2020-12-27,34977,8453,524.0
2020-12-28,35137,8591,546.0
2020-12-29,35420,8870,550.0
2020-12-30,35858,6302,556.0
2020-12-31,36107,6546,561.0
2021-01-01,36403,6842,561.0
2021-01-02,36604,7043,561.0
2021-01-03,36772,7211,561.0
2021-01-04,36919,7354,565.0
2021-01-05,37218,5642,576.0
