date,cases,active,death
2020-02-26,13,5,0
2020-02-27,16,8,0
2020-02-28,20,12,0
2020-02-29,23,15,0
2020-03-01,36,28,0
2020-03-02,39,31,0
2020-03-03,51,43,0
2020-03-04,87,79,0
2020-03-05,116,97,1
2020-03-06,164,144,1.01
2020-03-07,209,189,1.02
2020-03-08,278,257,2
2020-03-09,321,298,3
2020-03-10,383,359,7
2020-03-11,460,434,7.01
2020-03-12,590,562,9
2020-03-13,798,769,10
2020-03-14,1140,1101,28
2020-03-15,1391,1336,43
2020-03-16,1543,1436,65
2020-03-17,1950,1814,81
2020-03-18,2626,2457,115
2020-03-19,3269,3060,158
2020-03-20,3983,3741,194
2020-03-21,5018,4692,250
2020-03-22,5683,5309,285
2020-03-23,6650,6180,359
2020-03-24,8077,7520,508
2020-03-25,9529,8931,694
2020-03-26,11658,10945,877
2020-03-27,14543,13649,1161
2020-03-28,17089,15935,1455
2020-03-29,19522,18159,1669
2020-03-30,22141,20598,2043
2020-03-31,25150,23226,2425
2020-04-01,29474,26987,3095
2020-04-02,33718,30662,3747
2020-04-03,38168,34428,4461
2020-04-04,41903,37455,5221
2020-04-05,47806,42737,5865
2020-04-06,51608,46100,6433
2020-04-07,55242,48948,7471
2020-04-08,60733,53501,8505
2020-04-09,65077,56964,9608
2020-04-10,73758,64456,10760
2020-04-11,78991,68772,11599
2020-04-12,84279,73323,12285
2020-04-13,88621,76948,13029
2020-04-14,93873,81422,14073
2020-04-15,98476,85264,14915.0
2020-04-16,103093,89020,15944.0
2020-04-17,108692,93772,16879.0
2020-04-18,114217,98409,17994.0
2020-04-19,120067,103663,18492.0
2020-04-20,124743,107890,19051.0
2020-04-21,129044,111363,20223.0
2020-04-22,133495,115051,21060.0
2020-04-23,138078,118996,21787.0
2020-04-24,143464,123614,22792.0
2020-04-25,148377,127714,23635.0
2020-04-26,152840,131764,24055.0
2020-04-27,157149,135713,24393.0
2020-04-28,161145,139123,25302.0
2020-04-29,165221,138780,26097.0
2020-04-30,171253,144138,26771.0
2020-05-01,177454,149600,27510.0
2020-05-02,182260,153785,28131.0
2020-05-03,186599,157809,28446.0
2020-05-04,190584,161506,28734.0
2020-05-05,194990,165219,29427.0
2020-05-06,201101,170681,30076.0
2020-05-07,206715,175756,30615.0
2020-05-08,211364,179779,31241.0
2020-05-09,215260,183329,31587.0
2020-05-10,219183,186984,31855.0
2020-05-11,223060,190651,32065.0
2020-05-12,226463,193427,32692.0
2020-05-13,229705,196175,33186.0
2020-05-14,233151,0,33614.0
2020-05-15,236711,0,33998.0
2020-05-16,240161,0,34466.0
2020-05-17,243695,0,34636.0
2020-05-18,246406,0,34796.0
