date,cases,active,death
2020-02-25,1,0
2020-02-26,3,0
2020-02-27,4,0
2020-02-28,7,0
2020-02-29,10,0
2020-03-01,32,0
2020-03-06,45,0
2020-03-07,66,0
2020-03-08,73,0
2020-03-09,84,0
2020-03-10,90,0
2020-03-11,99,0
2020-03-12,133,0
2020-03-13,190,0
2020-03-14,228,0
2020-03-15,331,0
2020-03-16,352,0
2020-03-17,387,0
2020-03-18,418,0
2020-03-19,464,0
2020-03-20,495,0
2020-03-21,530,0
2020-03-22,624,0
2020-03-23,695,0
2020-03-24,743,0
2020-03-25,821,0
2020-03-26,892,0
2020-03-27,966,0
2020-03-28,1061,0
2020-03-29,1156,0
2020-03-30,1212,0
2020-03-31,1314,1231
2020-04-01,1375,1312
2020-04-02,1514,1430
2020-04-03,1613,1472
2020-04-04,1673,1527
2020-04-05,1735,1584
2020-04-06,1755,1407
2020-04-07,1832,1482
2020-04-08,1884,1532
2020-04-09,1955,1599
2020-04-10,2011,1650
2020-04-11,2081,1719
2020-04-12,2114,1747
2020-04-13,2145,1777
2020-04-14,2170,1800
2020-04-15,2192,1821,102.0
2020-04-16,2207,1833,105.0
2020-04-17,2224,1847,108.0
2020-04-18,2235,1856,110.0
2020-04-19,2236,1853,113.0
2020-04-20,2245,1552,116.0
2020-04-21,2401,1703,121.0
2020-04-22,2408,1710,121.0
2020-04-23,2463,1761,125.0
2020-04-24,2490,1783,130.0
2020-04-25,2506,1799,130.0
2020-04-26,2517,1806,134.0
2020-04-27,2534,1821,136.0
2020-04-28,2566,1851,138.0
2020-04-29,2576,1860,139.0
2020-04-30,2591,1077,140.0
2020-05-01,2612,1098,140.0
2020-05-02,2620,1103,143.0
2020-05-03,2626,1108,144.0
2020-05-04,2632,1112,146.0
2020-05-05,2642,1122,146.0
2020-05-06,2663,1142,147.0
2020-05-07,2678,1156,148.0
2020-05-08,2691,1167,150.0
2020-05-09,2710,1185,151.0
2020-05-10,2716,1191,151.0
2020-05-11,2726,1201,151.0
2020-05-12,2744,1218,152.0
2020-05-13,2760,1231,155.0
2020-05-14,2770,1240,156.0
2020-05-15,2810,1276,160.0
2020-05-16,2819,1283,162.0
2020-05-17,2834,1297,163.0
2020-05-18,2836,1297,165.0
2020-05-19,2840,1301,165.0
2020-05-20,2850,1310,166.0
2020-05-21,2853,1311,168.0
2020-05-22,2874,1331,169.0
2020-05-23,2876,1331,171.0
2020-05-24,2878,1333,171.0
2020-05-25,2882,1336,172.0
2020-05-26,2892,1345,173.0
2020-05-27,2903,1356,173.0
2020-05-28,2906,1357,175.0
2020-05-29,2909,1360,175.0
2020-05-30,2915,1366,175.0
2020-05-31,2917,1368,175.0
2020-06-01,2918,1365,179.0
2020-06-02,2937,1384,179.0
2020-06-03,2937.5,1384,179.0
2020-06-04,2952,1398,180.0
2020-06-05,2967,1413,180.0
2020-06-06,2980,1426,180.0
2020-06-07,2997,1443,180.0
2020-06-08,3049,1493,182.0
2020-06-09,3058,1501,183.0
2020-06-10,3068,1511,183.0
2020-06-11,3088,1531,183.0
2020-06-12,3108,1551,183.0
2020-06-13,3112,1555,183.0
2020-06-14,3121,1564,183.0
2020-06-15,3134,1576,184.0
2020-06-16,3148,1589,185.0
2020-06-17,3203,1642,187.0
2020-06-18,3227,1665,188.0
2020-06-19,3237,1674,189.0
2020-06-20,3256,1692,190.0
2020-06-21,3266,1702,190.0
2020-06-22,3287,1723,190.0
2020-06-23,3302,1738,190.0
2020-06-24,3310,1746,190.0
2020-06-25,3321,1756,191.0
2020-06-26,3343,1778,191.0
2020-06-27,3366,1801,191.0
2020-06-28,3376,1811,191.0
2020-06-29,3390,1825,191.0
2020-06-30,3409,1843,192.0
2020-07-01,3432,1866,192.0
2020-07-02,3458,1892,192.0
2020-07-03,3486,1920,192.0
2020-07-04,3511,1945,192.0
2020-07-05,3519,1953,192.0
2020-07-06,3562,1996,192.0
2020-07-07,3589,2022,193.0
2020-07-08,3622,2055,193.0
2020-07-09,3672,2105,193.0
2020-07-10,3732,2165,193.0
2020-07-11,3772,2205,193.0
2020-07-12,3803,2236,193.0
2020-07-13,3826,2259,193.0
2020-07-14,3883,2316,193.0
2020-07-15,3910,2343,193.0
2020-07-16,3939,2372,193.0
2020-07-17,3964,2396,194.0
2020-07-18,3983,2415,194.0
2020-07-19,4007,2439,194.0
2020-07-20,4012,2443,195.0
2020-07-21,4048,2477,197.0
2020-07-22,4077,2503,200.0
2020-07-23,4110,2535,201.0
2020-07-24,4135,2560,201.0
2020-07-25,4166,2591,201.0
2020-07-26,4193,2617,202.0
2020-07-27,4227,2651,202.0
2020-07-28,4279,2702,203.0
2020-07-29,4336,2759,203.0
2020-07-30,4401,2824,203.0
2020-07-31,4477,2897,206.0
2020-08-01,4587,3007,206.0
2020-08-02,4662,3080,208.0
2020-08-03,4737,3154,209.0
2020-08-04,4855,3272,209.0
2020-08-05,4974,3390,210.0
2020-08-06,5123,3539,210.0
2020-08-07,5270,3686,210.0
2020-08-08,5421,3836,211.0
2020-08-09,5623,1607,212.0
2020-08-10,5749,1732,213.0
2020-08-11,5942,1924,214.0
2020-08-12,6177,2157,216.0
2020-08-13,6381,2356,221.0
2020-08-14,6632,2605,223.0
2020-08-15,6858,2828,226.0
2020-08-16,7075,3043,228.0
2020-08-17,7222,3188,230.0
2020-08-18,7472,3436,232.0
2020-08-19,7684,3645,235.0
2020-08-20,7934,3895,235.0
2020-08-21,8138,4096,238.0
2020-08-22,8381,4337,240.0
2020-08-23,8664,4618,242.0
2020-08-24,8819,4773,242.0
2020-08-25,8987,4940,243.0
2020-08-26,9280,5228,248.0
2020-08-27,9531,5473,254.0
2020-08-28,9800,5737,259.0
2020-08-29,9977,5913,260.0
2020-08-30,10134,6068,262.0
2020-08-31,10317,6247,266.0
2020-09-01,10524,6449,271.0
2020-09-02,10757,6680,273.0
2020-09-03,10998,6916,278.0
2020-09-04,11200,7117,279.0
2020-09-05,11386,7302,280.0
2020-09-06,11524,7436,284.0
2020-09-07,11663,7570,289.0
2020-09-08,11832,7738,290.0
2020-09-09,12080,7983,293.0
2020-09-10,12452,8351,297.0
2020-09-11,12734,8630,300.0
2020-09-12,13036,8930,302.0
2020-09-13,13240,9131,305.0
2020-09-14,13420,9306,310.0
2020-09-15,13730,9613,313.0
2020-09-16,14041,9921,316.0
2020-09-17,14400,10271,325.0
2020-09-18,14738,10607,327.0
2020-09-19,14978,4658,331.0
2020-09-20,15142,4815,338.0
2020-09-21,15595,5262,344.0
2020-09-22,15928,5587,352.0
2020-09-23,16286,5940,357.0
2020-09-24,16627,6272,366.0
2020-09-25,16913,6555,369.0
2020-09-26,17228,6863,376.0
2020-09-27,17444,7076,379.0
2020-09-28,17707,7335,383.0
2020-09-29,18123,7746,388.0
2020-09-30,18475,8095,391.0
2020-10-01,18886,8504,393.0
2020-10-02,19346,8959,398.0
2020-10-03,19613,9219,405.0
2020-10-04,19842,9444,409.0
2020-10-05,20142,9736,417.0
2020-10-06,20541,10132,420.0
2020-10-07,20947,10534,424.0
2020-10-08,21381,10962,430.0
2020-10-09,21772,11352,431.0
2020-10-10,22078,11653,436.0
2020-10-11,22358,11920,449.0
2020-10-12,22652,12207,456.0
2020-10-13,23060,12609,462.0
2020-10-14,23495,13037,469.0
2020-10-15,23947,13476,482.0
2020-10-16,24450,13971,490.0
2020-10-17,24932,14443,500.0
2020-10-18,25370,14872,509.0
2020-10-19,25802,15293,520.0
2020-10-20,26469,15952,528.0
2020-10-21,27334,16811,534.0
2020-10-22,28216,17678,549.0
2020-10-23,29057,18509,559.0
2020-10-24,29992,19439,564.0
2020-10-25,30782,20219,574.0
2020-10-26,31496,20926,581.0
2020-10-27,32752,22170,593.0
2020-10-28,34299,23707,603.0
2020-10-29,35510,24906,615.0
2020-10-30,37196,26587,620.0
2020-10-31,39251,28636,626.0
2020-11-01,40929,30305,635.0
2020-11-02,42080,31449,642.0
2020-11-03,44246,33602,655.0
2020-11-04,46892,36230,673.0
2020-11-05,49807,39116,702.0
2020-11-06,52254,41550,715.0
2020-11-07,54809,44071,749.0
2020-11-08,56698,45925,784.0
2020-11-09,58187,47373,825.0
2020-11-10,60570,49715,866.0
2020-11-11,63321,52423,909.0
2020-11-12,66637,55689,959.0
2020-11-13,69675,58689,997.0
2020-11-14,72510,61486,1035.0
2020-11-15,74205,63110,1106.0
2020-11-16,76403,65249,1165.0
2020-11-17,78825,67608,1228.0
2020-11-18,82034,70757,1288.0
2020-11-19,85261,73925,1347.0
2020-11-20,87812,76404,1419.0
2020-11-21,90121,78605,1527.0
2020-11-22,91619,80000,1630.0
2020-11-23,93006,81303,1714.0
2020-11-24,95137,83333,1815.0
2020-11-25,97288,85397,1902.0
2020-11-26,99306,87316,2001.0
2020-11-27,101287,89196,2102.0
2020-11-28,103034,90822,2223.0
2020-11-29,104227,91917,2321.0
2020-11-30,105271,92876,2406.0
2020-12-01,107470,94964,2517.0
2020-12-02,109655,97060,2606.0
2020-12-03,111537,98842,2706.0
2020-12-04,113185,100392,2804.0
2020-12-05,114568,101677,2902.0
2020-12-06,115471,102479,3003.0
2020-12-07,116721,103640,3092.0
2020-12-08,118045,104862,3194.0
2020-12-09,119720,106442,3289.0
2020-12-10,121253,107894,3370.0
2020-12-11,122648,109187,3472.0
2020-12-12,123842,110313,3540.0
2020-12-13,124534,110920,3625.0
2020-12-14,125173,111497,3687.0
2020-12-15,126372,112598,3785.0
2020-12-16,127557,113698,3870.0
2020-12-17,128710,114773,3948.0
2020-12-18,129584,115551,4044.0
2020-12-19,130485,116394,4102.0
2020-12-20,131072,116911,4172.0
2020-12-21,131597,117351,4257.0
2020-12-22,132430,118101,4340.0
2020-12-23,133365,118974,4402.0
2020-12-24,134235,119789,4457.0
2020-12-25,134852,120356,4507.0
2020-12-26,135114,120572,4553.0
2020-12-27,135456,120861,4606.0
2020-12-28,135931,121270,4672.0
2020-12-29,136976,122257,4730.0
2020-12-30,137918,123141,4788.0
2020-12-31,138850,124023,4838.0
2021-01-01,139447,124577,4881.0
2021-01-02,139709,124799,4921.0
2021-01-03,140099,125153,4957.0
2021-01-04,140526,125526,5011.0
2021-01-05,141453,126413,5051.0
2021-01-06,142267,127179,5099.0
2021-01-07,142777,127642,5146.0
2021-01-08,143494,128310,5195.0
2021-01-09,144293,129077,5227.0
2021-01-10,144738,129486,5263.0
2021-01-11,145179,129888,5302.0
2021-01-12,146020,130702,5329.0
2021-01-13,146688,131345,5354.0
2021-01-14,147283,131907,5387.0
2021-01-15,147860,132450,5421.0
2021-01-16,148370,132940,5441.0
2021-01-17,148607,133149,5469.0
2021-01-18,148925,133448,5488.0
2021-01-19,149462,133955,5518.0
2021-01-20,149973,134439,5545.0
2021-01-21,150479,6161,5570.0
2021-01-22,151041,6303,5598.0
2021-01-23,151646,6467,5622.0
2021-01-24,151980,5960,5646.0
2021-01-25,152412,5724,5671.0
2021-01-26,153226,5943,5692.0
2021-01-27,154083,6223,5724.0
2021-01-28,154796,6426,5742.0
2021-01-29,155678,7071,5764.0
2021-01-30,156473,7548,5779.0
2021-01-31,156957,7495,5796.0
2021-02-01,157495,7522,5829.0
2021-02-02,158716,8237,5851.0
2021-02-03,159866,8825,5878.0
2021-02-04,160935,9289,5903.0
2021-02-05,162107,10127,5922.0
2021-02-06,163213,10801,5951.0
2021-02-07,163946,10720,5972.0
2021-02-08,164575,10492,5997.0
2021-02-09,166067,11271,6017.0
2021-02-10,167549,11871,6034.0
2021-02-11,168872,12399,6056.0
2021-02-12,170244,13287,6077.0
2021-02-13,171466,13971,6103.0
2021-02-14,172128,13412,6126.0
2021-02-15,172824,12958,6152.0
2021-02-16,173905,12970,6181.0
2021-02-17,174659,12552,6194.0
2021-02-18,176059,12846,6221.0
2021-02-19,177494,13548,6249.0
2021-02-20,178918,14343,6272.0
2021-02-21,179802,13735,6297.0
2021-02-22,180672,13099,6321.0
2021-02-23,182783,13889,6343.0
2021-02-24,184686,14414,6371.0
2021-02-25,186469,14964,6410.0
2021-02-26,188201,16044,6439.0
2021-02-27,189831,17645,6468.0
2021-02-28,191100,18878,6504.0
2021-03-01,192270,20018,6534.0
2021-03-02,194582,18500,6557.0
