date,cases,active,death
2020-03-12,2,,
2020-03-14,3,,
2020-03-16,6,,
2020-03-17,8,,
2020-03-18,9,,
2020-03-19,12,,
2020-03-20,24,,
2020-03-21,25,,
2020-03-22,26,,
2020-03-23,27,,
2020-03-24,30,,
2020-03-25,36,,
2020-03-26,52,,
2020-03-27,67,,
2020-03-28,95,,
2020-03-29,110,,
2020-03-30,139,,
2020-03-31,141,,
2020-04-01,172,,
2020-04-02,219,,
2020-04-03,222,,
2020-04-04,264,,
2020-04-05,268,,
2020-04-06,298,,
2020-04-07,305,,
2020-04-08,312,,
2020-04-09,343,,
2020-04-10,382,,
2020-04-11,392,,
2020-04-12,393,,
2020-04-13,397,,
2020-04-14,407,,
2020-04-15,419,,
2020-04-16,426,,
2020-04-17,442,,
2020-04-18,457,,
2020-04-19,472,,
2020-04-20,477,,
2020-04-21,494,,
2020-04-22,510,,
2020-04-23,519,,
2020-04-25,591,,
2020-04-26,627,,
2020-04-27,661,,
2020-04-28,693,,
2020-04-29,738,,
2020-04-30,771,,
2020-05-01,804,,
2020-05-02,899,,
2020-05-03,1010,,
2020-05-04,1055,,
2020-05-05,1178,,
2020-05-06,1270,,
2020-05-07,1461,,
2020-05-08,1685,,
2020-05-09,1771,,
2020-05-10,1830,,
2020-05-11,1972,,
2020-05-12,2006,,
2020-05-13,2080,,
2020-05-14,2255,,
2020-05-15,2318,,
2020-05-16,2460,,
2020-05-17,2565,,
2020-05-18,2646,,
2020-05-19,2798,,
2020-05-20,2955,,
2020-05-21,3100,,
2020-05-22,3204,,
2020-05-23,3477,,
2020-05-24,3743,,
2020-05-25,3950,,
2020-05-26,4189,,
2020-05-27,4401,,
2020-05-28,4640,,
2020-05-29,4752,,
2020-05-30,4886,,
2020-05-31,5094,,
2020-06-01,5202,,
2020-06-02,5362,,
2020-06-03,5527,,
2020-06-04,5690,,
2020-06-05,5880,,
2020-06-06,5971,,
2020-06-07,6155,,
2020-06-08,6327,,
2020-06-09,6450,,
2020-06-10,6935,,
2020-06-11,7360,,
2020-06-12,7669,,
2020-06-13,8132,,
2020-06-14,8455,,
2020-06-15,8858,,
2020-06-16,9178,,
2020-06-17,9656,,
2020-06-18,10299,,
2020-06-19,10739,,
2020-06-20,11258,,
2020-06-21,12250,,
2020-06-22,12769,,
2020-06-23,13356,,
2020-06-24,13943,,
2020-06-25,14571,,
2020-06-26,15366,,
2020-06-27,15994,,
2020-06-28,17007,,
2020-06-29,18082,,
2020-06-30,18818,,
2020-07-01,19558,,
2020-07-02,20262,,
2020-07-03,21120,,
2020-07-04,22116,,
2020-07-05,22921,,
2020-07-06,23943,,
2020-07-07,24665,,
2020-07-08,25428,,
2020-07-09,25978,,
2020-07-10,26384,,
2020-07-11,27053,,
2020-07-12,27583,,
2020-07-13,28090,,
2020-07-14,28579,,
2020-07-15,29106,,
2020-07-16,30036,,
2020-07-17,30867,,
2020-07-18,31745,,
2020-07-19,32793,,
2020-07-20,33835,,
2020-07-21,34611,,
2020-07-22,35345,,
2020-07-23,36102,,
2020-07-24,36902,,
2020-07-25,37559,,
2020-07-26,38438,,
2020-07-27,39276,,
2020-07-28,39741,,
