date,cases,active,death
2020-02-29,1,0,
2020-03-02,2,0,
2020-03-03,5,0,
2020-03-04,15,0,
2020-03-05,24,0,
2020-03-06,33,0,
2020-03-07,40,0,
2020-03-08,50,0,
2020-03-09,52,0,
2020-03-10,61,0,
2020-03-11,66,0,
2020-03-12,80,0,
2020-03-13,111,0,
2020-03-15,131,0,
2020-03-16,169,0,
2020-03-17,188,0,
2020-03-18,234,0,
2020-03-19,237,0,
2020-03-20,313,0,
2020-03-21,388,0,
2020-03-22,449,0,
2020-03-23,539,0,
2020-03-24,558,0,
2020-03-25,615,0,
2020-03-26,699,0,
2020-03-27,761,0,
2020-03-28,845,0,
2020-03-29,914,0,
2020-03-30,968,0,
2020-03-31,1031,0,
2020-04-01,1077,0,
2020-04-02,1158,0,
2020-04-03,1252,0,
2020-04-04,1295,0,
2020-04-05,1345,0,
2020-04-05,1411,1054,
2020-04-06,1483,1096,
2020-04-07,1506,1021,
2020-04-08,1534,977,
2020-04-09,1564,954,
2020-04-10,1590,917,
2020-04-11,1603,840,
2020-04-12,1615,804,
2020-04-13,1624,770,
2020-04-14,1633,723,
2020-04-15,1639,642,8
2020-04-16,1651,587,8.0001
2020-04-17,1665,521,9
2020-04-18,1671,460,9.0001
2020-04-19,1681,471,9.0002
2020-04-20,1683,401,10
2020-04-21,1688,351,10
2020-04-22,1695,313,10
2020-04-23,1698,270,10
2020-04-24,1699,237,10
2020-04-25,1699.5,210,10
2020-04-26,1701,174,10
2020-04-27,1702,158,10.01
2020-04-28,1704,149,10.02
2020-04-29,1706,131,10.03
2020-04-30,1706.5,117,10.04
2020-05-01,1707,99,10.05
2020-05-02,1707.5,82,10.06
2020-05-03,1708,72,10
2020-05-04,1708.5,66,10
2020-05-05,1709,56,10
2020-05-06,1709.5,39,10
2020-05-07,1710,36,10
2020-05-08,1710.2,26,10.01
2020-05-09,1710.4,18,10.02
2020-05-10,1710.6,18,10
2020-05-11,1710.8,18,10
2020-05-12,1710.9,15,10
2020-05-13,1711,12,10
2020-05-14,1711.1,12,10
2020-05-15,1711.2,10,10
2020-05-16,1711.3,6,10
2020-05-17,1711.4,6,10
2020-05-18,1711.5,6,10
2020-05-19,1711.6,3,10
2020-05-20,1712,4,10
2020-05-21,1712.2,3,10
2020-05-22,1712.4,2,10
2020-05-23,1713,3,10
2020-05-24,1713.2,3,10
2020-05-25,1713.4,3,10
2020-05-26,1713.6,2,10
2020-05-27,1714,3,10
2020-05-28,1714.3,3,10
2020-05-29,1714.6,1,10
2020-05-30,1715,2,10
2020-05-31,1715.1,2,10
2020-06-01,1715.2,2,10
2020-06-02,1715.3,2,10
2020-06-03,1715.4,2,10
2020-06-04,1715.5,2,10
2020-06-05,1715.6,2,10
2020-06-06,1715.7,2,10
2020-06-07,1715.8,3,10
2020-06-08,1716,3,10
2020-06-09,1716.2,3,10
2020-06-10,1716.4,3,10
2020-06-11,1716.5,3,10
2020-06-12,1716.7,3,10
2020-06-13,1716.9,4,10
2020-06-14,1718,4,10
2020-06-15,1719,4,10
2020-06-16,1720,6,10
2020-06-17,1723,8,10
2020-06-18,1724,5,10
2020-06-19,1727,8,10
2020-06-20,1730,7,10
2020-06-21,1731,8,10
2020-06-22,1731.5,8,10
2020-06-23,1732,8,10
2020-06-24,1732.5,8,10
2020-06-25,1737,9,10
2020-06-26,1739,9,10
2020-06-27,1743,12,10
2020-06-28,1745,12,10
2020-06-29,1747,12,10
2020-06-30,1749,13,10
2020-07-01,1753,14,10
2020-07-02,1756,12,10
2020-07-03,1761,13,10
2020-07-04,1766,17,10
2020-07-05,1769,20,10
2020-07-06,1771,16,10
2020-07-07,1778,16,10
2020-07-08,1785,20,10
2020-07-09,1787,18,10
2020-07-10,1790,17,10
2020-07-11,1792,18,10
2020-07-12,1800,21,10
2020-07-13,1804,19,10
2020-07-14,1809,13,10
2020-07-15,1814,16,10
2020-07-16,1817,12,10
2020-07-17,1819,11,10
2020-07-18,1825,10,10
2020-07-19,1832,13,10
2020-07-20,1836,13,10
2020-07-21,1841,8,10
2020-07-22,1842,8,10
2020-07-23,1843,8,10
2020-07-24,1845,10,10
2020-07-25,1845.5,10,10
2020-07-26,1848,14,10
2020-07-27,1855,21,10
2020-07-28,1858,24,10
2020-07-29,1862,28,10
2020-07-30,1872,39,10
2020-07-31,1885,50,10
2020-08-01,1893,58,10
2020-08-02,1907,72,10
2020-08-03,1915,80,10
2020-08-04,1918,83,10
2020-08-05,1926,91,10
2020-08-06,1930,95,10
2020-08-07,1952,109,10
2020-08-08,1955,112,10
2020-08-09,1958,114,10
2020-08-10,1962,114,10
2020-08-11,1968,114,10
2020-08-12,1972,115,10.0
2020-08-13,1976,114,10.0
2020-08-14,1983,112,10.0
2020-08-15,1999,119,10.0
2020-08-16,2011,121,10.0
2020-08-17,2014,116,10.0
2020-08-18,2027,122,10.0
2020-08-19,2035,122,10.0
2020-08-20,2040,117,10.0
2020-08-21,2050,120,10.0
2020-08-22,2058,112,10.0
2020-08-23,2064,115,10.0
2020-08-24,2073,117,10.0
2020-08-25,2077,114,10.0
2020-08-26,2082,115,10.0
2020-08-27,2087,113,10.0
2020-08-28,2092,118,10.0
2020-08-29,2100,111,10.0
2020-08-30,2105,105,10.0
2020-08-31,2107,100,10.0
2020-09-01,2116,99,10.0
2020-09-02,2121,95,10.0
2020-09-03,2128,95,10.0
