date,cases,active,death
2020-02-19,2,0
2020-02-20,5,0
2020-02-21,18,0
2020-02-22,29,0
2020-02-23,43,0
2020-02-24,61,0
2020-02-25,95,0
2020-02-26,139,0
2020-02-27,245,0
2020-02-28,388,0
2020-02-29,593,0
2020-03-01,978,0
2020-03-02,1501,0
2020-03-03,2336,0
2020-03-04,2922,0
2020-03-05,3513,0
2020-03-06,4747,0
2020-03-07,5823,0
2020-03-08,6566,0
2020-03-09,7161,0
2020-03-10,8042,0
2020-03-11,9000,0
2020-03-12,10075,0
2020-03-13,11364,0
2020-03-14,12729,0
2020-03-15,13938,0
2020-03-16,14991,0
2020-03-17,16169,0
2020-03-18,17361,0
2020-03-19,18407,0
2020-03-20,19644,0
2020-03-21,20610,0
2020-03-22,21638,0
2020-03-23,23049,0
2020-03-24,24811,0
2020-03-25,27017,0
2020-03-26,29406,0
2020-03-27,32332,18821
2020-03-28,35408,21212
2020-03-29,38309,23278
2020-03-30,41495,24827
2020-03-31,44605,27051
2020-04-01,47593,29084
2020-04-02,50468,30597
2020-04-03,53183,31954
2020-04-04,55743,32555
2020-04-05,58226,32612
2020-04-06,60500,32525
2020-04-07,62589,31678
2020-04-08,64586,30781
2020-04-09,66220,29801
2020-04-10,68192,28495
2020-04-11,70029,23725
2020-04-12,71686,23318
2020-04-13,73303,22735
2020-04-14,74877,22065
2020-04-15,76389,21679,4777.0
2020-04-16,77995,20897,4869.0
2020-04-17,79494,20472,4958.0
2020-04-18,80868,19850,5031.0
2020-04-19,82211,20070,5118.0
2020-04-20,83505,19023,5209.0
2020-04-21,84802,18540,5297.0
2020-04-22,85996,17492,5391.0
2020-04-23,87026,16702,5481.0
2020-04-24,88194,16021,5574.0
2020-04-25,89328,15485,5650.0
2020-04-26,90481,15114,5710.0
2020-04-27,91472,14733,5806.0
2020-04-28,92584,14268,5877.0
2020-04-29,93657,13909,5957.0
2020-04-30,94640,13509,6028.0
2020-05-01,95646,13237,6091.0
2020-05-02,96448,12942,6156.0
2020-05-03,97424,12799,6203.0
2020-05-04,98647,12991,6277.0
2020-05-05,99970,13155,6340.0
2020-05-06,101650,13645,6418.0
2020-05-07,103135,13905,6486.0
2020-05-08,104691,14313,6541.0
2020-05-09,106220,14567,6589.0
2020-05-10,107603,14820,6640.0
2020-05-11,109286,15179,6685.0
2020-05-12,110767,15677,6733.0
2020-05-13,112725,16514,6783.0
2020-05-14,114533,17140,6854.0
2020-05-15,116635,17897,6902.0
2020-05-16,118392,18308,6937.0
2020-05-17,120198,18746,6988.0
2020-05-18,122492,19774,7057.0
2020-05-19,124603,20311,7119.0
2020-05-20,126949,20958,7183.0
2020-05-21,129341,21528,7249.0
2020-05-22,131652,22076,7300.0
2020-05-23,133521,22090,7359.0
2020-05-24,135701,22483,7417.0
2020-05-25,137724,22560,7451.0
2020-05-26,139511,22566,7508.0
2020-05-27,141591,22851,7564.0
2020-05-28,143849,23234,7627.0
2020-05-29,146668,24060,7677.0
2020-05-30,148950,24389,7734.0
2020-05-31,151466,24821,7797.0
2020-06-01,154445,25563,7878.0
2020-06-02,157562,26543,7942.0
2020-06-03,160696,27478,8012.0
2020-06-04,164270,28714,8071.0
2020-06-05,167156,29281,8134.0
2020-06-06,169425,29178,8209.0
2020-06-07,171789,29159,8281.0
2020-06-08,173832,29121,8351.0
2020-06-09,175927,29045,8425.0
2020-06-10,177938,28842,8506.0
2020-06-11,180156,28909,8584.0
2020-06-12,182525,29217,8659.0
2020-06-13,184955,29477,8730.0
2020-06-14,187427,29916,8837.0
2020-06-15,189876,30336,8950.0
2020-06-16,192439,30699,9065.0
2020-06-17,195051,31054,9185.0
2020-06-18,197647,31384,9272.0
2020-06-19,200262,31678,9392.0
2020-06-20,202584,31693,9507.0
2020-06-21,204952,31738,9623.0
2020-06-22,207525,31356,9742.0
2020-06-23,209970,30947,9863.0
2020-06-24,212501,30409,9996.0
2020-06-25,215096,29863,10130.0
2020-06-26,217724,29633,10239.0
2020-06-27,220180,29155,10364.0
2020-06-28,222669,28851,10508.0
2020-06-29,225205,28355,10670.0
2020-06-30,227662,28087,10817.0
2020-07-01,230211,27766,10958.0
2020-07-02,232863,27659,11106.0
2020-07-03,235429,27723,11260.0
2020-07-04,237878,27521,11408.0
2020-07-05,240438,27537,11571.0
2020-07-06,243051,27237,11731.0
2020-07-07,245688,26757,11931.0
2020-07-08,248379,26832,12084.0
2020-07-09,250458,25977,12305.0
2020-07-10,252720,25258,12447.0
2020-07-11,255117,24816,12635.0
2020-07-12,257303,24481,12829.0
2020-07-13,259652,24081,13032.0
2020-07-14,262173,23692,13211.0
2020-07-15,264561,23590,13410.0
2020-07-16,267061,22845,13608.0
2020-07-17,269440,22776,13791.0
2020-07-18,271606,22327,13979.0
2020-07-19,273788,21812,14188.0
2020-07-20,276202,21710,14405.0
2020-07-21,278827,21842,14634.0
