date,cases,active,death
2020-02-22,1,0,0
2020-02-23,2,0,0
2020-02-24,2.01,0,0
2020-02-25,2.02,0,0
2020-02-26,2.03,0,0
2020-02-27,3,0,0
2020-02-28,7,0,0
2020-02-29,7.01,0,0
2020-03-01,10,0,0
2020-03-02,11,0,0
2020-03-03,12,0,0
2020-03-04,15,0,0
2020-03-05,17,0,0
2020-03-06,21,0,0
2020-03-07,25,0,0
2020-03-08,39,0,0
2020-03-09,50,0,0
2020-03-10,75,0,0
2020-03-11,97,0,0
2020-03-12,109,0,0
2020-03-13,143,0,0
2020-03-14,193,0,0
2020-03-15,213,0,0
2020-03-16,298,0,0
2020-03-17,337,0,0
2020-03-18,433,0,0
2020-03-19,677,0,0
2020-03-20,705,0,1
2020-03-21,883,0,1.01
2020-03-22,1071,0,1.02
2020-03-23,1442,0,1.03
2020-03-24,1930,0,3
2020-03-25,2369,0,5
2020-03-26,3035,0,8
2020-03-27,3460,3359,12.
2020-03-28,3865,3764,12.01
2020-03-29,4247,4100,15
2020-03-30,4831,4650,16
2020-03-31,5591,5346,20
2020-04-01,6092,5825,26
2020-04-02,6857,6483,36
2020-04-03,7428,6985,40
2020-04-04,8018,7545,44
2020-04-05,8611,8083,49
2020-04-06,8904,8262,57
2020-04-07,9248,8413,65
2020-04-08,9404,8530,73
2020-04-09,9968,8871,86
2020-04-10,10408,9130,95
2020-04-11,10743,9301,101
2020-04-12,11145,9415,103
2020-04-13,11586,9615,116
2020-04-14,12046,9728,123
2020-04-15,12501,9806,132
2020-04-16,12758,9798,142
2020-04-17,12982,9705,151
2020-04-18,13362,9627,171
2020-04-19,13491,9565,172
2020-04-20,13713,9487,177
2020-04-21,13942,9251,184
2020-04-22,14498,9094,189
2020-04-23,14803,9000,192
2020-04-24,15058,8861,194
2020-04-25,15298,8664,199
2020-04-26,15443,8511,201
2020-04-27,15589,8006,208
2020-04-28,15728,7772,210
2020-04-29,15834,7386,215
2020-04-30,15946,7163,222
2020-05-01,16101,6720,225.0
2020-05-02,16185,6363,229.0
2020-05-03,16208,6227,232.0
2020-05-04,16246,5947,235.0
2020-05-05,16289,5586,238.0
2020-05-06,16310,5434,239.0
2020-05-07,16381,5268,240.0
2020-05-08,16436,4962,245.0
2020-05-09,16454,4831,247.0
2020-05-10,16477,4795,252.0
2020-05-11,16506,4405,258.0
2020-05-12,16529,4186,260.0
2020-05-13,16548,4052,264.0
2020-05-14,16579,3793,265.0
2020-05-15,16589,3736,266.0
2020-05-16,16608,3485,268.0
2020-05-17,16617,3403,272.0
2020-05-18,16643,3114,276.0
2020-05-19,16659,2946,278.0
2020-05-20,16667,2884,279.0
2020-05-21,16683,2680,279.0
2020-05-22,16690,2496,279.0
2020-05-23,16712,2343,279.0
2020-05-24,16717,2285,279.0
2020-05-25,16734,2146,281.0
2020-05-26,16757,2019,281.0
2020-05-27,16793,1942,281.0
2020-05-28,16872,1909,284.0
