date,cases
2020-02-15,19
2020-02-16,20
2020-02-17,20
2020-02-18,19
2020-02-19,42
2020-02-20,94
2020-02-21,190
2020-02-22,416
2020-02-23,578
2020-02-24,803
2020-02-25,944
2020-02-26,1225
2020-02-27,1729
2020-02-28,2297
2020-02-29,3109
2020-03-01,3685
2020-03-02,4277
2020-03-03,5120
2020-03-04,5498
2020-03-05,6107
2020-03-06,6415
2020-03-07,6875
2020-03-08,7097
2020-03-09,7178
2020-03-10,7165
2020-03-11,7362
2020-03-12,7293
2020-03-13,7198
2020-03-14,7180
2020-03-15,7253
2020-03-16,7024
2020-03-17,6838
2020-03-18,6789
2020-03-19,6527
2020-03-20,6325
2020-03-21,6085
2020-03-22,5884
2020-03-23,5684
2020-03-24,5410
2020-03-25,5281
2020-03-26,4966
