date,cases,active,death
2020-03-14,5,,
2020-03-15,8,,
2020-03-16,10,,
2020-03-17,32,,
2020-03-18,36,,
2020-03-19,48,,
2020-03-20,52,,
2020-03-21,55,,
2020-03-22,59,,
2020-03-23,61,,
2020-03-24,77,,
2020-03-25,86,,
2020-03-26,118,,
2020-03-27,190,,
2020-03-28,225,,
2020-03-29,280,,
2020-03-30,320,,
2020-03-31,335,,
2020-04-01,343,,
2020-04-02,380,,
2020-04-03,453,,
2020-04-04,523,,
2020-04-06,661,,
2020-04-07,694,,
2020-04-08,748,,
2020-04-09,791,,
2020-04-10,828,,
2020-04-11,868,,
2020-04-12,948,,
2020-04-13,1163,,
2020-04-14,1250,,
2020-04-15,1313,,
2020-04-16,1450,,
2020-04-17,1569,,
2020-04-18,1631,,
2020-04-19,1711,,
2020-04-20,1922,,
2020-04-21,1997,,
2020-04-22,2161,,
2020-04-23,2302,,
2020-04-24,2448,,
2020-04-25,2616,,
2020-04-26,2680,,
2020-04-27,2821,,
2020-04-28,3022,,
2020-04-29,3162,,
2020-04-30,3457,,
2020-05-01,3621,,
2020-05-02,3825,,
2020-05-03,3911,,
2020-05-04,4065,,
2020-05-05,4219,,
2020-05-06,4441,,
2020-05-07,4627,,
2020-05-08,4769,,
2020-05-09,4968,,
2020-05-10,5057,,
2020-05-11,5170,,
2020-05-12,5344,,
2020-05-13,5496,,
2020-05-14,5771,,
2020-05-16,6074,,
2020-05-17,6353,,
2020-05-18,6660,,
2020-05-19,6875,,
2020-05-20,7137,,
2020-05-21,7495,,
2020-05-22,7813,,
2020-05-23,8210,,
2020-05-24,8417,,
2020-05-25,8849,,
2020-05-26,9179,,
2020-05-27,9448,,
2020-05-28,9799,,
2020-05-29,10243,,
2020-05-30,10712,,
2020-05-31,11156,,
2020-06-01,11416,,
2020-06-02,11638,,
2020-06-03,11905,,
2020-06-04,12147,,
2020-06-05,12343,,
2020-06-06,12524,,
2020-06-07,12687,,
2020-06-08,12899,,
2020-06-09,13141,,
2020-06-10,13376,,
2020-06-11,13686,,
2020-06-12,14047,,
2020-06-13,14302,,
2020-06-14,14611,,
2020-06-15,14989,,
2020-06-16,15334,,
2020-06-17,15664,,
2020-06-18,16132,,
2020-06-19,16554,,
2020-06-20,16994,,
2020-06-21,17495,,
2020-06-22,17987,,
2020-06-23,18514,,
2020-06-24,19027,,
2020-06-25,19486,,
2020-06-26,20047,,
2020-06-27,20502,,
2020-06-28,21042,,
2020-06-29,21527,,
2020-06-30,40516,,
2020-07-01,42005,,
2020-07-02,43486,,
2020-07-03,45108,,
2020-07-04,46541,,
2020-07-05,47925,,
2020-07-06,49019,,
2020-07-07,50377,,
2020-07-08,52312,,
2020-07-09,54015,,
2020-07-10,55701,,
2020-07-11,57475,,
2020-07-12,59089,,
2020-07-13,60930,,
2020-07-14,62665,,
2020-07-15,64317,,
2020-07-16,66001,,
2020-07-17,67785,,
2020-07-18,69399,,
2020-07-19,70878,,
2020-07-20,72486,,
2020-07-21,74149,,
2020-07-22,75773,,
2020-07-23,77437,,
2020-07-24,79154,,
2020-07-25,80628,,
2020-07-26,82011,,
2020-07-27,83517,,
2020-07-28,85040,,
2020-07-29,86493,,
2020-07-30,87888,,
2020-07-31,89160,,
2020-08-01,95481,,
2020-08-02,97323,,
2020-08-03,98738,,
2020-08-04,101561,,
2020-08-05,104116,,
2020-08-06,106488,,
2020-08-07,108470,,
2020-08-08,110328,,
2020-08-09,111216,,
2020-08-10,111985,,
2020-08-11,114070,,
2020-08-12,115540,,
2020-08-13,116931,,
2020-08-14,118181,,
2020-08-15,119542,,
2020-08-16,120014,,
2020-08-17,120344,,
2020-08-18,121677,,
2020-08-19,122695,,
2020-08-20,123661,,
2020-08-21,124557,,
2020-08-22,125504,,
2020-08-23,125759,,
2020-08-24,125959,,
2020-08-27,126900,,
2020-08-28,128303,,
2020-08-29,128927,,
2020-08-30,129838,,
2020-09-01,129936,,
2020-09-02,130586,,
2020-09-03,131148,,
2020-09-04,131251,,
2020-09-05,132135,,
2020-09-06,132331,,
2020-09-07,132410,,
2020-09-08,132926,,
2020-09-09,133353,,
2020-09-10,133778,,
2020-09-11,134148,,
2020-09-12,134562,,
2020-09-13,134689,,
2020-09-14,134761,,
2020-09-15,135227,,
2020-09-16,135558,,
2020-09-17,135873,,
2020-09-18,136169,,
2020-09-19,136500,,
2020-09-20,136605,,
2020-09-21,136691,,
2020-09-22,137125,,
2020-09-23,137428,,
2020-09-24,137716,,
2020-09-25,138013,,
2020-09-26,138302,,
2020-09-27,138391,,
2020-09-28,138458,,
2020-09-29,138827,,
2020-09-30,139075,,
2020-10-01,139369,,
2020-10-02,139594,,
2020-10-03,139854,,
2020-10-04,139949,,
2020-10-05,140008,,
2020-10-06,140339,,
2020-10-07,140692,,
2020-10-08,141035,,
2020-10-09,141366,,
2020-10-10,141713,,
2020-10-11,141820,,
2020-10-12,141893,,
2020-10-13,142291,,
2020-10-14,142400,,
2020-10-15,142827,,
2020-10-16,143082,,
2020-10-17,143379,,
2020-10-18,143530,,
2020-10-19,143658,,
2020-10-20,144016,,
2020-10-21,144334,,
2020-10-22,144694,,
2020-10-23,145019,,
2020-10-24,145329,,
2020-10-25,145493,,
2020-10-26,145643,,
2020-10-27,146059,,
2020-10-28,146496,,
2020-10-29,147075,,
2020-10-30,147699,,
2020-10-31,148371,,
2020-11-01,148848,,
2020-11-02,149300,,
2020-11-03,149991,,
2020-11-04,150685,,
2020-11-05,151496,,
2020-11-06,152260,,
2020-11-07,153147,,
2020-11-08,153794,,
2020-11-09,154361,,
2020-11-10,155160,,
2020-11-11,155925,,
2020-11-12,156731,,
2020-11-13,157622,,
2020-11-14,158467,,
2020-11-15,159094,,
2020-11-16,159711,,
2020-11-17,160648,,
2020-11-18,161599,,
2020-11-19,162535,,
2020-11-20,163498,,
