date,cases,active,death
2020-03-07,3,0
2020-03-08,3.01,0
2020-03-09,5,0
2020-03-10,5.01,0
2020-03-11,7,0
2020-03-12,7.01,0
2020-03-13,26,0
2020-03-14,38,0
2020-03-15,77,0
2020-03-16,81,0
2020-03-17,140,0
2020-03-18,210,0
2020-03-19,345,0
2020-03-20,484,0
2020-03-21,670,0
2020-03-22,798,0
2020-03-23,875,0
2020-03-24,1099,0
2020-03-25,1333,0
2020-03-26,1453,0
2020-03-27,1605,0
2020-03-28,1831,0
2020-03-29,1950,0
2020-03-30,1988,0
2020-03-31,2178,0
2020-04-01,2319,0
2020-04-02,2487,0
2020-04-03,2612,0
2020-04-04,2729,0
2020-04-05,2804,2268
2020-04-06,2843,2302
2020-04-07,2970,2426
2020-04-08,3034,2488
2020-04-09,3115,2563
2020-04-10,3223,2669
2020-04-11,3270,2708
2020-04-12,3281,2715
2020-04-13,3292,2723
2020-04-14,3307,2740
2020-04-15,3373,2778,69.0
2020-04-16,3444,2823,69.0
2020-04-17,3480,2829,72.0
2020-04-18,3537,2864,72.0
2020-04-19,3550,2850,73.0
2020-04-20,3558,2846,75.0
2020-04-21,3618,2870,78.0
2020-04-22,3654,2863,80.0
2020-04-23,3665,2854,83.0
2020-04-24,3695,603,85.0
2020-04-25,3711,538,85.0
2020-04-26,3723,531,88.0
2020-04-27,3729,518,88.0
2020-04-28,3741,529,89.0
2020-04-29,3769,546,89.0
2020-04-30,3784,481,90.0
2020-05-01,3802,497,92.0
2020-05-02,3812,402,92.0
2020-05-03,3824,349,96.0
2020-05-04,3828,327,96.0
2020-05-05,3840,332,96.0
2020-05-06,3851,301,98.0
2020-05-07,3859,254,100.0
2020-05-08,3871,245,100.0
2020-05-09,3877,226,101.0
2020-05-10,3886,199,101.0
2020-05-11,3888,185,101.0
2020-05-12,3894,182,102.0
2020-05-13,3904,172,103.0
2020-05-14,3915,147,103.0
2020-05-15,3923,137,104.0
2020-05-16,3930,127,104.0
2020-05-17,3945,136,107.0
2020-05-18,3947,125,107.0
2020-05-19,3958,131,109.0
2020-05-20,3971,134,109.0
2020-05-21,3980,130,109.0
2020-05-22,3981,124,109.0
2020-05-23,3990,123,109.0
2020-05-24,3992,115,110.0
2020-05-25,3993,102,110.0
2020-05-26,3995,102,110.0
2020-05-27,4001,100,110.0
2020-05-28,4008,95,110.0
2020-05-29,4012,87,110.0
2020-05-30,4016,91,110.0
2020-05-31,4018,75,110.0
2020-06-01,4019,64,110.0
2020-06-02,4020,62,110.0
2020-06-03,4024,53,110.0
2020-06-04,4027,43,110.0
2020-06-05,4032,37,110.0
2020-06-06,4035,37,110.0
2020-06-07,4039,30,110.0
2020-06-08,4040,29,110.0
2020-06-09,4046,34,110.0
2020-06-10,4049,35,110.0
2020-06-11,4052,32,110.0
2020-06-12,4055,27,110.0
2020-06-13,4063,31,110.0
2020-06-14,4070,31,110.0
2020-06-15,4072,31,110.0
2020-06-16,4075,32,110.0
2020-06-17,4085,40,110.0
2020-06-18,4091,41,110.0
2020-06-19,4099,45,110.0
2020-06-20,4105,44,110.0
2020-06-21,4120,54,110.0
2020-06-22,4121,52,110.0
2020-06-23,4133,64,110.0
2020-06-24,4140,65,110.0
2020-06-25,4151,73,110.0
2020-06-26,4173,95,110.0
2020-06-27,4217,129,110.0
2020-06-28,4242,154,110.0
2020-06-29,4256,149,110.0
2020-06-30,4299,191,110.0
2020-07-01,4345,232,110.0
2020-07-02,4395,273,110.0
2020-07-03,4447,321,110.0
2020-07-04,4476,350,110.0
2020-07-05,4522,396,110.0
2020-07-06,4542,416,110.0
2020-07-07,4603,437,110.0
2020-07-08,4650,484,110.0
2020-07-09,4719,553,110.0
2020-07-10,4777,581,110.0
2020-07-11,4842,646,110.0
2020-07-12,4925,728,111.0
2020-07-13,4956,662,111.0
2020-07-14,5056,750,111.0
2020-07-15,5122,764,111.0
2020-07-16,5285,899,111.0
2020-07-17,5409,965,111.0
2020-07-18,5483,1039,111.0
2020-07-19,5605,1161,111.0
2020-07-20,5639,1064,111.0
2020-07-21,5725,1135,111.0
2020-07-22,5854,1213,111.0
2020-07-23,5952,1249,112.0
2020-07-24,6056,1297,112.0
2020-07-25,6189,1430,112.0
2020-07-26,6272,1513,112.0
2020-07-27,6321,1384,112.0
2020-07-28,6375,1407,113.0
2020-07-29,6533,1460,114.0
2020-07-30,6616,1475,114.0
