date,cases,active,death
2020-02-27,2,0
2020-02-28,5,0
2020-02-29,5.01,0
2020-03-01,7,0
2020-03-02,7.01,0
2020-03-03,14,0
2020-03-04,28,0
2020-03-05,33,0
2020-03-06,60,0
2020-03-07,70,0
2020-03-08,75,0
2020-03-09,93,0
2020-03-10,93.01,0
2020-03-11,123,0
2020-03-12,132,0
2020-03-13,165,0
2020-03-14,203,0
2020-03-15,386,0
2020-03-16,524,0
2020-03-17,622,0
2020-03-18,728,0
2020-03-19,823,0
2020-03-20,940,0
2020-03-21,1061,0
2020-03-22,1157,0
2020-03-23,1345,0
2020-03-24,1425,0
2020-03-25,1577,0
2020-03-26,1793,0
2020-03-27,1876,0
2020-03-28,1973,0
2020-03-29,2047,0
2020-03-30,2110,0
2020-03-31,2186,0
2020-04-01,2908,2218
2020-04-02,3116,2299
2020-04-03,3333,2453
2020-04-04,3483,2511
2020-04-05,3662,2596
2020-04-06,3793,2490
2020-04-07,3963,2579
2020-04-08,4119,2567
2020-04-09,4228,2553
2020-04-10,4346,2446
2020-04-11,4530,2462
2020-04-12,4683,2499
2020-04-13,4817,2464
2020-04-14,4987,2427
2020-04-15,5072,2342,83.0
2020-04-16,5182,2332,84.0
2020-04-17,5251,2198,86.0
2020-04-18,5305,2115,88.0
2020-04-19,5389,2103,89.0
2020-04-20,5425,2041,89.0
2020-04-21,5482,2041,92.0
2020-04-22,5532,1987,93.0
2020-04-23,5603,1966,95.0
2020-04-24,5691,1932,96.0
2020-04-25,5742,1882,98.0
2020-04-26,5780,1820,98.0
2020-04-27,5820,1764,99.0
2020-04-28,5851,1719,100.0
2020-04-29,5945,1758,100.0
2020-04-30,6002,1729,102.0
2020-05-01,6071,1758,103.0
2020-05-02,6176,1747,103.0
2020-05-03,6298,1780,105.0
2020-05-04,6353,1764,105.0
2020-05-05,6383,1710,106.0
2020-05-06,6428,1619,107.0
2020-05-07,6467,1584,107.0
2020-05-08,6535,1564,107.0
2020-05-09,6589,1552,108.0
2020-05-10,6656,1523,108.0
2020-05-11,6726,1504,109.0
2020-05-12,6742,1410,109.0
2020-05-13,6779,1387,111.0
2020-05-14,6819,1356,112.0
2020-05-15,6855,1304,112.0
2020-05-16,6872,1247,113.0
2020-05-17,6894,1210,113.0
2020-05-18,6941,1213,113.0
2020-05-19,6978,1218,114.0
2020-05-20,7009,1189,114.0
2020-05-21,7059,1149,114.0
2020-05-22,7137,1163,115.0
2020-05-23,7185,1158,115.0
2020-05-24,7245,1185,115.0
2020-05-25,7417,1323,115.0
2020-05-26,7604,1448,115.0
2020-05-27,7619,1421,115.0
2020-05-28,7629,1345,115.0
2020-05-29,7732,1382,115.0
2020-05-30,7762,1317,115.0
2020-05-31,7819,1351,115.0
2020-06-01,7857,1338,115.0
2020-06-02,7877,1292,115.0
2020-06-03,7970,1324,115.0
2020-06-04,8247,1573,115.0
2020-06-05,8266,1540,116.0
2020-06-06,8303,1551,117.0
2020-06-07,8322,1531,117.0
2020-06-08,8329,1518,117.0
2020-06-09,8336,1244,117.0
2020-06-10,8338,1206,118.0
2020-06-11,8369,1186,118.0
2020-06-12,8402,1115,119.0
2020-06-13,8445,1014,120.0
2020-06-14,8453,986,121.0
2020-06-15,8494,973,121.0
2020-06-16,8505,651,121.0
2020-06-17,8515,521,121.0
2020-06-18,8529,408,121.0
2020-06-19,8535,344,121.0
2020-06-20,8556,289,121.0
2020-06-21,8572,295,121.0
2020-06-22,8587,289,121.0
2020-06-23,8590,283,121.0
2020-06-24,8596,244,121.0
2020-06-25,8600,208,121.0
2020-06-26,8606,191,121.0
2020-06-27,8616,187,121.0
2020-06-28,8634,195,121.0
2020-06-29,8637,182,121.0
2020-06-30,8639,164,121.0
2020-07-01,8640,144,121.0
2020-07-02,8643,85,121.0
2020-07-03,8648,81,121.0
2020-07-04,8658,76,121.0
2020-07-05,8668,71,121.0
2020-07-06,8674,72,121.0
2020-07-07,8674.5,72,121.0
2020-07-08,8677,70,121.0
2020-07-09,8683,63,121.0
2020-07-10,8696,64,121.0
2020-07-11,8704,67,122.0
2020-07-12,8718,77,122.0
2020-07-13,8725,83,122.0
2020-07-14,8729,83,122.0
2020-07-15,8734,86,122.0
2020-07-16,8737,77,122.0
2020-07-17,8755,92,122.0
2020-07-18,8764,96,122.0
2020-07-19,8779,103,123.0
2020-07-20,8800,122,123.0
2020-07-21,8815,130,123.0
2020-07-22,8831,142,123.0
2020-07-23,8840,143,123.0
2020-07-24,8861,161,123.0
2020-07-25,8884,167,123.0
2020-07-26,8897,173,124.0
2020-07-27,8904,179,124.0
2020-07-28,8943,212,124.0
2020-07-29,8964,223,124.0
2020-07-30,8976,207,125.0
2020-07-31,8985,213,125.0
2020-08-01,8999,210,125.0
2020-08-02,9001,208,125.0
2020-08-03,9002,193,125.0
2020-08-04,9023,196,125.0
2020-08-05,9038,200,125.0
2020-08-06,9063,210,125.0
2020-08-07,9070,170,125.0
2020-08-08,9083,174,125.0
2020-08-09,9094,166,125.0
2020-08-10,9103,169,125.0
2020-08-11,9114,172,125.0
2020-08-12,9129,183,125.0
2020-08-13,9149,196,125.0
2020-08-14,9175,219,125.0
2020-08-15,9200,216,125.0
2020-08-16,9212,211,125.0
2020-08-17,9219,192,125.0
2020-08-18,9235,185,125.0
2020-08-19,9240,183,125.0
2020-08-20,9249,179,125.0
2020-08-21,9249.5,179,125.0
2020-08-22,9257,183,125.0
2020-08-23,9267,183,125.0
2020-08-24,9274,184,125.0
2020-08-25,9285,189,125.0
2020-08-26,9291,188,125.0
2020-08-27,9296,177,125.0
2020-08-28,9306,151,125.0
2020-08-29,9334,160,126.0
2020-08-30,9340,159,127.0
2020-08-31,9340.5,159,127.0
2020-09-01,9354,151,128.0
2020-09-02,9374,163,128.0
2020-09-03,9385,165,128.0
2020-09-04,9385.5,165,128.0
2020-09-05,9397,154,128.0
2020-09-06,9397.5,154,128.0
2020-09-07,9459,207,128.0
2020-09-08,9559,295,128.0
2020-09-09,9583,312,128.0
2020-09-10,9628,333,128.0
2020-09-11,9810,501,128.0
2020-09-12,9868,551,128.0
2020-09-13,9915,591,128.0
2020-09-14,9946,615,128.0
2020-09-15,9969,632,128.0
2020-09-16,10031,668,128.0
2020-09-17,10052,674,128.0
2020-09-18,10147,754,129.0
2020-09-19,10219,734,130.0
2020-09-20,10276,751,130.0
2020-09-21,10358,665,130.0
2020-09-22,10358.5,665,130.0
2020-09-23,10505,770,133.0
2020-09-24,10576,777,133.0
2020-09-25,10687,858,133.0
2020-09-26,10769,851,133.0
2020-09-27,10919,950,134.0
2020-09-28,11034,1011,134.0
2020-09-29,11135,1062,134.0
2020-09-30,11224,1121,136.0
2020-10-01,11484,1334,136.0
2020-10-02,11771,1540,136.0
2020-10-03,12381,1961,137.0
2020-10-04,12813,2336,137.0
2020-10-05,13504,2936,141.0
2020-10-06,13993,3351,141.0
2020-10-07,14368,3703,146.0
2020-10-08,14543,3703,146.0
2020-10-09,14722,3863,152.0
2020-10-10,15096,4161,155.0
2020-10-11,15657,4587,157.0
2020-10-12,16220,5039,159.0
2020-10-13,16880,5345,163.0
2020-10-14,17540,5768,167.0
2020-10-15,18129,5945,170.0
2020-10-16,18758,6323,176.0
2020-10-17,19627,6886,180.0
2020-10-18,20498,7049,187.0
2020-10-19,21363,7456,190.0
2020-10-20,22225,7681,193.0
2020-10-21,22957,7827,199.0
2020-10-22,23804,8183,204.0
2020-10-23,24514,8416,214.0
2020-10-24,26565,9202,229.0
2020-10-25,27805,9744,236.0
2020-10-26,28640,9903,238.0
2020-10-27,29441,10123,246.0
2020-10-28,30090,10087,246.0
2020-10-29,30889,10392,249.0
2020-10-30,31548,10051,249.0
2020-10-31,32505,10036,249.0
2020-11-01,33339,9968,251.0
2020-11-02,34393,10135,263.0
2020-11-03,35425,10339,271.0
2020-11-04,36434,10503,277.0
2020-11-05,37301,10503,277.0
2020-11-06,38189,11530,279.0
2020-11-07,39357,11666,282.0
2020-11-08,40209,11689,286.0
2020-11-09,41181,11308,294.0
2020-11-10,42050,11446,300.0
2020-11-11,42872,11497,302.0
2020-11-12,43791,11419,303.0
2020-11-13,45095,11822,304.0
2020-11-14,46209,12131,306.0
2020-11-15,47417,12323,309.0
2020-11-16,48520,12601,313.0
2020-11-17,50390,12814,322.0
2020-11-18,51030,12814,322.0
2020-11-19,51680,13222,326.0
2020-11-20,52638,13221,329.0
2020-11-21,53679,12854,332.0
2020-11-22,54775,12843,335.0
2020-11-23,56659,13842,337.0
