date,cases,active,death
2020-03-08,3,0
2020-03-04,4,0
2020-03-10,5,0
2020-03-11,7,0
2020-03-12,9,0
2020-03-13,12,0
2020-03-14,18,0
2020-03-15,21,0
2020-03-16,30,0
2020-03-17,38,0
2020-03-18,48,0
2020-03-19,53,0
2020-03-20,64,0
2020-03-21,73,0
2020-03-22,90,0
2020-03-23,107,0
2020-03-24,110,0
2020-03-25,129,0
2020-03-26,134,0
2020-03-27,139,0
2020-03-28,149,0
2020-03-29,151,0
2020-03-30,156,0
2020-03-31,169,0
2020-04-01,188,0
2020-04-02,196,0
2020-04-03,202,0
2020-04-04,213,0
2020-04-05,227,222
2020-04-06,241,236
2020-04-07,293,288
2020-04-08,299,282
2020-04-09,337,319
2020-04-10,350,332
2020-04-11,370,351
2020-04-12,378,331
2020-04-13,384,337
2020-04-14,393,346
2020-04-15,399,314,3.0
2020-04-16,412,327,3.0
2020-04-17,422,328,3.0
2020-04-18,426,324,3.0
2020-04-19,427,306,3.0
2020-04-20,431,302,3.0
2020-04-21,443,290,3.0
2020-04-22,444,276,3.0
2020-04-23,445,238,3.0
2020-04-24,447,220,4.0
2020-04-25,448,195,4.0
2020-04-26,448.1,162,4.0
2020-04-27,450,160,4.0
2020-04-28,458,151,4.0
2020-04-29,463,120,4.0
2020-04-30,465,110,4.0
2020-05-01,467,80,4.0
2020-05-02,468,85,4.0
2020-05-03,477,81,4.0
2020-05-04,480,77,4.0
2020-05-05,482,74,5.0
2020-05-06,484,72,5.0
2020-05-07,486,68,5.0
2020-05-08,489,65,5.0
2020-05-09,490,58,5.0
2020-05-10,496,58,5.0
2020-05-11,503,64,5.0
2020-05-12,506,67,5.0
2020-05-13,508,66,6.0
2020-05-14,522,73,6.0
2020-05-15,532,68,6.0
2020-05-16,546,90,6.0
2020-05-17,553,93,6.0
2020-05-18,558,96,6.0
2020-05-19,569,103,6.0
2020-05-20,584,113,6.0
2020-05-21,599,125,6.0
2020-05-22,600,125,6.0
2020-05-23,609,130,6.0
2020-05-24,610,128,6.0
2020-05-25,611,120,6.0
2020-05-26,611.5,120,6.0
2020-05-27,612,114,7.0
2020-05-28,616,108,7.0
2020-05-29,616.5,93,9.0
2020-05-30,618,84,9.0
2020-05-31,618.5,75,9.0
2020-06-01,619,73,9.0
2020-06-02,620,57,9.0
2020-06-03,622,51,9.0
2020-06-04,622.5,37,9.0
2020-06-05,625,33,9.0
2020-06-06,627,22,9.0
2020-06-07,629,24,9.0
2020-06-08,630,25,9.0
2020-06-09,632,26,9.0
2020-06-10,635,29,9.0
2020-06-11,640,31,9.0
2020-06-12,645,36,9.0
2020-06-13,646,36,9.0
2020-06-14,649,37,9.0
2020-06-15,650,38,9.0
2020-06-16,656,39,9.0
2020-06-17,662,43,9.0
2020-06-18,663,44,9.0
2020-06-19,663.5,41,9.0
2020-06-20,664,39,9.0
2020-06-21,665,40,9.0
2020-06-22,665.1,39,9.0
2020-06-23,665.2,38,9.0
2020-06-24,665.3,32,9.0
2020-06-25,668,32,9.0
2020-06-26,670,29,9.0
2020-06-27,670.1,26,9.0
2020-06-28,670.2,25,9.0
2020-06-29,670.3,22,9.0
2020-06-30,670.4,21,9.0
2020-07-01,671,15,9.0
2020-07-02,671.1,13,9.0
2020-07-03,672,13,9.0
2020-07-04,672.1,12,9.0
2020-07-05,672.2,11,9.0
2020-07-06,672.3,11,9.0
2020-07-07,673,11,9.0
2020-07-08,673.5,10,9.0
2020-07-09,674,9,9.0
2020-07-10,674,7,9.0
2020-07-11,674,7,9.0
2020-07-12,674,5,9.0
