date,cases,active,death,tests,casesA
2020-02-26,1,0,0,0,0
2020-02-27,4,0,0,0,3
2020-02-28,6,0,0,0,5
2020-02-29,15,0,0,0,14
2020-03-01,19,0,0,0,18
2020-03-02,25,0,0,0,24
2020-03-03,33,0,0,0,31
2020-03-04,59,0,0,0,57
2020-03-05,94,0,0,0,90
2020-03-06,127,0,0,0,122
2020-03-07,156,0,0,0,151
2020-03-08,176,0,1.0001,0,170
2020-03-09,227,0,1.0002,0,219
2020-03-10,400,0,1.0003,0,387
2020-03-11,629,0,1.0004,0,608
2020-03-12,800,0,2,0,774
2020-03-13,996,0,4,0,964
2020-03-14,1109,0,4.0001,0,1073
2020-03-15,1256,0,5,0,1215
2020-03-16,1348,0,7,0,1304
2020-03-17,1471,0,7.0001,0,1423
2020-03-18,1591,0,7.0002,0,1540
2020-03-19,1790,0,8,0,1732
2020-03-20,1959,0,8.0001,0,1896
2020-03-21,2164,0,9,0,2094
2020-03-22,2385,0,9.0001,0,2308
2020-03-23,2625,0,11,0,2540
2020-03-24,2866,0,13,0,2774
2020-03-25,3084,0,15,0,2985
2020-03-26,3372,0,15.0001,0,3263
2020-03-27,3771,3745,15.0002,0,3650
2020-03-28,4032,4002,16,0,3902
2020-03-29,4284,4251,22,0,4146
2020-03-30,4464,4420,23,0,4320
2020-03-31,4643,4591,23.0001,0,4494
2020-04-01,4877,4820,24,0,4720
2020-04-02,5218,5136,29,0,5050
2020-04-03,5370,5279,30,0,5197
2020-04-04,5550,5456,32,0,5372
2020-04-05,5759,5656,33,0,5574
2020-04-06,5865,5757,33,0,5677
2020-04-07,6086,5965,36,0,5890
2020-04-08,6242,5909,37,0,6042
2020-04-09,6419,6079,38,0,6219
2020-04-10,6514,6169,38.0001,0,6314
2020-04-11,6609,6258,40,0,6409
2020-04-12,6725,6365,41,0,6525
2020-04-13,6805,6439,41.2,0,6603
2020-04-14,6823,6452,41.3,0,6623
2020-04-15,6998,6616,150,0,6797
2020-04-16,7105,6721,152,0,6905
2020-04-17,7137,6744,161,0,6937
2020-04-18,7269,6873,164,0,7036
2020-04-19,7278,6881,165,0,7078
2020-04-20,7356,6943,181,0,7156
2020-04-21,7441,7027,182,0,7241
2020-04-22,7538,7119,187,0,7338
2020-04-23,7601,7175,194,0,7401
2020-04-24,7663,7232,199,0,7463
2020-04-25,7699,7266,201,0,7493
2020-04-26,7727,7294,201,0,7527
2020-04-27,7799,7362,205,0,7599
2020-04-28,7860,7422,206,0,7660
