date,cases,active,death
2020-01-25,1,,
2020-03-24,2,,
2020-03-25,3,,
2020-03-29,5,,
2020-04-04,6,,
2020-04-06,9,,
2020-04-13,12,,
2020-04-14,14,,
2020-04-15,16,,
2020-04-16,20,,
2020-04-17,25,,
2020-04-18,30,,
2020-04-19,31,,
2020-04-20,35,,
2020-04-21,39,,
2020-04-22,42,,
2020-04-23,45,,
2020-04-24,48,,
2020-04-25,49,,
2020-04-26,51,,
2020-04-27,52,,
2020-04-28,53,,
2020-04-29,54,,
2020-04-30,57,,
2020-05-01,58,,
2020-05-02,59,,
2020-05-03,67,,
2020-05-04,75,,
2020-05-05,82,,
2020-05-07,99,,
2020-05-08,101,,
2020-05-09,105,,
2020-05-10,109,,
2020-05-11,120,,
2020-05-12,134,,
2020-05-13,217,,
2020-05-14,219,,
2020-05-15,258,,
2020-05-16,276,,
2020-05-17,291,,
2020-05-18,304,,
2020-05-19,375,,
2020-05-20,402,,
2020-05-21,444,,
2020-05-22,487,,
2020-05-23,548,,
2020-05-24,584,,
2020-05-25,603,,
2020-05-26,682,,
2020-05-27,772,,
2020-05-28,886,,
2020-05-29,1042,,
2020-05-30,1212,,
2020-05-31,1401,,
2020-06-01,1572,,
2020-06-02,1798,,
2020-06-03,2099,,
2020-06-04,2300,,
2020-06-05,2634,,
2020-06-06,2912,,
2020-06-07,3168,,
2020-06-08,3448,,
2020-06-09,3762,,
2020-06-10,4085,,
2020-06-11,4364,,
2020-06-12,4614,,
2020-06-13,5062,,
2020-06-14,5335,,
2020-06-15,5760,,
2020-06-16,6211,,
2020-06-17,6591,,
2020-06-18,7177,,
2020-06-19,7848,,
2020-06-20,8274,,
2020-06-21,8605,,
2020-06-22,9026,,
2020-06-23,9560,,
2020-06-24,10127,,
2020-06-25,10728,,
2020-06-26,11162,,
2020-06-27,11755,,
2020-06-28,12252,,
2020-06-29,12772,,
2020-06-30,13248,,
2020-07-01,13564,,
2020-07-02,14046,,
2020-07-03,14519,,
2020-07-04,15259,,
2020-07-05,15491,,
2020-07-06,15784,,
2020-07-07,15964,,
2020-07-08,16191,,
2020-07-09,16423,,
2020-07-10,16531,,
2020-07-11,16649,,
2020-07-12,16719,,
2020-07-13,16801,,
2020-07-14,16945,,
2020-07-15,17061,,
2020-07-16,17177,,
2020-07-17,17344,,
2020-07-18,17445,,
2020-07-19,17502,,
2020-07-20,17658,,
2020-07-21,17844,,
2020-07-22,17944,,
2020-07-23,18094,,
2020-07-24,18241,,
2020-07-25,18374,,
2020-07-26,18483,,
